date,days_relative,vote_method,gender,age_bracket,count
2026-02-12,-33,early_vote_center,F,25-34,5
2026-02-12,-33,early_vote_center,F,35-44,8
2026-02-12,-33,early_vote_center,F,45-54,11
2026-02-12,-33,early_vote_center,F,55-64,32
2026-02-12,-33,early_vote_center,F,65-74,36
2026-02-12,-33,early_vote_center,F,75+,26
2026-02-12,-33,early_vote_center,M,18-24,8
2026-02-12,-33,early_vote_center,M,25-34,11
2026-02-12,-33,early_vote_center,M,35-44,15
2026-02-12,-33,early_vote_center,M,45-54,20
2026-02-12,-33,early_vote_center,M,55-64,34
2026-02-12,-33,early_vote_center,M,65-74,25
2026-02-12,-33,early_vote_center,M,75+,17
2026-02-12,-33,mail,F,75+,1
2026-02-12,-33,mail,M,25-34,1
2026-02-12,-33,mail,M,65-74,1
2026-02-12,-33,mail,O,18-24,1
2026-02-13,-32,early_vote_center,F,18-24,4
2026-02-13,-32,early_vote_center,F,25-34,5
2026-02-13,-32,early_vote_center,F,35-44,7
2026-02-13,-32,early_vote_center,F,45-54,9
2026-02-13,-32,early_vote_center,F,55-64,25
2026-02-13,-32,early_vote_center,F,65-74,38
2026-02-13,-32,early_vote_center,F,75+,17
2026-02-13,-32,early_vote_center,M,18-24,5
2026-02-13,-32,early_vote_center,M,25-34,8
2026-02-13,-32,early_vote_center,M,35-44,11
2026-02-13,-32,early_vote_center,M,45-54,14
2026-02-13,-32,early_vote_center,M,55-64,35
2026-02-13,-32,early_vote_center,M,65-74,29
2026-02-13,-32,early_vote_center,M,75+,16
2026-02-13,-32,early_vote_center,O,55-64,1
2026-02-13,-32,mail,F,65-74,1
2026-02-13,-32,mail,M,65-74,2
2026-02-14,-31,early_vote_center,F,25-34,5
2026-02-14,-31,early_vote_center,F,35-44,3
2026-02-14,-31,early_vote_center,F,45-54,8
2026-02-14,-31,early_vote_center,F,55-64,17
2026-02-14,-31,early_vote_center,F,65-74,13
2026-02-14,-31,early_vote_center,F,75+,6
2026-02-14,-31,early_vote_center,M,18-24,1
2026-02-14,-31,early_vote_center,M,25-34,3
2026-02-14,-31,early_vote_center,M,35-44,5
2026-02-14,-31,early_vote_center,M,45-54,11
2026-02-14,-31,early_vote_center,M,55-64,7
2026-02-14,-31,early_vote_center,M,65-74,16
2026-02-14,-31,early_vote_center,M,75+,3
2026-02-15,-30,early_vote_center,F,25-34,2
2026-02-15,-30,early_vote_center,F,35-44,3
2026-02-15,-30,early_vote_center,F,45-54,6
2026-02-15,-30,early_vote_center,F,55-64,8
2026-02-15,-30,early_vote_center,F,65-74,12
2026-02-15,-30,early_vote_center,F,75+,8
2026-02-15,-30,early_vote_center,M,25-34,2
2026-02-15,-30,early_vote_center,M,35-44,2
2026-02-15,-30,early_vote_center,M,45-54,2
2026-02-15,-30,early_vote_center,M,55-64,10
2026-02-15,-30,early_vote_center,M,65-74,5
2026-02-15,-30,early_vote_center,M,75+,5
2026-02-15,-30,provisional,F,75+,1
2026-02-16,-29,early_vote_center,F,25-34,3
2026-02-16,-29,early_vote_center,F,35-44,3
2026-02-16,-29,early_vote_center,F,45-54,4
2026-02-16,-29,early_vote_center,F,55-64,12
2026-02-16,-29,early_vote_center,F,65-74,15
2026-02-16,-29,early_vote_center,F,75+,11
2026-02-16,-29,early_vote_center,M,18-24,3
2026-02-16,-29,early_vote_center,M,25-34,4
2026-02-16,-29,early_vote_center,M,35-44,6
2026-02-16,-29,early_vote_center,M,45-54,9
2026-02-16,-29,early_vote_center,M,55-64,7
2026-02-16,-29,early_vote_center,M,65-74,15
2026-02-16,-29,early_vote_center,M,75+,8
2026-02-16,-29,provisional,M,55-64,1
2026-02-17,-28,early_vote_center,F,18-24,2
2026-02-17,-28,early_vote_center,F,25-34,5
2026-02-17,-28,early_vote_center,F,35-44,2
2026-02-17,-28,early_vote_center,F,45-54,9
2026-02-17,-28,early_vote_center,F,55-64,26
2026-02-17,-28,early_vote_center,F,65-74,41
2026-02-17,-28,early_vote_center,F,75+,22
2026-02-17,-28,early_vote_center,M,18-24,6
2026-02-17,-28,early_vote_center,M,25-34,5
2026-02-17,-28,early_vote_center,M,35-44,7
2026-02-17,-28,early_vote_center,M,45-54,13
2026-02-17,-28,early_vote_center,M,55-64,26
2026-02-17,-28,early_vote_center,M,65-74,40
2026-02-17,-28,early_vote_center,M,75+,15
2026-02-17,-28,early_vote_center,M,unknown,1
2026-02-17,-28,mail,F,18-24,14
2026-02-17,-28,mail,F,25-34,137
2026-02-17,-28,mail,F,35-44,183
2026-02-17,-28,mail,F,45-54,196
2026-02-17,-28,mail,F,55-64,299
2026-02-17,-28,mail,F,65-74,600
2026-02-17,-28,mail,F,75+,764
2026-02-17,-28,mail,F,unknown,1
2026-02-17,-28,mail,M,18-24,16
2026-02-17,-28,mail,M,25-34,173
2026-02-17,-28,mail,M,35-44,252
2026-02-17,-28,mail,M,45-54,229
2026-02-17,-28,mail,M,55-64,301
2026-02-17,-28,mail,M,65-74,466
2026-02-17,-28,mail,M,75+,497
2026-02-17,-28,mail,O,25-34,1
2026-02-17,-28,mail,O,35-44,1
2026-02-17,-28,mail,O,55-64,2
2026-02-17,-28,mail,O,65-74,1
2026-02-17,-28,mail,O,75+,2
2026-02-17,-28,provisional,F,55-64,1
2026-02-18,-27,early_vote_center,F,18-24,2
2026-02-18,-27,early_vote_center,F,35-44,2
2026-02-18,-27,early_vote_center,F,45-54,17
2026-02-18,-27,early_vote_center,F,55-64,20
2026-02-18,-27,early_vote_center,F,65-74,33
2026-02-18,-27,early_vote_center,F,75+,22
2026-02-18,-27,early_vote_center,M,18-24,3
2026-02-18,-27,early_vote_center,M,25-34,12
2026-02-18,-27,early_vote_center,M,35-44,4
2026-02-18,-27,early_vote_center,M,45-54,14
2026-02-18,-27,early_vote_center,M,55-64,21
2026-02-18,-27,early_vote_center,M,65-74,20
2026-02-18,-27,early_vote_center,M,75+,10
2026-02-18,-27,grace_period,F,25-34,2
2026-02-18,-27,grace_period,F,55-64,2
2026-02-18,-27,grace_period,F,65-74,2
2026-02-18,-27,grace_period,M,18-24,1
2026-02-18,-27,grace_period,M,25-34,1
2026-02-18,-27,grace_period,M,45-54,1
2026-02-18,-27,mail,F,18-24,18
2026-02-18,-27,mail,F,25-34,166
2026-02-18,-27,mail,F,35-44,192
2026-02-18,-27,mail,F,45-54,148
2026-02-18,-27,mail,F,55-64,213
2026-02-18,-27,mail,F,65-74,438
2026-02-18,-27,mail,F,75+,500
2026-02-18,-27,mail,M,18-24,15
2026-02-18,-27,mail,M,25-34,172
2026-02-18,-27,mail,M,35-44,240
2026-02-18,-27,mail,M,45-54,175
2026-02-18,-27,mail,M,55-64,237
2026-02-18,-27,mail,M,65-74,336
2026-02-18,-27,mail,M,75+,302
2026-02-18,-27,mail,O,25-34,2
2026-02-18,-27,mail,O,65-74,1
2026-02-19,-26,early_vote_center,F,18-24,2
2026-02-19,-26,early_vote_center,F,25-34,8
2026-02-19,-26,early_vote_center,F,35-44,2
2026-02-19,-26,early_vote_center,F,45-54,6
2026-02-19,-26,early_vote_center,F,55-64,4
2026-02-19,-26,early_vote_center,F,65-74,29
2026-02-19,-26,early_vote_center,F,75+,17
2026-02-19,-26,early_vote_center,M,18-24,2
2026-02-19,-26,early_vote_center,M,25-34,6
2026-02-19,-26,early_vote_center,M,35-44,12
2026-02-19,-26,early_vote_center,M,45-54,7
2026-02-19,-26,early_vote_center,M,55-64,18
2026-02-19,-26,early_vote_center,M,65-74,21
2026-02-19,-26,early_vote_center,M,75+,5
2026-02-19,-26,early_vote_center,O,25-34,1
2026-02-19,-26,grace_period,F,18-24,1
2026-02-19,-26,grace_period,F,25-34,1
2026-02-19,-26,grace_period,F,45-54,1
2026-02-19,-26,grace_period,F,55-64,1
2026-02-19,-26,grace_period,F,65-74,1
2026-02-19,-26,grace_period,F,75+,1
2026-02-19,-26,grace_period,M,18-24,2
2026-02-19,-26,grace_period,M,25-34,2
2026-02-19,-26,grace_period,M,55-64,3
2026-02-19,-26,mail,F,18-24,7
2026-02-19,-26,mail,F,25-34,74
2026-02-19,-26,mail,F,35-44,91
2026-02-19,-26,mail,F,45-54,84
2026-02-19,-26,mail,F,55-64,114
2026-02-19,-26,mail,F,65-74,199
2026-02-19,-26,mail,F,75+,299
2026-02-19,-26,mail,M,18-24,10
2026-02-19,-26,mail,M,25-34,63
2026-02-19,-26,mail,M,35-44,107
2026-02-19,-26,mail,M,45-54,103
2026-02-19,-26,mail,M,55-64,107
2026-02-19,-26,mail,M,65-74,153
2026-02-19,-26,mail,M,75+,132
2026-02-19,-26,mail,O,55-64,2
2026-02-19,-26,mail,O,75+,2
2026-02-20,-25,early_vote_center,F,18-24,4
2026-02-20,-25,early_vote_center,F,25-34,4
2026-02-20,-25,early_vote_center,F,35-44,3
2026-02-20,-25,early_vote_center,F,45-54,1
2026-02-20,-25,early_vote_center,F,55-64,16
2026-02-20,-25,early_vote_center,F,65-74,18
2026-02-20,-25,early_vote_center,F,75+,10
2026-02-20,-25,early_vote_center,M,25-34,4
2026-02-20,-25,early_vote_center,M,35-44,8
2026-02-20,-25,early_vote_center,M,45-54,7
2026-02-20,-25,early_vote_center,M,55-64,12
2026-02-20,-25,early_vote_center,M,65-74,24
2026-02-20,-25,early_vote_center,M,75+,5
2026-02-20,-25,grace_period,F,18-24,2
2026-02-20,-25,grace_period,F,55-64,1
2026-02-20,-25,grace_period,F,65-74,2
2026-02-20,-25,grace_period,M,25-34,1
2026-02-20,-25,grace_period,M,35-44,1
2026-02-20,-25,grace_period,M,55-64,1
2026-02-20,-25,grace_period,M,65-74,2
2026-02-20,-25,mail,F,18-24,11
2026-02-20,-25,mail,F,25-34,125
2026-02-20,-25,mail,F,35-44,173
2026-02-20,-25,mail,F,45-54,165
2026-02-20,-25,mail,F,55-64,284
2026-02-20,-25,mail,F,65-74,439
2026-02-20,-25,mail,F,75+,609
2026-02-20,-25,mail,M,18-24,16
2026-02-20,-25,mail,M,25-34,155
2026-02-20,-25,mail,M,35-44,212
