UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Write-In,Beverly Miles,Jb Pritzker
WOODFORD-:-WORTH 7,WOODFORD,203,WOODFORD,WORTH 7,1079,WOODFORD:WORTH 7,GOVERNOR AND LIEUTENANT GOVERNOR,0,5,44
WOODFORD-:-OLIO 2,WOODFORD,203,WOODFORD,OLIO 2,673,WOODFORD:OLIO 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,0,22
WOODFORD-:-CRUGER 1,WOODFORD,203,WOODFORD,CRUGER 1,745,WOODFORD:CRUGER 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,23
WOODFORD-:-MONTGOMERY 1,WOODFORD,203,WOODFORD,MONTGOMERY 1,674,WOODFORD:MONTGOMERY 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,7
WOODFORD-:-KANSAS,WOODFORD,203,WOODFORD,KANSAS,392,WOODFORD:KANSAS,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,11
WOODFORD-:-MINONK 2,WOODFORD,203,WOODFORD,MINONK 2,978,WOODFORD:MINONK 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,26
WOODFORD-:-WORTH 6,WOODFORD,203,WOODFORD,WORTH 6,688,WOODFORD:WORTH 6,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,23
WOODFORD-:-PARTRIDGE,WOODFORD,203,WOODFORD,PARTRIDGE,456,WOODFORD:PARTRIDGE,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,9
WOODFORD-:-METAMORA 4,WOODFORD,203,WOODFORD,METAMORA 4,1001,WOODFORD:METAMORA 4,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,35
WOODFORD-:-EL PASO 2,WOODFORD,203,WOODFORD,EL PASO 2,483,WOODFORD:EL PASO 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,26
WOODFORD-:-METAMORA 1,WOODFORD,203,WOODFORD,METAMORA 1,584,WOODFORD:METAMORA 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,20
WOODFORD-:-OLIO 1,WOODFORD,203,WOODFORD,OLIO 1,741,WOODFORD:OLIO 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,12
WOODFORD-:-EL PASO 3,WOODFORD,203,WOODFORD,EL PASO 3,1143,WOODFORD:EL PASO 3,GOVERNOR AND LIEUTENANT GOVERNOR,0,5,44
WOODFORD-:-PALESTINE,WOODFORD,203,WOODFORD,PALESTINE,752,WOODFORD:PALESTINE,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,21
WOODFORD-:-METAMORA 2,WOODFORD,203,WOODFORD,METAMORA 2,871,WOODFORD:METAMORA 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,18
WOODFORD-:-ROANOKE 1,WOODFORD,203,WOODFORD,ROANOKE 1,456,WOODFORD:ROANOKE 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,6
WOODFORD-:-CLAYTON,WOODFORD,203,WOODFORD,CLAYTON,450,WOODFORD:CLAYTON,GOVERNOR AND LIEUTENANT GOVERNOR,1,2,9
WOODFORD-:-METAMORA 3,WOODFORD,203,WOODFORD,METAMORA 3,708,WOODFORD:METAMORA 3,GOVERNOR AND LIEUTENANT GOVERNOR,0,6,31
WOODFORD-:-OLIO 3,WOODFORD,203,WOODFORD,OLIO 3,789,WOODFORD:OLIO 3,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,19
WOODFORD-:-PANOLA,WOODFORD,203,WOODFORD,PANOLA,273,WOODFORD:PANOLA,GOVERNOR AND LIEUTENANT GOVERNOR,0,5,8
WOODFORD-:-EL PASO 1,WOODFORD,203,WOODFORD,EL PASO 1,630,WOODFORD:EL PASO 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,1,23
WOODFORD-:-WORTH 5,WOODFORD,203,WOODFORD,WORTH 5,728,WOODFORD:WORTH 5,GOVERNOR AND LIEUTENANT GOVERNOR,0,4,24
WOODFORD-:-CRUGER 2,WOODFORD,203,WOODFORD,CRUGER 2,528,WOODFORD:CRUGER 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,7
WOODFORD-:-WORTH 4,WOODFORD,203,WOODFORD,WORTH 4,722,WOODFORD:WORTH 4,GOVERNOR AND LIEUTENANT GOVERNOR,0,4,24
WOODFORD-:-ROANOKE 2,WOODFORD,203,WOODFORD,ROANOKE 2,1249,WOODFORD:ROANOKE 2,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,28
