UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Paul Schimpf,Richard C. Irvin,Jesse Sullivan,Darren Bailey,Max Solomon,Gary Rabine,Write-In,Keisha S. Smith
ADAMS-:-BEVERLY PCT 1,ADAMS,1,ADAMS,BEVERLY PCT 1,0,ADAMS:BEVERLY PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,7,3,73,0,0,0,0
ADAMS-:-BURTON PCT 1,ADAMS,1,ADAMS,BURTON PCT 1,0,ADAMS:BURTON PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,27,7,201,1,3,0,0
ADAMS-:-CAMP POINT PCT 1,ADAMS,1,ADAMS,CAMP POINT PCT 1,0,ADAMS:CAMP POINT PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,9,10,148,2,7,0,0
ADAMS-:-CAMP POINT PCT 2,ADAMS,1,ADAMS,CAMP POINT PCT 2,0,ADAMS:CAMP POINT PCT 2,GOVERNOR AND LIEUTENANT GOVERNOR,2,18,12,171,1,2,0,0
ADAMS-:-CLAYTON PCT 1,ADAMS,1,ADAMS,CLAYTON PCT 1,0,ADAMS:CLAYTON PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,8,14,164,0,1,0,0
ADAMS-:-COLUMBUS PCT 1,ADAMS,1,ADAMS,COLUMBUS PCT 1,0,ADAMS:COLUMBUS PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,15,10,166,0,3,0,0
ADAMS-:-CONCORD PCT 1,ADAMS,1,ADAMS,CONCORD PCT 1,0,ADAMS:CONCORD PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,3,7,33,0,0,0,0
ADAMS-:-ELLINGTON PCT 1,ADAMS,1,ADAMS,ELLINGTON PCT 1,0,ADAMS:ELLINGTON PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,2,28,13,213,1,2,0,0
ADAMS-:-ELLINGTON PCT 2,ADAMS,1,ADAMS,ELLINGTON PCT 2,0,ADAMS:ELLINGTON PCT 2,GOVERNOR AND LIEUTENANT GOVERNOR,4,12,18,165,0,4,0,0
ADAMS-:-ELLINGTON PCT 3,ADAMS,1,ADAMS,ELLINGTON PCT 3,0,ADAMS:ELLINGTON PCT 3,GOVERNOR AND LIEUTENANT GOVERNOR,1,21,14,112,0,2,0,0
ADAMS-:-FALL CREEK PCT 1,ADAMS,1,ADAMS,FALL CREEK PCT 1,0,ADAMS:FALL CREEK PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,8,8,134,0,3,0,0
ADAMS-:-GILMER PCT 1,ADAMS,1,ADAMS,GILMER PCT 1,0,ADAMS:GILMER PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,4,19,12,249,1,2,0,0
ADAMS-:-HONEY CREEK PCT 1,ADAMS,1,ADAMS,HONEY CREEK PCT 1,0,ADAMS:HONEY CREEK PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,14,10,152,1,2,0,0
ADAMS-:-HOUSTON PCT 1,ADAMS,1,ADAMS,HOUSTON PCT 1,0,ADAMS:HOUSTON PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,7,2,48,0,2,0,0
ADAMS-:-KEENE PCT 1,ADAMS,1,ADAMS,KEENE PCT 1,0,ADAMS:KEENE PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,5,4,107,0,0,0,0
ADAMS-:-LIBERTY PCT 1,ADAMS,1,ADAMS,LIBERTY PCT 1,0,ADAMS:LIBERTY PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,19,13,300,1,4,0,0
ADAMS-:-LIMA PCT 1,ADAMS,1,ADAMS,LIMA PCT 1,0,ADAMS:LIMA PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,1,10,10,115,0,2,0,0
ADAMS-:-MCKEE PCT 1,ADAMS,1,ADAMS,MCKEE PCT 1,0,ADAMS:MCKEE PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,1,39,0,0,0,0
ADAMS-:-MELROSE PCT 1,ADAMS,1,ADAMS,MELROSE PCT 1,0,ADAMS:MELROSE PCT 1,GOVERNOR AND LIEUTENANT GOVERNOR,3,21,14,156,0,6,0,0
ADAMS-:-MELROSE PCT 2,ADAMS,1,ADAMS,MELROSE PCT 2,0,ADAMS:MELROSE PCT 2,GOVERNOR AND LIEUTENANT GOVERNOR,4,23,15,236,2,1,0,0
ADAMS-:-MELROSE PCT 3,ADAMS,1,ADAMS,MELROSE PCT 3,0,ADAMS:MELROSE PCT 3,GOVERNOR AND LIEUTENANT GOVERNOR,1,36,7,117,1,3,0,0
ADAMS-:-MELROSE PCT 4,ADAMS,1,ADAMS,MELROSE PCT 4,0,ADAMS:MELROSE PCT 4,GOVERNOR AND LIEUTENANT GOVERNOR,2,31,14,111,1,2,0,0
ADAMS-:-MELROSE PCT 5,ADAMS,1,ADAMS,MELROSE PCT 5,0,ADAMS:MELROSE PCT 5,GOVERNOR AND LIEUTENANT GOVERNOR,3,31,11,120,1,3,0,0
ADAMS-:-MELROSE PCT 6,ADAMS,1,ADAMS,MELROSE PCT 6,0,ADAMS:MELROSE PCT 6,GOVERNOR AND LIEUTENANT GOVERNOR,4,19,12,170,0,1,0,0
