JoinField,JoinField_alt,Ward/Township,Precinct,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 17,CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,122,124,14,21,281
CITY OF CHICAGO:WARD 01 PRECINCT 18,CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,156,194,13,28,391
CITY OF CHICAGO:WARD 01 PRECINCT 19,CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,127,156,12,32,327
CITY OF CHICAGO:WARD 01 PRECINCT 20,CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,168,134,13,22,337
CITY OF CHICAGO:WARD 01 PRECINCT 21,CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,150,199,17,25,391
CITY OF CHICAGO:WARD 02 PRECINCT 05,CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,253,69,9,30,361
CITY OF CHICAGO:WARD 02 PRECINCT 06,CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,392,75,9,50,526
CITY OF CHICAGO:WARD 02 PRECINCT 07,CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,324,57,6,39,426
CITY OF CHICAGO:WARD 02 PRECINCT 08,CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,316,32,4,18,370
CITY OF CHICAGO:WARD 02 PRECINCT 09,CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,363,76,5,26,470
CITY OF CHICAGO:WARD 02 PRECINCT 12,CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,182,48,10,25,265
CITY OF CHICAGO:WARD 02 PRECINCT 13,CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,240,72,4,26,342
CITY OF CHICAGO:WARD 02 PRECINCT 14,CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,148,53,7,15,223
CITY OF CHICAGO:WARD 02 PRECINCT 15,CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,272,40,7,20,339
CITY OF CHICAGO:WARD 02 PRECINCT 16,CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,317,56,11,24,408
CITY OF CHICAGO:WARD 02 PRECINCT 17,CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,380,88,18,35,521
CITY OF CHICAGO:WARD 02 PRECINCT 19,CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,128,36,6,13,183
CITY OF CHICAGO:WARD 02 PRECINCT 20,CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,176,45,3,10,234
CITY OF CHICAGO:WARD 02 PRECINCT 23,CITY OF CHICAGO:WARD 02 PRECINCT 23,2,23,54,31,2,9,96
CITY OF CHICAGO:WARD 02 PRECINCT 24,CITY OF CHICAGO:WARD 02 PRECINCT 24,2,24,201,36,2,14,253
CITY OF CHICAGO:WARD 02 PRECINCT 25,CITY OF CHICAGO:WARD 02 PRECINCT 25,2,25,247,73,7,20,347
CITY OF CHICAGO:WARD 27 PRECINCT 09,CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,17,12,0,6,35
CITY OF CHICAGO:WARD 27 PRECINCT 12,CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,56,11,7,14,88
CITY OF CHICAGO:WARD 27 PRECINCT 13,CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,3,3,0,2,8
CITY OF CHICAGO:WARD 27 PRECINCT 21,CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,27,17,3,6,53
CITY OF CHICAGO:WARD 30 PRECINCT 03,CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,60,17,2,6,85
CITY OF CHICAGO:WARD 30 PRECINCT 06,CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,207,54,9,10,280
CITY OF CHICAGO:WARD 30 PRECINCT 15,CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,156,83,13,9,261
CITY OF CHICAGO:WARD 30 PRECINCT 22,CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,156,55,5,18,234
CITY OF CHICAGO:WARD 30 PRECINCT 23,CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,206,91,15,19,331
CITY OF CHICAGO:WARD 32 PRECINCT 01,CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,394,189,13,21,617
CITY OF CHICAGO:WARD 32 PRECINCT 02,CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,329,164,18,31,542
CITY OF CHICAGO:WARD 32 PRECINCT 03,CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,239,126,6,18,389
CITY OF CHICAGO:WARD 32 PRECINCT 04,CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,211,119,9,23,362
CITY OF CHICAGO:WARD 32 PRECINCT 05,CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,183,70,3,18,274
CITY OF CHICAGO:WARD 32 PRECINCT 06,CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,112,52,1,10,175
CITY OF CHICAGO:WARD 32 PRECINCT 07,CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,205,130,3,18,356
CITY OF CHICAGO:WARD 32 PRECINCT 08,CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,191,103,7,14,315
CITY OF CHICAGO:WARD 32 PRECINCT 09,CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,185,58,2,11,256
CITY OF CHICAGO:WARD 32 PRECINCT 10,CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,296,141,24,38,499
CITY OF CHICAGO:WARD 32 PRECINCT 11,CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,148,80,5,16,249
CITY OF CHICAGO:WARD 32 PRECINCT 12,CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,132,40,1,12,185
CITY OF CHICAGO:WARD 32 PRECINCT 13,CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,74,27,4,9,114
CITY OF CHICAGO:WARD 32 PRECINCT 14,CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,313,128,7,24,472
CITY OF CHICAGO:WARD 32 PRECINCT 15,CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,343,96,12,20,471
CITY OF CHICAGO:WARD 32 PRECINCT 16,CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,131,43,8,12,194
CITY OF CHICAGO:WARD 32 PRECINCT 17,CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,324,124,13,41,502
CITY OF CHICAGO:WARD 32 PRECINCT 18,CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,109,61,18,33,221
CITY OF CHICAGO:WARD 32 PRECINCT 19,CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,93,60,10,9,172
CITY OF CHICAGO:WARD 32 PRECINCT 20,CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,312,86,4,29,431
CITY OF CHICAGO:WARD 32 PRECINCT 21,CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,299,217,12,36,564
CITY OF CHICAGO:WARD 32 PRECINCT 22,CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,209,180,16,28,433
CITY OF CHICAGO:WARD 32 PRECINCT 23,CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,162,96,11,18,287
CITY OF CHICAGO:WARD 32 PRECINCT 24,CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,76,48,4,9,137
CITY OF CHICAGO:WARD 32 PRECINCT 25,CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,199,96,18,27,340
CITY OF CHICAGO:WARD 32 PRECINCT 26,CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,252,141,16,18,427
CITY OF CHICAGO:WARD 32 PRECINCT 27,CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,257,185,8,23,473
CITY OF CHICAGO:WARD 32 PRECINCT 28,CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,89,44,3,3,139
CITY OF CHICAGO:WARD 32 PRECINCT 29,CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,225,151,12,23,411
CITY OF CHICAGO:WARD 32 PRECINCT 30,CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,228,197,12,24,461
CITY OF CHICAGO:WARD 33 PRECINCT 16,CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,106,31,3,10,150
CITY OF CHICAGO:WARD 35 PRECINCT 22,CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,19,6,0,4,29
CITY OF CHICAGO:WARD 38 PRECINCT 01,CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,202,37,6,22,267
CITY OF CHICAGO:WARD 38 PRECINCT 02,CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,103,22,3,8,136
CITY OF CHICAGO:WARD 38 PRECINCT 06,CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,119,27,4,5,155
CITY OF CHICAGO:WARD 38 PRECINCT 11,CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,121,23,8,19,171
CITY OF CHICAGO:WARD 38 PRECINCT 17,CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,103,41,11,8,163
CITY OF CHICAGO:WARD 38 PRECINCT 24,CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,148,40,2,18,208
CITY OF CHICAGO:WARD 39 PRECINCT 01,CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,242,41,6,25,314
CITY OF CHICAGO:WARD 39 PRECINCT 02,CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,136,20,9,11,176
CITY OF CHICAGO:WARD 39 PRECINCT 03,CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,159,63,9,19,250
CITY OF CHICAGO:WARD 39 PRECINCT 04,CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,207,27,10,12,256
CITY OF CHICAGO:WARD 39 PRECINCT 05,CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,163,61,4,19,247
CITY OF CHICAGO:WARD 39 PRECINCT 09,CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,89,49,5,17,160
CITY OF CHICAGO:WARD 39 PRECINCT 11,CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,104,55,9,9,177
CITY OF CHICAGO:WARD 39 PRECINCT 12,CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,156,67,22,23,268
CITY OF CHICAGO:WARD 39 PRECINCT 13,CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,283,108,22,31,444
CITY OF CHICAGO:WARD 39 PRECINCT 14,CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,262,77,11,24,374
CITY OF CHICAGO:WARD 39 PRECINCT 15,CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,232,94,6,20,352
CITY OF CHICAGO:WARD 39 PRECINCT 16,CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,126,61,13,8,208
CITY OF CHICAGO:WARD 39 PRECINCT 17,CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,294,92,5,26,417
CITY OF CHICAGO:WARD 39 PRECINCT 18,CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,110,40,7,14,171
CITY OF CHICAGO:WARD 39 PRECINCT 19,CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,253,150,29,34,466
CITY OF CHICAGO:WARD 39 PRECINCT 20,CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,154,57,7,9,227
CITY OF CHICAGO:WARD 39 PRECINCT 21,CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,190,157,25,22,394
