JoinField,JoinField_alt,Ward/Township,Precinct,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
CITY OF CHICAGO:WARD 41 PRECINCT 01,CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,12,4,9,13,5,37,41,2,123
CITY OF CHICAGO:WARD 41 PRECINCT 02,CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,8,12,7,9,0,35,18,1,90
CITY OF CHICAGO:WARD 41 PRECINCT 03,CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,6,11,7,8,2,37,16,4,91
COOK:7000004,COOK:Barrington Precinct 4,Barrington,4,28,6,26,27,7,88,165,11,358
COOK:7000008,COOK:Barrington Precinct 8,Barrington,8,42,7,11,16,20,66,190,8,360
COOK:7000011,COOK:Barrington Precinct 11,Barrington,11,22,4,17,9,14,31,99,4,200
COOK:7400002,COOK:Elk Grove Precinct 2,Elk Grove,2,10,9,14,12,3,34,15,3,100
COOK:7400003,COOK:Elk Grove Precinct 3,Elk Grove,3,24,16,74,41,3,80,53,10,301
COOK:7400004,COOK:Elk Grove Precinct 4,Elk Grove,4,10,7,30,23,7,50,28,2,157
COOK:7400008,COOK:Elk Grove Precinct 8,Elk Grove,8,10,10,49,19,0,72,26,4,190
COOK:7400009,COOK:Elk Grove Precinct 9,Elk Grove,9,16,5,39,22,0,56,17,4,159
COOK:7400011,COOK:Elk Grove Precinct 11,Elk Grove,11,12,16,46,27,4,57,41,4,207
COOK:7400012,COOK:Elk Grove Precinct 12,Elk Grove,12,13,30,65,29,2,100,44,7,290
COOK:7400013,COOK:Elk Grove Precinct 13,Elk Grove,13,9,9,17,2,0,19,24,3,83
COOK:7400014,COOK:Elk Grove Precinct 14,Elk Grove,14,5,8,9,14,2,20,26,0,84
COOK:7400015,COOK:Elk Grove Precinct 15,Elk Grove,15,20,16,27,15,6,60,60,8,212
COOK:7400016,COOK:Elk Grove Precinct 16,Elk Grove,16,1,6,33,18,1,37,19,3,118
COOK:7400017,COOK:Elk Grove Precinct 17,Elk Grove,17,10,2,29,8,1,36,21,0,107
COOK:7400018,COOK:Elk Grove Precinct 18,Elk Grove,18,21,26,60,26,2,66,38,0,239
COOK:7400020,COOK:Elk Grove Precinct 20,Elk Grove,20,20,11,50,43,3,83,33,4,247
COOK:7400021,COOK:Elk Grove Precinct 21,Elk Grove,21,14,8,17,13,8,46,28,3,137
COOK:7400022,COOK:Elk Grove Precinct 22,Elk Grove,22,9,11,43,8,5,45,38,4,163
COOK:7400023,COOK:Elk Grove Precinct 23,Elk Grove,23,12,14,54,21,4,71,30,10,216
