JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 01,CITY OF CHICAGO:WARD 01 PRECINCT 01,1,1,125,242,367
CITY OF CHICAGO:WARD 01 PRECINCT 02,CITY OF CHICAGO:WARD 01 PRECINCT 02,1,2,133,283,416
CITY OF CHICAGO:WARD 01 PRECINCT 03,CITY OF CHICAGO:WARD 01 PRECINCT 03,1,3,123,279,402
CITY OF CHICAGO:WARD 01 PRECINCT 04,CITY OF CHICAGO:WARD 01 PRECINCT 04,1,4,124,242,366
CITY OF CHICAGO:WARD 01 PRECINCT 05,CITY OF CHICAGO:WARD 01 PRECINCT 05,1,5,133,228,361
CITY OF CHICAGO:WARD 01 PRECINCT 06,CITY OF CHICAGO:WARD 01 PRECINCT 06,1,6,131,202,333
CITY OF CHICAGO:WARD 01 PRECINCT 07,CITY OF CHICAGO:WARD 01 PRECINCT 07,1,7,111,258,369
CITY OF CHICAGO:WARD 01 PRECINCT 08,CITY OF CHICAGO:WARD 01 PRECINCT 08,1,8,95,197,292
CITY OF CHICAGO:WARD 01 PRECINCT 09,CITY OF CHICAGO:WARD 01 PRECINCT 09,1,9,58,143,201
CITY OF CHICAGO:WARD 01 PRECINCT 10,CITY OF CHICAGO:WARD 01 PRECINCT 10,1,10,139,241,380
CITY OF CHICAGO:WARD 01 PRECINCT 11,CITY OF CHICAGO:WARD 01 PRECINCT 11,1,11,129,200,329
CITY OF CHICAGO:WARD 01 PRECINCT 12,CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,59,118,177
CITY OF CHICAGO:WARD 01 PRECINCT 13,CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,90,173,263
CITY OF CHICAGO:WARD 01 PRECINCT 14,CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,91,129,220
