JoinField,JoinField_alt,Ward/Township,Precinct,Drake Warren,Bridget Gainer,Total Voters
CITY OF CHICAGO:WARD 32 PRECINCT 05,CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,124,118,242
CITY OF CHICAGO:WARD 39 PRECINCT 01,CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,91,191,282
CITY OF CHICAGO:WARD 39 PRECINCT 02,CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,61,94,155
CITY OF CHICAGO:WARD 39 PRECINCT 04,CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,85,153,238
CITY OF CHICAGO:WARD 39 PRECINCT 12,CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,116,121,237
CITY OF CHICAGO:WARD 39 PRECINCT 14,CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,111,231,342
CITY OF CHICAGO:WARD 39 PRECINCT 15,CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,185,135,320
CITY OF CHICAGO:WARD 39 PRECINCT 17,CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,150,224,374
CITY OF CHICAGO:WARD 39 PRECINCT 18,CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,78,81,159
CITY OF CHICAGO:WARD 39 PRECINCT 19,CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,255,176,431
CITY OF CHICAGO:WARD 39 PRECINCT 20,CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,88,115,203
CITY OF CHICAGO:WARD 39 PRECINCT 22,CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,58,83,141
CITY OF CHICAGO:WARD 39 PRECINCT 23,CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,17,23,40
CITY OF CHICAGO:WARD 39 PRECINCT 27,CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,80,93,173
CITY OF CHICAGO:WARD 39 PRECINCT 30,CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,44,68,112
CITY OF CHICAGO:WARD 39 PRECINCT 31,CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,64,99,163
CITY OF CHICAGO:WARD 39 PRECINCT 32,CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,165,257,422
CITY OF CHICAGO:WARD 39 PRECINCT 33,CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,56,112,168
CITY OF CHICAGO:WARD 39 PRECINCT 34,CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,55,106,161
CITY OF CHICAGO:WARD 39 PRECINCT 35,CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,181,196,377
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,108,56,164
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,113,127,240
CITY OF CHICAGO:WARD 40 PRECINCT 07,CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,229,175,404
CITY OF CHICAGO:WARD 40 PRECINCT 08,CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,114,103,217
CITY OF CHICAGO:WARD 40 PRECINCT 09,CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,220,152,372
CITY OF CHICAGO:WARD 40 PRECINCT 10,CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,491,255,746
CITY OF CHICAGO:WARD 40 PRECINCT 11,CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,183,141,324
CITY OF CHICAGO:WARD 40 PRECINCT 12,CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,248,203,451
CITY OF CHICAGO:WARD 40 PRECINCT 13,CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,296,208,504
CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,457,252,709
CITY OF CHICAGO:WARD 40 PRECINCT 15,CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,325,167,492
CITY OF CHICAGO:WARD 40 PRECINCT 16,CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,304,136,440
CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,341,173,514
CITY OF CHICAGO:WARD 41 PRECINCT 01,CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,27,24,51
CITY OF CHICAGO:WARD 41 PRECINCT 02,CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,26,38,64
CITY OF CHICAGO:WARD 41 PRECINCT 03,CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,36,48,84
CITY OF CHICAGO:WARD 41 PRECINCT 04,CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,47,86,133
CITY OF CHICAGO:WARD 41 PRECINCT 05,CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,67,107,174
CITY OF CHICAGO:WARD 41 PRECINCT 06,CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,66,96,162
CITY OF CHICAGO:WARD 41 PRECINCT 07,CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,69,99,168
CITY OF CHICAGO:WARD 41 PRECINCT 08,CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,60,73,133
CITY OF CHICAGO:WARD 41 PRECINCT 09,CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,129,175,304
CITY OF CHICAGO:WARD 41 PRECINCT 10,CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,95,114,209
CITY OF CHICAGO:WARD 41 PRECINCT 11,CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,92,90,182
CITY OF CHICAGO:WARD 41 PRECINCT 12,CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,35,43,78
CITY OF CHICAGO:WARD 41 PRECINCT 13,CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,102,137,239
CITY OF CHICAGO:WARD 41 PRECINCT 14,CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,149,171,320
CITY OF CHICAGO:WARD 41 PRECINCT 21,CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,53,109,162
CITY OF CHICAGO:WARD 41 PRECINCT 22,CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,45,84,129
CITY OF CHICAGO:WARD 41 PRECINCT 24,CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,96,153,249
CITY OF CHICAGO:WARD 43 PRECINCT 07,CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,248,218,466
CITY OF CHICAGO:WARD 43 PRECINCT 08,CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,41,33,74
CITY OF CHICAGO:WARD 44 PRECINCT 01,CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,334,240,574
CITY OF CHICAGO:WARD 44 PRECINCT 02,CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,191,173,364
CITY OF CHICAGO:WARD 44 PRECINCT 03,CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,177,239,416
CITY OF CHICAGO:WARD 44 PRECINCT 04,CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,290,295,585
CITY OF CHICAGO:WARD 44 PRECINCT 05,CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,331,187,518
CITY OF CHICAGO:WARD 44 PRECINCT 06,CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,237,170,407
CITY OF CHICAGO:WARD 44 PRECINCT 07,CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,251,211,462
CITY OF CHICAGO:WARD 44 PRECINCT 08,CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,259,319,578
CITY OF CHICAGO:WARD 44 PRECINCT 09,CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,305,240,545
CITY OF CHICAGO:WARD 44 PRECINCT 10,CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,322,221,543
CITY OF CHICAGO:WARD 44 PRECINCT 11,CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,197,190,387
CITY OF CHICAGO:WARD 44 PRECINCT 12,CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,315,322,637
CITY OF CHICAGO:WARD 44 PRECINCT 13,CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,353,216,569
CITY OF CHICAGO:WARD 44 PRECINCT 14,CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,327,192,519
CITY OF CHICAGO:WARD 44 PRECINCT 15,CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,347,242,589
CITY OF CHICAGO:WARD 44 PRECINCT 16,CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,299,277,576
CITY OF CHICAGO:WARD 44 PRECINCT 17,CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,388,287,675
CITY OF CHICAGO:WARD 44 PRECINCT 18,CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,245,141,386
CITY OF CHICAGO:WARD 44 PRECINCT 19,CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,301,225,526
CITY OF CHICAGO:WARD 44 PRECINCT 20,CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,248,118,366
CITY OF CHICAGO:WARD 44 PRECINCT 21,CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,349,255,604
CITY OF CHICAGO:WARD 45 PRECINCT 01,CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,127,270,397
CITY OF CHICAGO:WARD 45 PRECINCT 02,CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,71,158,229
CITY OF CHICAGO:WARD 45 PRECINCT 03,CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,26,65,91
CITY OF CHICAGO:WARD 45 PRECINCT 04,CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,54,128,182
CITY OF CHICAGO:WARD 45 PRECINCT 05,CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,119,148,267
CITY OF CHICAGO:WARD 45 PRECINCT 06,CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,101,160,261
CITY OF CHICAGO:WARD 45 PRECINCT 07,CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,137,163,300
CITY OF CHICAGO:WARD 45 PRECINCT 08,CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,95,121,216
CITY OF CHICAGO:WARD 45 PRECINCT 09,CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,111,142,253
CITY OF CHICAGO:WARD 45 PRECINCT 10,CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,118,137,255
CITY OF CHICAGO:WARD 45 PRECINCT 11,CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,106,133,239
CITY OF CHICAGO:WARD 45 PRECINCT 12,CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,116,98,214
CITY OF CHICAGO:WARD 45 PRECINCT 13,CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,172,195,367
CITY OF CHICAGO:WARD 45 PRECINCT 14,CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,81,105,186
CITY OF CHICAGO:WARD 45 PRECINCT 15,CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,125,137,262
CITY OF CHICAGO:WARD 45 PRECINCT 16,CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,125,135,260
CITY OF CHICAGO:WARD 45 PRECINCT 17,CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,131,178,309
CITY OF CHICAGO:WARD 45 PRECINCT 18,CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,147,132,279
CITY OF CHICAGO:WARD 45 PRECINCT 19,CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,105,101,206
CITY OF CHICAGO:WARD 45 PRECINCT 20,CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,129,151,280
CITY OF CHICAGO:WARD 46 PRECINCT 01,CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,195,168,363
CITY OF CHICAGO:WARD 46 PRECINCT 02,CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,285,160,445
CITY OF CHICAGO:WARD 46 PRECINCT 03,CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,302,170,472
CITY OF CHICAGO:WARD 46 PRECINCT 04,CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,322,251,573
CITY OF CHICAGO:WARD 46 PRECINCT 05,CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,241,193,434
CITY OF CHICAGO:WARD 46 PRECINCT 06,CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,468,285,753
CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,263,135,398
CITY OF CHICAGO:WARD 46 PRECINCT 08,CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,318,212,530
CITY OF CHICAGO:WARD 46 PRECINCT 09,CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,255,266,521
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,448,180,628
CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,381,217,598
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,422,312,734
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,455,240,695
CITY OF CHICAGO:WARD 46 PRECINCT 14,CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,206,120,326
CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,364,344,708
CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,404,182,586
CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,482,224,706
CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,462,201,663
CITY OF CHICAGO:WARD 46 PRECINCT 19,CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,378,194,572
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,251,165,416
CITY OF CHICAGO:WARD 46 PRECINCT 21,CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,187,159,346
CITY OF CHICAGO:WARD 46 PRECINCT 22,CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,237,152,389
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,244,113,357
