JoinField,Ward/Township,Precinct,James O'Brien,Ridge Knapp,"Demerike ""Demi"" Palecek",Sunjay Kumar,Adam Braun,Total Voters
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,77,14,71,41,29,232
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,128,19,120,49,58,374
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,64,13,72,21,36,206
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,134,31,200,50,65,480
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,200,16,215,54,62,547
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,179,46,382,81,56,744
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,152,18,219,65,59,513
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,117,31,227,49,44,468
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,213,9,181,41,34,478
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,186,27,219,40,40,512
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,203,38,188,46,45,520
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,205,31,206,48,89,579
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,155,26,249,59,49,538
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,231,46,315,73,39,704
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,107,19,116,26,13,281
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,21,4,20,1,11,57
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,148,45,241,57,79,570
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,113,51,170,52,52,438
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,122,40,243,70,81,556
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,153,26,148,44,96,467
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,139,28,346,89,66,668
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,72,20,190,78,77,437
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,153,51,338,122,76,740
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,84,27,117,68,49,345
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,100,47,295,112,67,621
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,129,40,333,177,70,749
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,156,50,312,141,53,712
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,109,41,246,128,65,589
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,89,33,154,116,63,455
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,106,17,115,72,54,364
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,98,30,150,84,53,415
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,85,27,165,67,33,377
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,179,24,201,41,56,501
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,133,34,228,66,64,525
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,124,31,280,61,59,555
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,171,34,326,83,68,682
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,162,38,430,113,61,804
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,142,32,390,100,63,727
CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,40,1,52,20,12,125
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,137,28,222,50,33,470
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,253,50,260,68,75,706
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,139,42,370,68,38,657
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,159,22,244,81,60,566
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,125,23,185,57,45,435
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,114,32,207,47,54,454
CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,219,42,261,39,67,628
CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,197,29,251,52,76,605
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,169,12,200,57,84,522
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,24,1,13,7,3,48
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,112,20,176,85,51,444
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,118,33,194,90,49,484
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,150,20,79,72,47,368
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,132,46,225,85,86,574
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,2,2,10,2,1,17
