JoinField,Ward/Township,Precinct,"Jaime M. Andrade, Jr.",Miguel Alvelo-Rivera,Total Voters
CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,19,15,34
CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,129,259,388
CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,72,118,190
CITY OF CHICAGO:WARD 30 PRECINCT 18,30,18,97,184,281
CITY OF CHICAGO:WARD 30 PRECINCT 20,30,20,90,121,211
CITY OF CHICAGO:WARD 30 PRECINCT 26,30,26,160,249,409
CITY OF CHICAGO:WARD 31 PRECINCT 02,31,2,112,257,369
CITY OF CHICAGO:WARD 31 PRECINCT 04,31,4,71,147,218
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,108,104,212
CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,290,192,482
CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,131,97,228
CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,108,54,162
CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,66,39,105
CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,129,62,191
CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,290,169,459
CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,111,104,215
CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,102,102,204
CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,60,46,106
CITY OF CHICAGO:WARD 33 PRECINCT 01,33,1,341,322,663
CITY OF CHICAGO:WARD 33 PRECINCT 02,33,2,318,364,682
CITY OF CHICAGO:WARD 33 PRECINCT 03,33,3,290,203,493
CITY OF CHICAGO:WARD 33 PRECINCT 04,33,4,263,345,608
CITY OF CHICAGO:WARD 33 PRECINCT 05,33,5,275,219,494
CITY OF CHICAGO:WARD 33 PRECINCT 06,33,6,255,293,548
CITY OF CHICAGO:WARD 33 PRECINCT 07,33,7,217,331,548
CITY OF CHICAGO:WARD 33 PRECINCT 08,33,8,133,189,322
CITY OF CHICAGO:WARD 33 PRECINCT 09,33,9,200,202,402
CITY OF CHICAGO:WARD 33 PRECINCT 10,33,10,128,239,367
CITY OF CHICAGO:WARD 33 PRECINCT 11,33,11,109,199,308
CITY OF CHICAGO:WARD 33 PRECINCT 12,33,12,141,346,487
CITY OF CHICAGO:WARD 33 PRECINCT 13,33,13,121,311,432
CITY OF CHICAGO:WARD 33 PRECINCT 14,33,14,227,386,613
CITY OF CHICAGO:WARD 33 PRECINCT 15,33,15,151,311,462
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,121,147,268
CITY OF CHICAGO:WARD 33 PRECINCT 17,33,17,178,391,569
CITY OF CHICAGO:WARD 35 PRECINCT 13,35,13,112,299,411
CITY OF CHICAGO:WARD 35 PRECINCT 16,35,16,215,406,621
CITY OF CHICAGO:WARD 35 PRECINCT 17,35,17,189,243,432
CITY OF CHICAGO:WARD 35 PRECINCT 18,35,18,128,165,293
CITY OF CHICAGO:WARD 35 PRECINCT 19,35,19,148,232,380
CITY OF CHICAGO:WARD 35 PRECINCT 20,35,20,93,115,208
CITY OF CHICAGO:WARD 35 PRECINCT 21,35,21,199,193,392
CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,296,165,461
CITY OF CHICAGO:WARD 39 PRECINCT 10,39,10,28,68,96
CITY OF CHICAGO:WARD 39 PRECINCT 24,39,24,10,9,19
CITY OF CHICAGO:WARD 39 PRECINCT 25,39,25,36,66,102
CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,85,83,168
CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,94,52,146
