JoinField,Ward/Township,Precinct,Nick Uniejewski,Sara Feigenholtz,Total Voters
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,113,234,347
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,144,306,450
CITY OF CHICAGO:WARD 02 PRECINCT 10,2,10,49,89,138
CITY OF CHICAGO:WARD 02 PRECINCT 11,2,11,126,209,335
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,100,161,261
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,115,218,333
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,81,133,214
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,105,224,329
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,118,276,394
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,160,351,511
CITY OF CHICAGO:WARD 02 PRECINCT 18,2,18,76,107,183
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,60,112,172
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,80,143,223
CITY OF CHICAGO:WARD 02 PRECINCT 21,2,21,37,56,93
CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,71,139,210
CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,39,40,79
CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,12,32,44
CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,52,78,130
CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,290,322,612
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,151,157,308
CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,194,179,373
CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,168,187,355
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,129,131,260
CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,78,91,169
CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,184,162,346
CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,157,148,305
CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,99,148,247
CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,223,242,465
CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,183,272,455
CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,155,258,413
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,131,191,322
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,219,195,414
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,98,99,197
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,120,187,307
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,24,97,121
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,113,340,453
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,114,369,483
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,132,327,459
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,43,152,195
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,129,242,371
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,170,364,534
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,236,415,651
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,261,272,533
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,224,206,430
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,232,337,569
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,136,262,398
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,103,139,242
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,162,267,429
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,128,259,387
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,83,144,227
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,192,297,489
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,87,135,222
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,206,203,409
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,266,297,563
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,164,259,423
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,57,123,180
