JoinField,Ward,Precinct,Total Voters,Fritz Kaegi,Pat Hynes
CITY OF CHICAGO:WARD 01 PRECINCT 01,01,1,502,385,117
CITY OF CHICAGO:WARD 01 PRECINCT 02,01,2,539,375,164
CITY OF CHICAGO:WARD 01 PRECINCT 03,01,3,496,357,139
CITY OF CHICAGO:WARD 01 PRECINCT 04,01,4,504,382,122
CITY OF CHICAGO:WARD 01 PRECINCT 05,01,5,469,345,124
CITY OF CHICAGO:WARD 01 PRECINCT 06,01,6,408,286,122
CITY OF CHICAGO:WARD 01 PRECINCT 07,01,7,490,360,130
CITY OF CHICAGO:WARD 01 PRECINCT 08,01,8,374,260,114
CITY OF CHICAGO:WARD 01 PRECINCT 09,01,9,224,153,71
CITY OF CHICAGO:WARD 01 PRECINCT 10,01,10,457,320,137
CITY OF CHICAGO:WARD 01 PRECINCT 11,01,11,409,286,123
CITY OF CHICAGO:WARD 01 PRECINCT 12,01,12,217,133,84
CITY OF CHICAGO:WARD 01 PRECINCT 13,01,13,339,244,95
CITY OF CHICAGO:WARD 01 PRECINCT 14,01,14,259,159,100
CITY OF CHICAGO:WARD 01 PRECINCT 15,01,15,436,310,126
CITY OF CHICAGO:WARD 01 PRECINCT 16,01,16,448,302,146
CITY OF CHICAGO:WARD 01 PRECINCT 17,01,17,266,183,83
CITY OF CHICAGO:WARD 01 PRECINCT 18,01,18,358,253,105
CITY OF CHICAGO:WARD 01 PRECINCT 19,01,19,311,221,90
CITY OF CHICAGO:WARD 01 PRECINCT 20,01,20,307,212,95
CITY OF CHICAGO:WARD 01 PRECINCT 21,01,21,358,236,122
CITY OF CHICAGO:WARD 01 PRECINCT 22,01,22,438,305,133
CITY OF CHICAGO:WARD 01 PRECINCT 23,01,23,230,155,75
CITY OF CHICAGO:WARD 01 PRECINCT 24,01,24,466,318,148
CITY OF CHICAGO:WARD 01 PRECINCT 25,01,25,440,291,149
CITY OF CHICAGO:WARD 01 PRECINCT 26,01,26,397,234,163
CITY OF CHICAGO:WARD 02 PRECINCT 01,02,1,316,165,151
CITY OF CHICAGO:WARD 02 PRECINCT 02,02,2,524,292,232
CITY OF CHICAGO:WARD 02 PRECINCT 03,02,3,200,99,101
CITY OF CHICAGO:WARD 02 PRECINCT 04,02,4,264,151,113
CITY OF CHICAGO:WARD 02 PRECINCT 05,02,5,343,211,132
CITY OF CHICAGO:WARD 02 PRECINCT 06,02,6,513,268,245
CITY OF CHICAGO:WARD 02 PRECINCT 07,02,7,418,231,187
