JoinField,JoinField_alt,Ward/Precinct,Precinct,Fritz Kaegi,Pat Hynes,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,Barrington , 1,75,95,170
COOK:7000002,COOK:Barrington Precinct 2,Barrington , 2,81,98,179
COOK:7000003,COOK:Barrington Precinct 3,Barrington , 3,66,65,131
COOK:7000004,COOK:Barrington Precinct 4,Barrington , 4,117,150,267
COOK:7000005,COOK:Barrington Precinct 5,Barrington , 5,64,57,121
COOK:7000006,COOK:Barrington Precinct 6,Barrington , 6,83,133,216
COOK:7000007,COOK:Barrington Precinct 7,Barrington , 7,23,29,52
COOK:7000008,COOK:Barrington Precinct 8,Barrington , 8,127,128,255
COOK:7000009,COOK:Barrington Precinct 9,Barrington , 9,64,72,136
COOK:7000010,COOK:Barrington Precinct 10,Barrington , 10,121,124,245
COOK:7000011,COOK:Barrington Precinct 11,Barrington , 11,73,76,149
COOK:9901001,COOK:Berwyn  1 Precinct 1,Berwyn, 1,78,94,172
COOK:9901002,COOK:Berwyn  1 Precinct 2,Berwyn, 2,84,79,163
COOK:9901003,COOK:Berwyn  1 Precinct 3,Berwyn, 3,128,119,247
COOK:9901004,COOK:Berwyn  1 Precinct 4,Berwyn, 4,164,185,349
COOK:9902001,COOK:Berwyn  2 Precinct 1,Berwyn, 1,65,51,116
COOK:9902002,COOK:Berwyn  2 Precinct 2,Berwyn, 2,72,87,159
COOK:9902003,COOK:Berwyn  2 Precinct 3,Berwyn, 3,115,126,241
COOK:9902004,COOK:Berwyn  2 Precinct 4,Berwyn, 4,172,164,336
COOK:9903001,COOK:Berwyn  3 Precinct 1,Berwyn, 1,180,176,356
COOK:9903002,COOK:Berwyn  3 Precinct 2,Berwyn, 2,70,90,160
COOK:9903003,COOK:Berwyn  3 Precinct 3,Berwyn, 3,138,114,252
COOK:9903004,COOK:Berwyn  3 Precinct 4,Berwyn, 4,120,99,219
COOK:9904001,COOK:Berwyn  4 Precinct 1,Berwyn, 1,44,68,112
COOK:9904002,COOK:Berwyn  4 Precinct 2,Berwyn, 2,85,109,194
COOK:9904003,COOK:Berwyn  4 Precinct 3,Berwyn, 3,108,114,222
COOK:9904004,COOK:Berwyn  4 Precinct 4,Berwyn, 4,79,71,150
COOK:9905001,COOK:Berwyn  5 Precinct 1,Berwyn, 1,134,111,245
COOK:9905002,COOK:Berwyn  5 Precinct 2,Berwyn, 2,82,82,164
COOK:9905003,COOK:Berwyn  5 Precinct 3,Berwyn, 3,68,63,131
COOK:9906001,COOK:Berwyn  6 Precinct 1,Berwyn, 1,46,55,101
COOK:9906002,COOK:Berwyn  6 Precinct 2,Berwyn, 2,50,70,120
COOK:9906003,COOK:Berwyn  6 Precinct 3,Berwyn, 3,53,79,132
COOK:9906004,COOK:Berwyn  6 Precinct 4,Berwyn, 4,81,114,195
COOK:9907001,COOK:Berwyn  7 Precinct 1,Berwyn, 1,58,71,129
COOK:9907002,COOK:Berwyn  7 Precinct 2,Berwyn, 2,73,82,155
COOK:9907003,COOK:Berwyn  7 Precinct 3,Berwyn, 3,93,105,198
COOK:9907004,COOK:Berwyn  7 Precinct 4,Berwyn, 4,70,94,164
COOK:9908001,COOK:Berwyn  8 Precinct 1,Berwyn, 1,143,141,284
COOK:9908002,COOK:Berwyn  8 Precinct 2,Berwyn, 2,104,91,195
COOK:9908003,COOK:Berwyn  8 Precinct 3,Berwyn, 3,59,44,103
COOK:7100001,COOK:Bloom Precinct 1,Bloom , 1,134,195,329
COOK:7100002,COOK:Bloom Precinct 2,Bloom , 2,102,145,247
COOK:7100003,COOK:Bloom Precinct 3,Bloom , 3,30,70,100
COOK:7100004,COOK:Bloom Precinct 4,Bloom , 4,57,87,144
COOK:7100005,COOK:Bloom Precinct 5,Bloom , 5,83,188,271
COOK:7100006,COOK:Bloom Precinct 6,Bloom , 6,13,29,42
COOK:7100007,COOK:Bloom Precinct 7,Bloom , 7,67,130,197
COOK:7100008,COOK:Bloom Precinct 8,Bloom , 8,47,70,117
COOK:7100009,COOK:Bloom Precinct 9,Bloom , 9,46,79,125
COOK:7100010,COOK:Bloom Precinct 10,Bloom , 10,12,37,49
COOK:7100011,COOK:Bloom Precinct 11,Bloom , 11,30,55,85
COOK:7100012,COOK:Bloom Precinct 12,Bloom , 12,76,134,210
COOK:7100013,COOK:Bloom Precinct 13,Bloom , 13,127,234,361
COOK:7100014,COOK:Bloom Precinct 14,Bloom , 14,73,177,250
COOK:7100015,COOK:Bloom Precinct 15,Bloom , 15,30,88,118
COOK:7100016,COOK:Bloom Precinct 16,Bloom , 16,69,185,254
COOK:7100017,COOK:Bloom Precinct 17,Bloom , 17,50,125,175
COOK:7100018,COOK:Bloom Precinct 18,Bloom , 18,50,83,133
COOK:7100019,COOK:Bloom Precinct 19,Bloom , 19,80,177,257
COOK:7100020,COOK:Bloom Precinct 20,Bloom , 20,81,102,183
COOK:7100021,COOK:Bloom Precinct 21,Bloom , 21,10,16,26
COOK:7100022,COOK:Bloom Precinct 22,Bloom , 22,32,63,95
COOK:7100023,COOK:Bloom Precinct 23,Bloom , 23,50,115,165
COOK:7100024,COOK:Bloom Precinct 24,Bloom , 24,85,192,277
COOK:7100025,COOK:Bloom Precinct 25,Bloom , 25,30,90,120
COOK:7100026,COOK:Bloom Precinct 26,Bloom , 26,69,89,158
COOK:7100027,COOK:Bloom Precinct 27,Bloom , 27,47,116,163
COOK:7100028,COOK:Bloom Precinct 28,Bloom , 28,33,128,161
COOK:7100029,COOK:Bloom Precinct 29,Bloom , 29,24,42,66
COOK:7100030,COOK:Bloom Precinct 30,Bloom , 30,96,183,279
COOK:7100031,COOK:Bloom Precinct 31,Bloom , 31,108,157,265
COOK:7100032,COOK:Bloom Precinct 32,Bloom , 32,53,99,152
COOK:7100033,COOK:Bloom Precinct 33,Bloom , 33,60,150,210
COOK:7100034,COOK:Bloom Precinct 34,Bloom , 34,115,226,341
COOK:7100035,COOK:Bloom Precinct 35,Bloom , 35,28,39,67
COOK:7100036,COOK:Bloom Precinct 36,Bloom , 36,72,221,293
COOK:7100037,COOK:Bloom Precinct 37,Bloom , 37,30,111,141
COOK:7100038,COOK:Bloom Precinct 38,Bloom , 38,181,437,618
COOK:7100039,COOK:Bloom Precinct 39,Bloom , 39,39,77,116
COOK:7100040,COOK:Bloom Precinct 40,Bloom , 40,202,253,455
COOK:7100041,COOK:Bloom Precinct 41,Bloom , 41,95,199,294
COOK:7100042,COOK:Bloom Precinct 42,Bloom , 42,102,204,306
COOK:7100043,COOK:Bloom Precinct 43,Bloom , 43,63,187,250
COOK:7100044,COOK:Bloom Precinct 44,Bloom , 44,71,154,225
COOK:7100045,COOK:Bloom Precinct 45,Bloom , 45,102,224,326
COOK:7100046,COOK:Bloom Precinct 46,Bloom , 46,45,45,90
COOK:7100047,COOK:Bloom Precinct 47,Bloom , 47,83,160,243
COOK:7100048,COOK:Bloom Precinct 48,Bloom , 48,56,114,170
COOK:7100049,COOK:Bloom Precinct 49,Bloom , 49,120,303,423
COOK:7100050,COOK:Bloom Precinct 50,Bloom , 50,86,162,248
COOK:7100051,COOK:Bloom Precinct 51,Bloom , 51,35,40,75
COOK:7100052,COOK:Bloom Precinct 52,Bloom , 52,43,86,129
COOK:7100053,COOK:Bloom Precinct 53,Bloom , 53,15,58,73
COOK:7100054,COOK:Bloom Precinct 54,Bloom , 54,47,90,137
COOK:7200001,COOK:Bremen Precinct 1,Bremen , 1,57,143,200
COOK:7200002,COOK:Bremen Precinct 2,Bremen , 2,62,159,221
COOK:7200003,COOK:Bremen Precinct 3,Bremen , 3,73,124,197
COOK:7200004,COOK:Bremen Precinct 4,Bremen , 4,45,111,156
COOK:7200005,COOK:Bremen Precinct 5,Bremen , 5,38,68,106
COOK:7200006,COOK:Bremen Precinct 6,Bremen , 6,57,101,158
COOK:7200007,COOK:Bremen Precinct 7,Bremen , 7,44,83,127
COOK:7200008,COOK:Bremen Precinct 8,Bremen , 8,40,99,139
COOK:7200009,COOK:Bremen Precinct 9,Bremen , 9,69,119,188
COOK:7200010,COOK:Bremen Precinct 10,Bremen , 10,65,89,154
COOK:7200011,COOK:Bremen Precinct 11,Bremen , 11,65,119,184
COOK:7200012,COOK:Bremen Precinct 12,Bremen , 12,92,196,288
COOK:7200013,COOK:Bremen Precinct 13,Bremen , 13,52,93,145
COOK:7200014,COOK:Bremen Precinct 14,Bremen , 14,39,79,118
COOK:7200015,COOK:Bremen Precinct 15,Bremen , 15,57,126,183
COOK:7200016,COOK:Bremen Precinct 16,Bremen , 16,49,84,133
COOK:7200017,COOK:Bremen Precinct 17,Bremen , 17,65,114,179
COOK:7200018,COOK:Bremen Precinct 18,Bremen , 18,57,101,158
COOK:7200019,COOK:Bremen Precinct 19,Bremen , 19,75,129,204
COOK:7200020,COOK:Bremen Precinct 20,Bremen , 20,67,96,163
COOK:7200021,COOK:Bremen Precinct 21,Bremen , 21,58,99,157
COOK:7200022,COOK:Bremen Precinct 22,Bremen , 22,34,56,90
COOK:7200023,COOK:Bremen Precinct 23,Bremen , 23,18,29,47
COOK:7200024,COOK:Bremen Precinct 24,Bremen , 24,34,65,99
COOK:7200025,COOK:Bremen Precinct 25,Bremen , 25,65,81,146
COOK:7200026,COOK:Bremen Precinct 26,Bremen , 26,111,163,274
COOK:7200027,COOK:Bremen Precinct 27,Bremen , 27,67,95,162
COOK:7200028,COOK:Bremen Precinct 28,Bremen , 28,29,35,64
COOK:7200029,COOK:Bremen Precinct 29,Bremen , 29,83,213,296
COOK:7200030,COOK:Bremen Precinct 30,Bremen , 30,55,81,136
COOK:7200031,COOK:Bremen Precinct 31,Bremen , 31,44,132,176
COOK:7200032,COOK:Bremen Precinct 32,Bremen , 32,92,197,289
COOK:7200033,COOK:Bremen Precinct 33,Bremen , 33,53,95,148
COOK:7200034,COOK:Bremen Precinct 34,Bremen , 34,72,93,165
COOK:7200035,COOK:Bremen Precinct 35,Bremen , 35,67,148,215
COOK:7200036,COOK:Bremen Precinct 36,Bremen , 36,102,185,287
COOK:7200037,COOK:Bremen Precinct 37,Bremen , 37,70,97,167
COOK:7200038,COOK:Bremen Precinct 38,Bremen , 38,83,115,198
COOK:7200039,COOK:Bremen Precinct 39,Bremen , 39,42,60,102
COOK:7200040,COOK:Bremen Precinct 40,Bremen , 40,118,218,336
COOK:7200041,COOK:Bremen Precinct 41,Bremen , 41,66,69,135
COOK:7200042,COOK:Bremen Precinct 42,Bremen , 42,61,76,137
COOK:7200043,COOK:Bremen Precinct 43,Bremen , 43,43,85,128
COOK:7200044,COOK:Bremen Precinct 44,Bremen , 44,69,129,198
COOK:7200045,COOK:Bremen Precinct 45,Bremen , 45,25,42,67
COOK:7200046,COOK:Bremen Precinct 46,Bremen , 46,94,250,344
COOK:7200047,COOK:Bremen Precinct 47,Bremen , 47,59,103,162
COOK:7200048,COOK:Bremen Precinct 48,Bremen , 48,47,100,147
COOK:7200049,COOK:Bremen Precinct 49,Bremen , 49,65,133,198
COOK:7200050,COOK:Bremen Precinct 50,Bremen , 50,61,153,214
COOK:7200051,COOK:Bremen Precinct 51,Bremen , 51,51,81,132
COOK:7200052,COOK:Bremen Precinct 52,Bremen , 52,39,100,139
COOK:7200053,COOK:Bremen Precinct 53,Bremen , 53,23,57,80
COOK:7200054,COOK:Bremen Precinct 54,Bremen , 54,36,73,109
COOK:7200055,COOK:Bremen Precinct 55,Bremen , 55,53,57,110
