JoinField,Ward,Precinct,Total Voters,George A. Cardenas,Juanita Irizarry
CITY OF CHICAGO:WARD 11 PRECINCT 01,11,1,101,31,70
CITY OF CHICAGO:WARD 11 PRECINCT 02,11,2,44,26,18
CITY OF CHICAGO:WARD 11 PRECINCT 03,11,3,236,110,126
CITY OF CHICAGO:WARD 11 PRECINCT 04,11,4,189,82,107
CITY OF CHICAGO:WARD 11 PRECINCT 05,11,5,170,63,107
CITY OF CHICAGO:WARD 11 PRECINCT 06,11,6,250,97,153
CITY OF CHICAGO:WARD 11 PRECINCT 07,11,7,106,51,55
CITY OF CHICAGO:WARD 11 PRECINCT 08,11,8,225,125,100
CITY OF CHICAGO:WARD 11 PRECINCT 09,11,9,203,105,98
CITY OF CHICAGO:WARD 11 PRECINCT 15,11,15,293,70,223
CITY OF CHICAGO:WARD 11 PRECINCT 16,11,16,393,140,253
CITY OF CHICAGO:WARD 11 PRECINCT 17,11,17,168,55,113
CITY OF CHICAGO:WARD 11 PRECINCT 18,11,18,234,100,134
CITY OF CHICAGO:WARD 11 PRECINCT 19,11,19,74,29,45
CITY OF CHICAGO:WARD 11 PRECINCT 20,11,20,232,95,137
CITY OF CHICAGO:WARD 12 PRECINCT 01,12,1,145,55,90
CITY OF CHICAGO:WARD 12 PRECINCT 02,12,2,105,50,55
CITY OF CHICAGO:WARD 12 PRECINCT 03,12,3,246,73,173
CITY OF CHICAGO:WARD 12 PRECINCT 04,12,4,182,67,115
CITY OF CHICAGO:WARD 12 PRECINCT 05,12,5,179,69,110
CITY OF CHICAGO:WARD 12 PRECINCT 06,12,6,146,60,86
CITY OF CHICAGO:WARD 12 PRECINCT 07,12,7,143,65,78
CITY OF CHICAGO:WARD 12 PRECINCT 08,12,8,171,76,95
CITY OF CHICAGO:WARD 12 PRECINCT 09,12,9,89,28,61
CITY OF CHICAGO:WARD 12 PRECINCT 10,12,10,148,57,91
CITY OF CHICAGO:WARD 12 PRECINCT 11,12,11,120,61,59
CITY OF CHICAGO:WARD 12 PRECINCT 12,12,12,122,56,66
CITY OF CHICAGO:WARD 12 PRECINCT 13,12,13,120,56,64
CITY OF CHICAGO:WARD 12 PRECINCT 14,12,14,155,60,95
CITY OF CHICAGO:WARD 12 PRECINCT 15,12,15,146,78,68
CITY OF CHICAGO:WARD 12 PRECINCT 16,12,16,134,53,81
CITY OF CHICAGO:WARD 12 PRECINCT 17,12,17,125,46,79
CITY OF CHICAGO:WARD 12 PRECINCT 18,12,18,134,64,70
CITY OF CHICAGO:WARD 12 PRECINCT 19,12,19,104,36,68
CITY OF CHICAGO:WARD 12 PRECINCT 20,12,20,168,77,91
CITY OF CHICAGO:WARD 12 PRECINCT 21,12,21,145,60,85
CITY OF CHICAGO:WARD 12 PRECINCT 22,12,22,108,54,54
CITY OF CHICAGO:WARD 13 PRECINCT 01,13,1,134,73,61
CITY OF CHICAGO:WARD 13 PRECINCT 02,13,2,130,60,70
CITY OF CHICAGO:WARD 13 PRECINCT 03,13,3,179,109,70
CITY OF CHICAGO:WARD 13 PRECINCT 04,13,4,169,88,81
CITY OF CHICAGO:WARD 13 PRECINCT 05,13,5,141,73,68
CITY OF CHICAGO:WARD 13 PRECINCT 06,13,6,118,69,49
CITY OF CHICAGO:WARD 13 PRECINCT 07,13,7,129,85,44
CITY OF CHICAGO:WARD 13 PRECINCT 08,13,8,192,97,95
CITY OF CHICAGO:WARD 13 PRECINCT 09,13,9,210,141,69
CITY OF CHICAGO:WARD 13 PRECINCT 10,13,10,195,129,66
CITY OF CHICAGO:WARD 13 PRECINCT 11,13,11,89,53,36
CITY OF CHICAGO:WARD 13 PRECINCT 12,13,12,108,66,42
CITY OF CHICAGO:WARD 13 PRECINCT 13,13,13,93,63,30
CITY OF CHICAGO:WARD 13 PRECINCT 14,13,14,162,98,64
CITY OF CHICAGO:WARD 13 PRECINCT 15,13,15,107,71,36
CITY OF CHICAGO:WARD 13 PRECINCT 16,13,16,156,91,65
CITY OF CHICAGO:WARD 13 PRECINCT 17,13,17,178,105,73
CITY OF CHICAGO:WARD 13 PRECINCT 18,13,18,127,65,62
CITY OF CHICAGO:WARD 13 PRECINCT 19,13,19,92,52,40
CITY OF CHICAGO:WARD 13 PRECINCT 20,13,20,155,104,51
CITY OF CHICAGO:WARD 13 PRECINCT 21,13,21,124,82,42
CITY OF CHICAGO:WARD 13 PRECINCT 22,13,22,183,97,86
CITY OF CHICAGO:WARD 13 PRECINCT 23,13,23,150,81,69
CITY OF CHICAGO:WARD 13 PRECINCT 24,13,24,130,89,41
CITY OF CHICAGO:WARD 13 PRECINCT 25,13,25,148,84,64
CITY OF CHICAGO:WARD 13 PRECINCT 26,13,26,133,72,61
CITY OF CHICAGO:WARD 13 PRECINCT 27,13,27,122,64,58
CITY OF CHICAGO:WARD 13 PRECINCT 28,13,28,136,80,56
CITY OF CHICAGO:WARD 13 PRECINCT 29,13,29,107,61,46
CITY OF CHICAGO:WARD 13 PRECINCT 30,13,30,163,90,73
CITY OF CHICAGO:WARD 13 PRECINCT 31,13,31,89,61,28
CITY OF CHICAGO:WARD 13 PRECINCT 32,13,32,106,69,37
CITY OF CHICAGO:WARD 13 PRECINCT 33,13,33,124,62,62
CITY OF CHICAGO:WARD 13 PRECINCT 34,13,34,178,114,64
CITY OF CHICAGO:WARD 13 PRECINCT 35,13,35,213,122,91
CITY OF CHICAGO:WARD 13 PRECINCT 36,13,36,133,82,51
CITY OF CHICAGO:WARD 13 PRECINCT 37,13,37,141,86,55
CITY OF CHICAGO:WARD 13 PRECINCT 38,13,38,83,48,35
CITY OF CHICAGO:WARD 13 PRECINCT 39,13,39,140,77,63
CITY OF CHICAGO:WARD 13 PRECINCT 40,13,40,132,77,55
CITY OF CHICAGO:WARD 14 PRECINCT 01,14,1,107,42,65
CITY OF CHICAGO:WARD 14 PRECINCT 02,14,2,150,58,92
CITY OF CHICAGO:WARD 14 PRECINCT 03,14,3,128,47,81
CITY OF CHICAGO:WARD 14 PRECINCT 04,14,4,42,20,22
CITY OF CHICAGO:WARD 14 PRECINCT 05,14,5,176,69,107
CITY OF CHICAGO:WARD 14 PRECINCT 06,14,6,244,85,159
CITY OF CHICAGO:WARD 14 PRECINCT 07,14,7,227,89,138
CITY OF CHICAGO:WARD 14 PRECINCT 08,14,8,223,89,134
CITY OF CHICAGO:WARD 14 PRECINCT 09,14,9,233,103,130
CITY OF CHICAGO:WARD 14 PRECINCT 10,14,10,230,93,137
CITY OF CHICAGO:WARD 14 PRECINCT 11,14,11,259,93,166
CITY OF CHICAGO:WARD 14 PRECINCT 12,14,12,185,88,97
CITY OF CHICAGO:WARD 14 PRECINCT 13,14,13,227,106,121
CITY OF CHICAGO:WARD 14 PRECINCT 14,14,14,132,53,79
CITY OF CHICAGO:WARD 14 PRECINCT 15,14,15,148,67,81
CITY OF CHICAGO:WARD 15 PRECINCT 04,15,4,129,72,57
CITY OF CHICAGO:WARD 15 PRECINCT 05,15,5,117,57,60
CITY OF CHICAGO:WARD 15 PRECINCT 06,15,6,46,18,28
CITY OF CHICAGO:WARD 15 PRECINCT 07,15,7,12,5,7
CITY OF CHICAGO:WARD 15 PRECINCT 08,15,8,148,63,85
CITY OF CHICAGO:WARD 15 PRECINCT 09,15,9,133,63,70
CITY OF CHICAGO:WARD 15 PRECINCT 10,15,10,111,67,44
CITY OF CHICAGO:WARD 15 PRECINCT 11,15,11,111,55,56
CITY OF CHICAGO:WARD 15 PRECINCT 12,15,12,153,70,83
CITY OF CHICAGO:WARD 15 PRECINCT 13,15,13,136,53,83
CITY OF CHICAGO:WARD 15 PRECINCT 14,15,14,99,48,51
CITY OF CHICAGO:WARD 15 PRECINCT 15,15,15,86,37,49
CITY OF CHICAGO:WARD 15 PRECINCT 16,15,16,174,91,83
CITY OF CHICAGO:WARD 15 PRECINCT 20,15,20,146,68,78
CITY OF CHICAGO:WARD 16 PRECINCT 17,16,17,215,132,83
CITY OF CHICAGO:WARD 16 PRECINCT 18,16,18,125,71,54
CITY OF CHICAGO:WARD 16 PRECINCT 19,16,19,177,86,91
CITY OF CHICAGO:WARD 16 PRECINCT 23,16,23,126,62,64
CITY OF CHICAGO:WARD 19 PRECINCT 01,19,1,395,291,104
CITY OF CHICAGO:WARD 19 PRECINCT 02,19,2,491,290,201
CITY OF CHICAGO:WARD 19 PRECINCT 03,19,3,139,111,28
CITY OF CHICAGO:WARD 19 PRECINCT 04,19,4,177,128,49
CITY OF CHICAGO:WARD 19 PRECINCT 05,19,5,424,266,158
CITY OF CHICAGO:WARD 19 PRECINCT 06,19,6,188,134,54
CITY OF CHICAGO:WARD 19 PRECINCT 07,19,7,382,266,116
CITY OF CHICAGO:WARD 19 PRECINCT 08,19,8,139,79,60
CITY OF CHICAGO:WARD 19 PRECINCT 09,19,9,301,172,129
CITY OF CHICAGO:WARD 19 PRECINCT 10,19,10,394,256,138
CITY OF CHICAGO:WARD 19 PRECINCT 11,19,11,155,104,51
CITY OF CHICAGO:WARD 19 PRECINCT 12,19,12,279,199,80
CITY OF CHICAGO:WARD 19 PRECINCT 13,19,13,364,182,182
CITY OF CHICAGO:WARD 19 PRECINCT 14,19,14,449,269,180
CITY OF CHICAGO:WARD 19 PRECINCT 15,19,15,132,88,44
CITY OF CHICAGO:WARD 19 PRECINCT 16,19,16,194,135,59
CITY OF CHICAGO:WARD 19 PRECINCT 17,19,17,227,180,47
CITY OF CHICAGO:WARD 19 PRECINCT 18,19,18,129,99,30
CITY OF CHICAGO:WARD 19 PRECINCT 19,19,19,421,208,213
CITY OF CHICAGO:WARD 19 PRECINCT 20,19,20,294,181,113
CITY OF CHICAGO:WARD 19 PRECINCT 21,19,21,280,207,73
CITY OF CHICAGO:WARD 19 PRECINCT 22,19,22,364,221,143
CITY OF CHICAGO:WARD 19 PRECINCT 23,19,23,273,199,74
CITY OF CHICAGO:WARD 19 PRECINCT 24,19,24,146,118,28
CITY OF CHICAGO:WARD 19 PRECINCT 25,19,25,262,154,108
CITY OF CHICAGO:WARD 19 PRECINCT 26,19,26,270,169,101
CITY OF CHICAGO:WARD 19 PRECINCT 27,19,27,369,193,176
CITY OF CHICAGO:WARD 19 PRECINCT 28,19,28,605,285,320
CITY OF CHICAGO:WARD 19 PRECINCT 29,19,29,225,157,68
CITY OF CHICAGO:WARD 19 PRECINCT 30,19,30,165,119,46
CITY OF CHICAGO:WARD 19 PRECINCT 31,19,31,498,278,220
CITY OF CHICAGO:WARD 19 PRECINCT 32,19,32,367,209,158
CITY OF CHICAGO:WARD 19 PRECINCT 33,19,33,114,79,35
CITY OF CHICAGO:WARD 19 PRECINCT 34,19,34,513,417,96
CITY OF CHICAGO:WARD 19 PRECINCT 35,19,35,354,248,106
CITY OF CHICAGO:WARD 19 PRECINCT 36,19,36,295,192,103
CITY OF CHICAGO:WARD 20 PRECINCT 01,20,1,45,16,29
CITY OF CHICAGO:WARD 20 PRECINCT 02,20,2,56,15,41
CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,108,54,54
CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,68,23,45
CITY OF CHICAGO:WARD 22 PRECINCT 03,22,3,156,61,95
CITY OF CHICAGO:WARD 22 PRECINCT 04,22,4,98,48,50
CITY OF CHICAGO:WARD 22 PRECINCT 05,22,5,229,94,135
CITY OF CHICAGO:WARD 22 PRECINCT 06,22,6,115,49,66
CITY OF CHICAGO:WARD 22 PRECINCT 07,22,7,134,44,90
CITY OF CHICAGO:WARD 22 PRECINCT 08,22,8,142,62,80
CITY OF CHICAGO:WARD 22 PRECINCT 09,22,9,176,80,96
CITY OF CHICAGO:WARD 22 PRECINCT 10,22,10,176,66,110
CITY OF CHICAGO:WARD 22 PRECINCT 11,22,11,213,78,135
CITY OF CHICAGO:WARD 22 PRECINCT 12,22,12,119,51,68
CITY OF CHICAGO:WARD 22 PRECINCT 13,22,13,170,60,110
CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,129,50,79
CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,87,30,57
CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,190,84,106
CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,71,30,41
CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,159,68,91
CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,234,106,128
CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,108,64,44
CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,188,119,69
