JoinField,JoinField_alt,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
COOK:7400001,COOK:Elk Grove Precinct 1,66,126,192
COOK:7400005,COOK:Elk Grove Precinct 5,70,180,250
COOK:7400006,COOK:Elk Grove Precinct 6,77,160,237
COOK:7400007,COOK:Elk Grove Precinct 7,84,149,233
COOK:7400010,COOK:Elk Grove Precinct 10,96,141,237
COOK:7400011,COOK:Elk Grove Precinct 11,75,112,187
COOK:7400013,COOK:Elk Grove Precinct 13,30,38,68
COOK:7400014,COOK:Elk Grove Precinct 14,56,75,131
COOK:7400015,COOK:Elk Grove Precinct 15,84,100,184
COOK:7400016,COOK:Elk Grove Precinct 16,65,124,189
COOK:7400019,COOK:Elk Grove Precinct 19,67,119,186
COOK:7400021,COOK:Elk Grove Precinct 21,47,74,121
COOK:7400022,COOK:Elk Grove Precinct 22,67,74,141
COOK:7400023,COOK:Elk Grove Precinct 23,75,158,233
COOK:7400024,COOK:Elk Grove Precinct 24,41,71,112
COOK:7400025,COOK:Elk Grove Precinct 25,55,66,121
COOK:7400026,COOK:Elk Grove Precinct 26,46,67,113
COOK:7400027,COOK:Elk Grove Precinct 27,78,90,168
COOK:7400030,COOK:Elk Grove Precinct 30,67,77,144
COOK:7400031,COOK:Elk Grove Precinct 31,59,76,135
COOK:7400032,COOK:Elk Grove Precinct 32,29,41,70
COOK:7400033,COOK:Elk Grove Precinct 33,66,110,176
COOK:7400034,COOK:Elk Grove Precinct 34,114,183,297
COOK:7400035,COOK:Elk Grove Precinct 35,46,61,107
COOK:7400036,COOK:Elk Grove Precinct 36,34,54,88
COOK:7400037,COOK:Elk Grove Precinct 37,59,95,154
COOK:7400038,COOK:Elk Grove Precinct 38,38,30,68
COOK:7400039,COOK:Elk Grove Precinct 39,69,100,169
COOK:7400041,COOK:Elk Grove Precinct 41,64,104,168
COOK:7400042,COOK:Elk Grove Precinct 42,46,55,101
COOK:7400044,COOK:Elk Grove Precinct 44,37,43,80
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,42,68,110
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,120,187,307
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,101,184,285
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,186,340,526
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,225,377,602
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,123,142,265
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,137,147,284
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,194,263,457
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,67,102,169
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,115,246,361
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,155,263,418
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,181,309,490
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,190,325,515
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,145,219,364
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,84,115,199
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,99,170,269
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,64,122,186
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,195,400,595
