JoinField,Ward,Precinct,Total Voters,Toni Preckwinkle,Brendan Reilly
CITY OF CHICAGO:WARD 01 PRECINCT 01,01,1,527,433,94
CITY OF CHICAGO:WARD 01 PRECINCT 02,01,2,551,461,90
CITY OF CHICAGO:WARD 01 PRECINCT 03,01,3,515,411,104
CITY OF CHICAGO:WARD 01 PRECINCT 04,01,4,512,434,78
CITY OF CHICAGO:WARD 01 PRECINCT 05,01,5,479,388,91
CITY OF CHICAGO:WARD 01 PRECINCT 06,01,6,420,311,109
CITY OF CHICAGO:WARD 01 PRECINCT 07,01,7,505,421,84
CITY OF CHICAGO:WARD 01 PRECINCT 08,01,8,379,295,84
CITY OF CHICAGO:WARD 01 PRECINCT 09,01,9,237,176,61
CITY OF CHICAGO:WARD 01 PRECINCT 10,01,10,469,369,100
CITY OF CHICAGO:WARD 01 PRECINCT 11,01,11,431,348,83
CITY OF CHICAGO:WARD 01 PRECINCT 12,01,12,223,165,58
CITY OF CHICAGO:WARD 01 PRECINCT 13,01,13,347,283,64
CITY OF CHICAGO:WARD 01 PRECINCT 14,01,14,271,204,67
CITY OF CHICAGO:WARD 01 PRECINCT 15,01,15,455,323,132
CITY OF CHICAGO:WARD 01 PRECINCT 16,01,16,463,349,114
CITY OF CHICAGO:WARD 01 PRECINCT 17,01,17,276,208,68
CITY OF CHICAGO:WARD 01 PRECINCT 18,01,18,381,290,91
CITY OF CHICAGO:WARD 01 PRECINCT 19,01,19,318,240,78
CITY OF CHICAGO:WARD 01 PRECINCT 20,01,20,320,237,83
CITY OF CHICAGO:WARD 01 PRECINCT 21,01,21,365,275,90
CITY OF CHICAGO:WARD 01 PRECINCT 22,01,22,461,350,111
CITY OF CHICAGO:WARD 01 PRECINCT 23,01,23,237,172,65
CITY OF CHICAGO:WARD 01 PRECINCT 24,01,24,482,343,139
CITY OF CHICAGO:WARD 01 PRECINCT 25,01,25,468,339,129
CITY OF CHICAGO:WARD 01 PRECINCT 26,01,26,419,297,122
CITY OF CHICAGO:WARD 02 PRECINCT 01,02,1,333,150,183
CITY OF CHICAGO:WARD 02 PRECINCT 02,02,2,556,247,309
CITY OF CHICAGO:WARD 02 PRECINCT 03,02,3,213,117,96
CITY OF CHICAGO:WARD 02 PRECINCT 04,02,4,284,143,141
CITY OF CHICAGO:WARD 02 PRECINCT 05,02,5,365,169,196
CITY OF CHICAGO:WARD 02 PRECINCT 06,02,6,536,217,319
CITY OF CHICAGO:WARD 02 PRECINCT 07,02,7,433,178,255
CITY OF CHICAGO:WARD 02 PRECINCT 08,02,8,368,154,214
CITY OF CHICAGO:WARD 02 PRECINCT 09,02,9,485,214,271
CITY OF CHICAGO:WARD 02 PRECINCT 10,02,10,181,108,73
CITY OF CHICAGO:WARD 02 PRECINCT 11,02,11,342,170,172
