JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,112,66,178
COOK:7000002,COOK:Barrington Precinct 2,136,54,190
COOK:7000003,COOK:Barrington Precinct 3,83,58,141
COOK:7000004,COOK:Barrington Precinct 4,187,112,299
COOK:7000005,COOK:Barrington Precinct 5,85,46,131
COOK:7000006,COOK:Barrington Precinct 6,123,106,229
COOK:7000007,COOK:Barrington Precinct 7,37,20,57
COOK:7000008,COOK:Barrington Precinct 8,168,107,275
COOK:7000009,COOK:Barrington Precinct 9,99,49,148
COOK:7000010,COOK:Barrington Precinct 10,155,98,253
COOK:7000011,COOK:Barrington Precinct 11,114,64,178
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,107,73,180
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,112,59,171
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,169,86,255
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,248,113,361
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,79,40,119
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,103,60,163
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,147,101,248
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,219,129,348
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,239,133,372
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,104,59,163
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,179,85,264
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,153,68,221
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,62,49,111
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,136,67,203
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,157,72,229
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,101,55,156
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,161,88,249
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,125,46,171
COOK:9905003,COOK:Berwyn Ward 5 Precinct 3,96,33,129
COOK:9906001,COOK:Berwyn Ward 6 Precinct 1,75,31,106
COOK:9906002,COOK:Berwyn Ward 6 Precinct 2,79,34,113
COOK:9906003,COOK:Berwyn Ward 6 Precinct 3,104,38,142
COOK:9906004,COOK:Berwyn Ward 6 Precinct 4,138,61,199
