JoinField,Ward,Precinct,Total Voters,Drake Warren,Bridget Gainer
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,242,124,118
CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,282,91,191
CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,155,61,94
CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,238,85,153
CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,237,116,121
CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,342,111,231
CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,320,185,135
CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,374,150,224
CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,159,78,81
CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,431,255,176
CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,203,88,115
CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,141,58,83
CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,40,17,23
CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,173,80,93
CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,112,44,68
CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,163,64,99
CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,422,165,257
CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,168,56,112
CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,161,55,106
CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,377,181,196
CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,164,108,56
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,240,113,127
CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,404,229,175
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,217,114,103
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,372,220,152
CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,746,491,255
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,324,183,141
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,451,248,203
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,504,296,208
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,709,457,252
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,492,325,167
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,440,304,136
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,514,341,173
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,51,27,24
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,64,26,38
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,84,36,48
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,133,47,86
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,174,67,107
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,162,66,96
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,168,69,99
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,133,60,73
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,304,129,175
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,209,95,114
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,182,92,90
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,78,35,43
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,239,102,137
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,320,149,171
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,162,53,109
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,129,45,84
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,249,96,153
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,466,248,218
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,74,41,33
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,574,334,240
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,364,191,173
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,416,177,239
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,585,290,295
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,518,331,187
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,407,237,170
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,462,251,211
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,578,259,319
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,545,305,240
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,543,322,221
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,387,197,190
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,637,315,322
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,569,353,216
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,519,327,192
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,589,347,242
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,576,299,277
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,675,388,287
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,386,245,141
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,526,301,225
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,366,248,118
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,604,349,255
