JoinField,JoinField_alt,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,22,18,59,75,174
COOK:7000002,COOK:Barrington Precinct 2,51,14,46,75,186
COOK:7000003,COOK:Barrington Precinct 3,40,9,39,47,135
COOK:7000004,COOK:Barrington Precinct 4,136,32,61,76,305
COOK:7000005,COOK:Barrington Precinct 5,23,20,46,37,126
COOK:7000006,COOK:Barrington Precinct 6,38,17,53,109,217
COOK:7000007,COOK:Barrington Precinct 7,24,4,13,14,55
COOK:7000008,COOK:Barrington Precinct 8,143,17,64,69,293
COOK:7000009,COOK:Barrington Precinct 9,32,11,44,49,136
COOK:7000010,COOK:Barrington Precinct 10,57,23,76,98,254
COOK:7000011,COOK:Barrington Precinct 11,88,5,34,50,177
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,72,10,32,64,178
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,88,14,24,45,171
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,155,17,29,58,259
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,154,18,44,137,353
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,55,12,15,36,118
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,105,5,19,33,162
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,139,8,29,69,245
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,175,18,47,108,348
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,198,15,52,92,357
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,81,3,21,54,159
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,121,16,41,80,258
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,121,7,36,57,221
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,63,5,17,29,114
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,120,15,23,37,195
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,141,10,31,45,227
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,97,12,14,31,154
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,135,9,32,74,250
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,101,10,17,44,172
COOK:9905003,COOK:Berwyn Ward 5 Precinct 3,86,4,15,30,135
COOK:9906001,COOK:Berwyn Ward 6 Precinct 1,54,4,14,25,97
COOK:9906002,COOK:Berwyn Ward 6 Precinct 2,63,10,20,23,116
COOK:9906003,COOK:Berwyn Ward 6 Precinct 3,74,9,9,48,140
COOK:9906004,COOK:Berwyn Ward 6 Precinct 4,121,7,32,34,194
COOK:9907001,COOK:Berwyn Ward 7 Precinct 1,85,8,15,28,136
COOK:9907002,COOK:Berwyn Ward 7 Precinct 2,77,5,21,53,156
COOK:9907003,COOK:Berwyn Ward 7 Precinct 3,121,13,24,45,203
COOK:9907004,COOK:Berwyn Ward 7 Precinct 4,82,10,30,49,171
COOK:9908001,COOK:Berwyn Ward 8 Precinct 1,143,18,41,89,291
COOK:9908002,COOK:Berwyn Ward 8 Precinct 2,122,7,28,50,207
COOK:9908003,COOK:Berwyn Ward 8 Precinct 3,62,9,16,20,107
COOK:7100001,COOK:Bloom Precinct 1,93,22,65,144,324
COOK:7100002,COOK:Bloom Precinct 2,65,11,52,119,247
COOK:7100003,COOK:Bloom Precinct 3,30,9,14,48,101
COOK:7100004,COOK:Bloom Precinct 4,52,4,32,57,145
COOK:7100005,COOK:Bloom Precinct 5,82,12,56,128,278
COOK:7100006,COOK:Bloom Precinct 6,14,6,7,14,41
COOK:7100007,COOK:Bloom Precinct 7,45,14,34,110,203
COOK:7100008,COOK:Bloom Precinct 8,38,13,21,45,117
COOK:7100009,COOK:Bloom Precinct 9,38,11,22,55,126
COOK:7100010,COOK:Bloom Precinct 10,16,7,10,14,47
COOK:7100011,COOK:Bloom Precinct 11,27,3,15,39,84
COOK:7100012,COOK:Bloom Precinct 12,49,24,36,104,213
COOK:7100013,COOK:Bloom Precinct 13,90,20,65,183,358
COOK:7100014,COOK:Bloom Precinct 14,66,18,47,114,245
COOK:7100015,COOK:Bloom Precinct 15,31,6,19,60,116
COOK:7100016,COOK:Bloom Precinct 16,65,18,59,107,249
COOK:7100017,COOK:Bloom Precinct 17,36,17,24,98,175
COOK:7100018,COOK:Bloom Precinct 18,45,10,18,62,135
COOK:7100019,COOK:Bloom Precinct 19,64,12,44,123,243
COOK:7100020,COOK:Bloom Precinct 20,40,13,48,83,184
COOK:7100021,COOK:Bloom Precinct 21,7,1,8,14,30
COOK:7100022,COOK:Bloom Precinct 22,41,3,28,27,99
COOK:7100023,COOK:Bloom Precinct 23,51,17,31,68,167
COOK:7100024,COOK:Bloom Precinct 24,64,19,74,125,282
COOK:7100025,COOK:Bloom Precinct 25,38,7,17,57,119
COOK:7100026,COOK:Bloom Precinct 26,33,9,28,84,154
COOK:7100027,COOK:Bloom Precinct 27,36,16,29,76,157
COOK:7100028,COOK:Bloom Precinct 28,29,8,21,104,162
COOK:7100029,COOK:Bloom Precinct 29,17,11,11,28,67
COOK:7100030,COOK:Bloom Precinct 30,79,17,49,130,275
COOK:7100031,COOK:Bloom Precinct 31,83,17,43,119,262
COOK:7100032,COOK:Bloom Precinct 32,44,15,36,64,159
COOK:7100033,COOK:Bloom Precinct 33,49,13,45,107,214
COOK:7100034,COOK:Bloom Precinct 34,77,35,52,174,338
COOK:7100035,COOK:Bloom Precinct 35,28,1,7,34,70
COOK:7100036,COOK:Bloom Precinct 36,68,19,64,144,295
