JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
DUPAGE:ADDISON 001,41,12,30,56,139
DUPAGE:ADDISON 002,44,11,50,35,140
DUPAGE:ADDISON 003,40,10,29,42,121
DUPAGE:ADDISON 004,26,5,17,8,56
DUPAGE:ADDISON 005,33,4,12,15,64
DUPAGE:ADDISON 006,71,9,15,30,125
DUPAGE:ADDISON 007,63,7,32,36,138
DUPAGE:ADDISON 008,57,5,12,28,102
DUPAGE:ADDISON 009,49,6,17,28,100
DUPAGE:ADDISON 010,40,21,42,56,159
DUPAGE:ADDISON 011,39,19,40,29,127
DUPAGE:ADDISON 012,58,10,35,42,145
DUPAGE:ADDISON 013,55,19,29,46,149
DUPAGE:ADDISON 014,48,12,21,42,123
DUPAGE:ADDISON 015,44,20,40,33,137
DUPAGE:ADDISON 016,42,15,45,45,147
DUPAGE:ADDISON 017,44,6,17,28,95
DUPAGE:ADDISON 018,66,7,30,35,138
DUPAGE:ADDISON 019,56,11,21,22,110
DUPAGE:ADDISON 020,40,12,15,28,95
DUPAGE:ADDISON 021,42,11,15,30,98
DUPAGE:ADDISON 022,36,16,21,32,105
DUPAGE:ADDISON 023,29,13,22,23,87
DUPAGE:ADDISON 024,18,14,20,26,78
DUPAGE:ADDISON 025,29,13,14,24,80
DUPAGE:ADDISON 026,29,13,14,18,74
DUPAGE:ADDISON 027,46,2,28,39,115
DUPAGE:ADDISON 028,70,11,20,22,123
DUPAGE:ADDISON 029,62,2,21,13,98
DUPAGE:ADDISON 030,50,15,30,41,136
DUPAGE:ADDISON 031,50,13,42,30,135
DUPAGE:ADDISON 032,58,9,24,33,124
DUPAGE:ADDISON 033,37,5,24,30,96
DUPAGE:ADDISON 034,40,8,32,28,108
DUPAGE:ADDISON 035,70,4,35,30,139
DUPAGE:ADDISON 036,69,6,21,29,125
DUPAGE:ADDISON 037,48,11,11,13,83
DUPAGE:ADDISON 038,37,10,13,26,86
DUPAGE:ADDISON 039,65,5,22,49,141
DUPAGE:ADDISON 040,61,15,34,45,155
DUPAGE:ADDISON 041,28,5,10,23,66
DUPAGE:ADDISON 042,61,8,17,24,110
DUPAGE:ADDISON 043,42,8,13,23,86
DUPAGE:ADDISON 044,63,8,26,33,130
DUPAGE:ADDISON 045,59,16,46,44,165
DUPAGE:ADDISON 046,76,18,49,50,193
DUPAGE:ADDISON 047,69,8,21,24,122
DUPAGE:ADDISON 048,62,8,25,21,116
DUPAGE:ADDISON 049,29,12,43,24,108
DUPAGE:ADDISON 050,52,15,63,58,188
