JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
LAKE:ANTIOCH 1,16,12,60,32,120
LAKE:ANTIOCH 2,16,8,24,23,71
LAKE:ANTIOCH 3,16,7,56,23,102
LAKE:ANTIOCH 4,18,7,46,16,87
LAKE:ANTIOCH 5,22,10,44,20,96
LAKE:ANTIOCH 6,24,9,47,31,111
LAKE:ANTIOCH 7,25,3,51,26,105
LAKE:ANTIOCH 8,20,8,77,36,141
LAKE:ANTIOCH 9,23,14,72,29,138
LAKE:ANTIOCH 10,17,6,48,13,84
LAKE:ANTIOCH 11,29,3,59,36,127
LAKE:ANTIOCH 12,22,8,52,24,106
LAKE:ANTIOCH 13,21,5,45,32,103
LAKE:ANTIOCH 14,22,12,48,33,115
LAKE:ANTIOCH 15,19,13,55,33,120
LAKE:ANTIOCH 16,13,12,49,19,93
LAKE:ANTIOCH 17,5,4,29,16,54
LAKE:ANTIOCH 18,19,18,45,32,114
LAKE:ANTIOCH 19,14,8,35,27,84
LAKE:AVON 20,43,5,56,11,115
LAKE:AVON 21,39,3,29,13,84
LAKE:AVON 22,28,6,39,16,89
LAKE:AVON 23,40,4,43,15,102
LAKE:AVON 24,40,12,39,23,114
LAKE:AVON 25,23,9,110,50,192
LAKE:AVON 26,13,12,67,22,114
LAKE:AVON 27,38,4,53,13,108
LAKE:AVON 28,58,4,28,12,102
LAKE:AVON 29,78,6,58,15,157
LAKE:AVON 30,71,3,38,12,124
LAKE:AVON 31,66,4,35,9,114
LAKE:AVON 32,45,4,63,16,128
LAKE:AVON 33,57,5,50,15,127
LAKE:AVON 34,52,4,51,16,123
LAKE:AVON 35,33,2,89,25,149
LAKE:AVON 36,40,7,85,13,145
LAKE:AVON 37,42,6,82,18,148
LAKE:AVON 38,27,4,55,17,103
LAKE:AVON 39,51,5,68,29,153
LAKE:AVON 40,33,6,69,20,128
LAKE:AVON 41,51,6,44,17,118
LAKE:AVON 42,45,8,71,13,137
LAKE:AVON 43,35,10,92,26,163
LAKE:AVON 44,30,4,125,39,198
LAKE:AVON 45,38,6,77,40,161
LAKE:AVON 46,37,10,99,24,170
LAKE:AVON 47,38,5,110,33,186
LAKE:AVON 48,33,3,126,37,199
LAKE:AVON 49,33,7,108,31,179
LAKE:AVON 50,36,5,97,28,166
LAKE:AVON 51,26,14,97,32,169
LAKE:AVON 52,32,5,121,42,200
LAKE:BENTON 53,26,3,46,24,99
LAKE:BENTON 54,21,9,58,20,108
LAKE:BENTON 55,14,8,49,30,101
LAKE:BENTON 56,15,6,35,18,74
LAKE:BENTON 57,12,5,16,15,48
LAKE:BENTON 58,13,3,40,16,72
LAKE:BENTON 59,22,3,47,18,90
LAKE:BENTON 60,24,3,36,14,77
LAKE:BENTON 61,51,9,73,30,163
LAKE:BENTON 62,40,10,53,17,120
LAKE:BENTON 63,27,5,41,29,102
LAKE:BENTON 64,8,1,14,8,31
LAKE:BENTON 65,28,4,31,13,76
LAKE:CUBA 66,11,5,26,26,68
LAKE:CUBA 67,27,14,69,41,151
LAKE:CUBA 68,26,13,91,58,188
LAKE:CUBA 69,14,12,53,27,106
