JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
MCHENRY:ALD 1,23,17,28,33,101
MCHENRY:ALG 1,30,15,53,39,137
MCHENRY:ALG 10,34,10,36,32,112
MCHENRY:ALG 11,32,16,30,40,118
MCHENRY:ALG 12,36,9,37,45,127
MCHENRY:ALG 13,23,11,36,46,116
MCHENRY:ALG 14,33,16,53,50,152
MCHENRY:ALG 15,22,9,17,41,89
MCHENRY:ALG 16,36,18,36,36,126
MCHENRY:ALG 17,32,12,27,37,108
MCHENRY:ALG 18,33,15,49,72,169
MCHENRY:ALG 19,25,9,17,39,90
MCHENRY:ALG 2,55,25,55,67,202
MCHENRY:ALG 20,44,18,37,33,132
MCHENRY:ALG 21,42,17,45,45,149
MCHENRY:ALG 22,45,12,61,50,168
MCHENRY:ALG 23,28,9,34,26,97
MCHENRY:ALG 24,23,8,26,19,76
MCHENRY:ALG 25,31,13,27,22,93
MCHENRY:ALG 26,25,7,23,27,82
MCHENRY:ALG 27,35,11,30,36,112
MCHENRY:ALG 28,71,18,67,62,218
MCHENRY:ALG 29,36,10,27,24,97
MCHENRY:ALG 3,40,10,44,34,128
MCHENRY:ALG 30,36,12,25,28,101
MCHENRY:ALG 31,50,13,36,35,134
MCHENRY:ALG 32,41,10,22,52,125
MCHENRY:ALG 33,38,13,47,63,161
MCHENRY:ALG 34,32,11,40,46,129
MCHENRY:ALG 35,38,10,29,32,109
MCHENRY:ALG 36,25,10,48,31,114
MCHENRY:ALG 37,19,8,26,43,96
MCHENRY:ALG 38,30,11,30,43,114
MCHENRY:ALG 39,22,7,40,44,113
MCHENRY:ALG 4,53,11,37,40,141
MCHENRY:ALG 40,26,9,29,42,106
MCHENRY:ALG 41,27,10,38,47,122
MCHENRY:ALG 42,37,10,52,61,160
MCHENRY:ALG 43,18,13,21,29,81
MCHENRY:ALG 44,27,14,32,24,97
MCHENRY:ALG 45,35,18,46,39,138
MCHENRY:ALG 46,52,13,46,56,167
MCHENRY:ALG 47,35,18,36,43,132
MCHENRY:ALG 48,40,12,50,47,149
MCHENRY:ALG 49,34,13,30,39,116
MCHENRY:ALG 5,41,17,39,44,141
MCHENRY:ALG 50,28,13,44,65,150
MCHENRY:ALG 51,31,18,40,50,139
MCHENRY:ALG 52,42,13,45,49,149
MCHENRY:ALG 53,23,11,25,45,104
MCHENRY:ALG 54,22,10,41,32,105
MCHENRY:ALG 55,28,25,47,57,157
MCHENRY:ALG 56,37,23,51,53,164
MCHENRY:ALG 57,29,13,45,58,145
MCHENRY:ALG 58,46,9,47,51,153
MCHENRY:ALG 59,42,21,36,44,143
MCHENRY:ALG 6,40,14,37,38,129
MCHENRY:ALG 60,29,6,42,42,119
MCHENRY:ALG 61,37,14,46,43,140
MCHENRY:ALG 62,22,24,47,42,135
MCHENRY:ALG 63,35,16,45,48,144
MCHENRY:ALG 7,29,12,30,38,109
MCHENRY:ALG 8,49,20,52,53,174
MCHENRY:ALG 9,34,11,26,76,147
MCHENRY:BUR 1,13,9,25,27,74
MCHENRY:BUR 2,16,7,19,28,70
MCHENRY:BUR 3,25,5,31,25,86
MCHENRY:BUR 4,13,8,23,29,73
MCHENRY:CHE 1,17,7,32,28,84
MCHENRY:CHE 2,23,7,8,18,56
MCHENRY:CHE 3,21,8,19,11,59
