JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
WILL:CHANNAHON PCT 001,34,8,27,40,109
WILL:CHANNAHON PCT 002,55,15,48,79,197
WILL:CHANNAHON PCT 003,36,16,31,60,143
WILL:CHANNAHON PCT 004,31,12,33,47,123
WILL:CHANNAHON PCT 005,32,17,24,36,109
WILL:CRETE PCT 001,51,22,56,77,206
WILL:CRETE PCT 002,47,12,39,45,143
WILL:CRETE PCT 003,53,12,39,62,166
WILL:CRETE PCT 004,72,27,60,119,278
WILL:CRETE PCT 005,86,27,82,125,320
WILL:CRETE PCT 006,46,15,50,105,216
WILL:CRETE PCT 007,84,29,57,139,309
WILL:CRETE PCT 008,50,19,51,96,216
WILL:CRETE PCT 009,50,19,40,61,170
WILL:CRETE PCT 010,34,11,25,41,111
WILL:CRETE PCT 011,28,10,33,55,126
WILL:CRETE PCT 012,43,15,33,57,148
WILL:CUSTER PCT 001,7,5,11,26,49
WILL:DUPAGE PCT 001,74,31,79,87,271
WILL:DUPAGE PCT 002,66,27,94,86,273
WILL:DUPAGE PCT 003,66,27,64,102,259
WILL:DUPAGE PCT 004,52,13,53,50,168
WILL:DUPAGE PCT 005,99,13,49,69,230
WILL:DUPAGE PCT 006,63,29,60,73,225
WILL:DUPAGE PCT 007,47,32,66,65,210
WILL:DUPAGE PCT 008,76,26,45,67,214
WILL:DUPAGE PCT 009,77,18,45,42,182
WILL:DUPAGE PCT 010,116,30,77,98,321
WILL:DUPAGE PCT 011,92,31,57,75,255
WILL:DUPAGE PCT 012,96,16,45,50,207
WILL:DUPAGE PCT 013,97,21,64,68,250
WILL:DUPAGE PCT 014,103,21,61,77,262
WILL:DUPAGE PCT 015,94,32,57,70,253
WILL:DUPAGE PCT 016,99,20,61,73,253
WILL:DUPAGE PCT 017,121,25,53,70,269
WILL:DUPAGE PCT 018,99,11,41,68,219
WILL:DUPAGE PCT 019,77,19,42,60,198
WILL:DUPAGE PCT 020,60,13,52,48,173
WILL:DUPAGE PCT 021,107,19,38,64,228
WILL:DUPAGE PCT 022,114,23,53,63,253
WILL:DUPAGE PCT 023,99,17,64,59,239
WILL:DUPAGE PCT 024,63,29,57,80,229
WILL:DUPAGE PCT 025,95,20,54,50,219
WILL:DUPAGE PCT 026,66,16,54,38,174
WILL:DUPAGE PCT 027,103,31,59,60,253
WILL:DUPAGE PCT 028,85,10,50,73,218
WILL:DUPAGE PCT 029,98,25,67,79,269
WILL:DUPAGE PCT 030,91,38,51,71,251
WILL:DUPAGE PCT 031,45,16,29,28,118
WILL:DUPAGE PCT 032,96,13,32,46,187
WILL:DUPAGE PCT 033,71,23,25,56,175
WILL:DUPAGE PCT 034,43,22,36,140,241
WILL:DUPAGE PCT 035,45,13,23,20,101
WILL:DUPAGE PCT 036,91,11,40,77,219
WILL:DUPAGE PCT 037,50,11,42,37,140
WILL:FLORENCE PCT 001,11,6,8,21,46
WILL:FRANKFORT PCT 001,60,15,40,70,185
WILL:FRANKFORT PCT 002,32,8,51,97,188
WILL:FRANKFORT PCT 003,49,21,35,85,190
WILL:FRANKFORT PCT 004,40,17,36,60,153
WILL:FRANKFORT PCT 005,41,15,61,70,187
WILL:FRANKFORT PCT 006,33,16,46,61,156
WILL:FRANKFORT PCT 007,29,16,44,62,151
WILL:FRANKFORT PCT 008,28,19,26,38,111
WILL:FRANKFORT PCT 009,37,18,44,48,147
WILL:FRANKFORT PCT 010,43,14,41,64,162
WILL:FRANKFORT PCT 011,24,8,47,45,124
WILL:FRANKFORT PCT 012,29,18,45,80,172
WILL:FRANKFORT PCT 013,29,11,40,57,137
WILL:FRANKFORT PCT 014,43,13,28,52,136
WILL:FRANKFORT PCT 015,46,21,48,76,191
WILL:FRANKFORT PCT 016,82,14,57,100,253
WILL:FRANKFORT PCT 017,35,16,43,72,166
WILL:FRANKFORT PCT 018,37,14,41,55,147
WILL:FRANKFORT PCT 019,50,10,67,56,183
WILL:FRANKFORT PCT 020,35,8,36,47,126
WILL:FRANKFORT PCT 021,60,28,65,91,244
WILL:FRANKFORT PCT 022,49,15,50,94,208
WILL:FRANKFORT PCT 023,26,9,35,47,117
WILL:FRANKFORT PCT 024,71,21,59,99,250
WILL:FRANKFORT PCT 025,17,14,54,77,162
