JoinField,JB Pritzker,Total Voters
DUPAGE:ADDISON 001,149,149
DUPAGE:ADDISON 002,139,139
DUPAGE:ADDISON 003,122,122
DUPAGE:ADDISON 004,63,63
DUPAGE:ADDISON 005,62,62
DUPAGE:ADDISON 006,125,125
DUPAGE:ADDISON 007,138,138
DUPAGE:ADDISON 008,103,103
DUPAGE:ADDISON 009,103,103
DUPAGE:ADDISON 010,158,158
DUPAGE:ADDISON 011,127,127
DUPAGE:ADDISON 012,142,142
DUPAGE:ADDISON 013,150,150
DUPAGE:ADDISON 014,129,129
DUPAGE:ADDISON 015,136,136
DUPAGE:ADDISON 016,151,151
DUPAGE:ADDISON 017,88,88
DUPAGE:ADDISON 018,143,143
DUPAGE:ADDISON 019,107,107
DUPAGE:ADDISON 020,95,95
DUPAGE:ADDISON 021,98,98
DUPAGE:ADDISON 022,107,107
DUPAGE:ADDISON 023,91,91
DUPAGE:ADDISON 024,82,82
DUPAGE:ADDISON 025,79,79
DUPAGE:ADDISON 026,73,73
DUPAGE:ADDISON 027,116,116
DUPAGE:ADDISON 028,125,125
DUPAGE:ADDISON 029,98,98
DUPAGE:ADDISON 030,132,132
DUPAGE:ADDISON 031,134,134
DUPAGE:ADDISON 032,125,125
DUPAGE:ADDISON 033,97,97
DUPAGE:ADDISON 034,99,99
DUPAGE:ADDISON 035,143,143
DUPAGE:ADDISON 036,127,127
DUPAGE:ADDISON 037,85,85
DUPAGE:ADDISON 038,86,86
DUPAGE:ADDISON 039,146,146
DUPAGE:ADDISON 040,154,154
DUPAGE:ADDISON 041,62,62
DUPAGE:ADDISON 042,110,110
DUPAGE:ADDISON 043,85,85
DUPAGE:ADDISON 044,122,122
DUPAGE:ADDISON 045,171,171
DUPAGE:ADDISON 046,191,191
DUPAGE:ADDISON 047,121,121
DUPAGE:ADDISON 048,110,110
DUPAGE:ADDISON 049,110,110
DUPAGE:ADDISON 050,192,192
DUPAGE:ADDISON 051,248,248
DUPAGE:ADDISON 052,227,227
DUPAGE:ADDISON 053,173,173
DUPAGE:BLOOMINGDALE 001,73,73
DUPAGE:BLOOMINGDALE 002,168,168
DUPAGE:BLOOMINGDALE 003,148,148
DUPAGE:BLOOMINGDALE 004,140,140
DUPAGE:BLOOMINGDALE 005,129,129
DUPAGE:BLOOMINGDALE 006,141,141
DUPAGE:BLOOMINGDALE 007,110,110
DUPAGE:BLOOMINGDALE 008,144,144
DUPAGE:BLOOMINGDALE 009,144,144
DUPAGE:BLOOMINGDALE 010,141,141
DUPAGE:BLOOMINGDALE 011,242,242
DUPAGE:BLOOMINGDALE 012,180,180
DUPAGE:BLOOMINGDALE 013,155,155
DUPAGE:BLOOMINGDALE 014,149,149
DUPAGE:BLOOMINGDALE 015,141,141
DUPAGE:BLOOMINGDALE 016,114,114
DUPAGE:BLOOMINGDALE 017,165,165
DUPAGE:BLOOMINGDALE 018,141,141
DUPAGE:BLOOMINGDALE 019,139,139
DUPAGE:BLOOMINGDALE 020,100,100
DUPAGE:BLOOMINGDALE 021,107,107
DUPAGE:BLOOMINGDALE 022,114,114
DUPAGE:BLOOMINGDALE 023,193,193
DUPAGE:BLOOMINGDALE 024,186,186
DUPAGE:BLOOMINGDALE 025,181,181
DUPAGE:BLOOMINGDALE 026,120,120
DUPAGE:BLOOMINGDALE 027,71,71
DUPAGE:BLOOMINGDALE 028,114,114
DUPAGE:BLOOMINGDALE 029,95,95
DUPAGE:BLOOMINGDALE 030,104,104
DUPAGE:BLOOMINGDALE 031,137,137
DUPAGE:BLOOMINGDALE 032,103,103
DUPAGE:BLOOMINGDALE 033,169,169
DUPAGE:BLOOMINGDALE 034,125,125
DUPAGE:BLOOMINGDALE 035,167,167
DUPAGE:BLOOMINGDALE 036,131,131
DUPAGE:BLOOMINGDALE 037,140,140
DUPAGE:BLOOMINGDALE 038,121,121
DUPAGE:BLOOMINGDALE 039,145,145
DUPAGE:BLOOMINGDALE 040,141,141
DUPAGE:BLOOMINGDALE 041,153,153
DUPAGE:BLOOMINGDALE 042,119,119
DUPAGE:BLOOMINGDALE 043,94,94
DUPAGE:BLOOMINGDALE 044,176,176
DUPAGE:BLOOMINGDALE 045,140,140
DUPAGE:BLOOMINGDALE 046,91,91
DUPAGE:BLOOMINGDALE 047,148,148
DUPAGE:BLOOMINGDALE 048,108,108
DUPAGE:BLOOMINGDALE 049,58,58
DUPAGE:BLOOMINGDALE 050,106,106
DUPAGE:BLOOMINGDALE 051,194,194
DUPAGE:BLOOMINGDALE 052,194,194
DUPAGE:BLOOMINGDALE 053,115,115
DUPAGE:BLOOMINGDALE 054,218,218
DUPAGE:BLOOMINGDALE 055,80,80
DUPAGE:BLOOMINGDALE 056,160,160
DUPAGE:BLOOMINGDALE 057,92,92
DUPAGE:BLOOMINGDALE 058,145,145
DUPAGE:BLOOMINGDALE 059,158,158
DUPAGE:BLOOMINGDALE 060,134,134
DUPAGE:BLOOMINGDALE 061,209,209
DUPAGE:BLOOMINGDALE 062,159,159
DUPAGE:BLOOMINGDALE 063,153,153
DUPAGE:BLOOMINGDALE 064,177,177
DUPAGE:BLOOMINGDALE 065,127,127
DUPAGE:BLOOMINGDALE 066,117,117
DUPAGE:BLOOMINGDALE 067,124,124
DUPAGE:BLOOMINGDALE 068,156,156
DUPAGE:BLOOMINGDALE 069,132,132
DUPAGE:BLOOMINGDALE 070,95,95
DUPAGE:BLOOMINGDALE 071,154,154
DUPAGE:BLOOMINGDALE 072,108,108
DUPAGE:DOWNERS GROVE 001,129,129
DUPAGE:DOWNERS GROVE 002,206,206
DUPAGE:DOWNERS GROVE 003,190,190
DUPAGE:DOWNERS GROVE 004,184,184
DUPAGE:DOWNERS GROVE 005,203,203
DUPAGE:DOWNERS GROVE 006,141,141
DUPAGE:DOWNERS GROVE 007,230,230
DUPAGE:DOWNERS GROVE 008,281,281
DUPAGE:DOWNERS GROVE 009,225,225
DUPAGE:DOWNERS GROVE 010,193,193
DUPAGE:DOWNERS GROVE 011,107,107
DUPAGE:DOWNERS GROVE 012,238,238
DUPAGE:DOWNERS GROVE 013,268,268
DUPAGE:DOWNERS GROVE 014,222,222
DUPAGE:DOWNERS GROVE 015,238,238
DUPAGE:DOWNERS GROVE 016,181,181
DUPAGE:DOWNERS GROVE 017,190,190
DUPAGE:DOWNERS GROVE 018,137,137
DUPAGE:DOWNERS GROVE 019,149,149
DUPAGE:DOWNERS GROVE 020,138,138
DUPAGE:DOWNERS GROVE 021,159,159
DUPAGE:DOWNERS GROVE 022,131,131
DUPAGE:DOWNERS GROVE 023,110,110
DUPAGE:DOWNERS GROVE 024,197,197
DUPAGE:DOWNERS GROVE 025,241,241
DUPAGE:DOWNERS GROVE 026,233,233
DUPAGE:DOWNERS GROVE 027,204,204
DUPAGE:DOWNERS GROVE 028,198,198
DUPAGE:DOWNERS GROVE 029,151,151
DUPAGE:DOWNERS GROVE 030,147,147
DUPAGE:DOWNERS GROVE 031,189,189
DUPAGE:DOWNERS GROVE 032,135,135
DUPAGE:DOWNERS GROVE 033,109,109
DUPAGE:DOWNERS GROVE 034,84,84
DUPAGE:DOWNERS GROVE 035,51,51
DUPAGE:DOWNERS GROVE 036,210,210
DUPAGE:DOWNERS GROVE 037,241,241
DUPAGE:DOWNERS GROVE 038,175,175
