JoinField,JB Pritzker / Christian Mitchell,Total Voters
LAKE:ANTIOCH 1,133,133
LAKE:ANTIOCH 2,70,70
LAKE:ANTIOCH 3,104,104
LAKE:ANTIOCH 4,92,92
LAKE:ANTIOCH 5,100,100
LAKE:ANTIOCH 6,114,114
LAKE:ANTIOCH 7,112,112
LAKE:ANTIOCH 8,137,137
LAKE:ANTIOCH 9,134,134
LAKE:ANTIOCH 10,88,88
LAKE:ANTIOCH 11,130,130
LAKE:ANTIOCH 12,112,112
LAKE:ANTIOCH 13,105,105
LAKE:ANTIOCH 14,120,120
LAKE:ANTIOCH 15,113,113
LAKE:ANTIOCH 16,89,89
LAKE:ANTIOCH 17,61,61
LAKE:ANTIOCH 18,122,122
LAKE:ANTIOCH 19,84,84
LAKE:AVON 20,115,115
LAKE:AVON 21,83,83
LAKE:AVON 22,92,92
LAKE:AVON 23,98,98
LAKE:AVON 24,117,117
LAKE:AVON 25,199,199
LAKE:AVON 26,115,115
LAKE:AVON 27,109,109
LAKE:AVON 28,97,97
LAKE:AVON 29,148,148
LAKE:AVON 30,121,121
LAKE:AVON 31,117,117
LAKE:AVON 32,130,130
LAKE:AVON 33,128,128
LAKE:AVON 34,124,124
LAKE:AVON 35,153,153
LAKE:AVON 36,154,154
LAKE:AVON 37,159,159
LAKE:AVON 38,102,102
LAKE:AVON 39,150,150
LAKE:AVON 40,130,130
LAKE:AVON 41,113,113
LAKE:AVON 42,136,136
LAKE:AVON 43,167,167
LAKE:AVON 44,194,194
LAKE:AVON 45,159,159
LAKE:AVON 46,166,166
LAKE:AVON 47,191,191
LAKE:AVON 48,204,204
LAKE:AVON 49,174,174
LAKE:AVON 50,168,168
LAKE:AVON 51,168,168
LAKE:AVON 52,206,206
LAKE:BENTON 53,100,100
LAKE:BENTON 54,111,111
LAKE:BENTON 55,111,111
LAKE:BENTON 56,72,72
LAKE:BENTON 57,50,50
LAKE:BENTON 58,76,76
LAKE:BENTON 59,93,93
LAKE:BENTON 60,77,77
LAKE:BENTON 61,164,164
LAKE:BENTON 62,117,117
LAKE:BENTON 63,103,103
LAKE:BENTON 64,34,34
LAKE:BENTON 65,75,75
LAKE:CUBA 66,72,72
LAKE:CUBA 67,163,163
LAKE:CUBA 68,197,197
LAKE:CUBA 69,111,111
LAKE:CUBA 70,235,235
