JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,188,188
COOK:7000002,COOK:Barrington Precinct 2,195,195
COOK:7000003,COOK:Barrington Precinct 3,132,132
COOK:7000004,COOK:Barrington Precinct 4,293,293
COOK:7000005,COOK:Barrington Precinct 5,131,131
COOK:7000006,COOK:Barrington Precinct 6,224,224
COOK:7000007,COOK:Barrington Precinct 7,52,52
COOK:7000008,COOK:Barrington Precinct 8,285,285
COOK:7000009,COOK:Barrington Precinct 9,147,147
COOK:7000010,COOK:Barrington Precinct 10,261,261
COOK:7000011,COOK:Barrington Precinct 11,168,168
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,168,168
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,169,169
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,255,255
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,350,350
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,116,116
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,157,157
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,241,241
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,343,343
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,355,355
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,149,149
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,258,258
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,218,218
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,110,110
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,196,196
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,212,212
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,152,152
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,251,251
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,175,175
COOK:9905003,COOK:Berwyn Ward 5 Precinct 3,135,135
COOK:9906001,COOK:Berwyn Ward 6 Precinct 1,98,98
COOK:9906002,COOK:Berwyn Ward 6 Precinct 2,108,108
COOK:9906003,COOK:Berwyn Ward 6 Precinct 3,136,136
COOK:9906004,COOK:Berwyn Ward 6 Precinct 4,197,197
COOK:9907001,COOK:Berwyn Ward 7 Precinct 1,136,136
COOK:9907002,COOK:Berwyn Ward 7 Precinct 2,157,157
COOK:9907003,COOK:Berwyn Ward 7 Precinct 3,199,199
COOK:9907004,COOK:Berwyn Ward 7 Precinct 4,179,179
COOK:9908001,COOK:Berwyn Ward 8 Precinct 1,289,289
COOK:9908002,COOK:Berwyn Ward 8 Precinct 2,209,209
COOK:9908003,COOK:Berwyn Ward 8 Precinct 3,110,110
COOK:7100001,COOK:Bloom Precinct 1,334,334
COOK:7100002,COOK:Bloom Precinct 2,259,259
COOK:7100003,COOK:Bloom Precinct 3,102,102
COOK:7100004,COOK:Bloom Precinct 4,141,141
COOK:7100005,COOK:Bloom Precinct 5,282,282
COOK:7100006,COOK:Bloom Precinct 6,49,49
COOK:7100007,COOK:Bloom Precinct 7,211,211
COOK:7100008,COOK:Bloom Precinct 8,115,115
COOK:7100009,COOK:Bloom Precinct 9,123,123
COOK:7100010,COOK:Bloom Precinct 10,55,55
COOK:7100011,COOK:Bloom Precinct 11,82,82
COOK:7100012,COOK:Bloom Precinct 12,220,220
COOK:7100013,COOK:Bloom Precinct 13,378,378
COOK:7100014,COOK:Bloom Precinct 14,249,249
COOK:7100015,COOK:Bloom Precinct 15,122,122
COOK:7100016,COOK:Bloom Precinct 16,258,258
COOK:7100017,COOK:Bloom Precinct 17,176,176
COOK:7100018,COOK:Bloom Precinct 18,137,137
COOK:7100019,COOK:Bloom Precinct 19,265,265
COOK:7100020,COOK:Bloom Precinct 20,191,191
COOK:7100021,COOK:Bloom Precinct 21,29,29
COOK:7100022,COOK:Bloom Precinct 22,98,98
COOK:7100023,COOK:Bloom Precinct 23,170,170
COOK:7100024,COOK:Bloom Precinct 24,285,285
COOK:7100025,COOK:Bloom Precinct 25,118,118
COOK:7100026,COOK:Bloom Precinct 26,161,161
COOK:7100027,COOK:Bloom Precinct 27,173,173
COOK:7100028,COOK:Bloom Precinct 28,152,152
COOK:7100029,COOK:Bloom Precinct 29,70,70
COOK:7100030,COOK:Bloom Precinct 30,280,280
COOK:7100031,COOK:Bloom Precinct 31,250,250
COOK:7100032,COOK:Bloom Precinct 32,165,165
COOK:7100033,COOK:Bloom Precinct 33,215,215
COOK:7100034,COOK:Bloom Precinct 34,348,348
COOK:7100035,COOK:Bloom Precinct 35,70,70
COOK:7100036,COOK:Bloom Precinct 36,309,309
COOK:7100037,COOK:Bloom Precinct 37,148,148
COOK:7100038,COOK:Bloom Precinct 38,648,648
COOK:7100039,COOK:Bloom Precinct 39,120,120
COOK:7100040,COOK:Bloom Precinct 40,476,476
COOK:7100041,COOK:Bloom Precinct 41,312,312
COOK:7100042,COOK:Bloom Precinct 42,326,326
COOK:7100043,COOK:Bloom Precinct 43,257,257
COOK:7100044,COOK:Bloom Precinct 44,227,227
COOK:7100045,COOK:Bloom Precinct 45,330,330
COOK:7100046,COOK:Bloom Precinct 46,92,92
COOK:7100047,COOK:Bloom Precinct 47,244,244
COOK:7100048,COOK:Bloom Precinct 48,180,180
COOK:7100049,COOK:Bloom Precinct 49,436,436
COOK:7100050,COOK:Bloom Precinct 50,255,255
COOK:7100051,COOK:Bloom Precinct 51,84,84
COOK:7100052,COOK:Bloom Precinct 52,135,135
COOK:7100053,COOK:Bloom Precinct 53,72,72
COOK:7100054,COOK:Bloom Precinct 54,130,130
COOK:7200001,COOK:Bremen Precinct 1,216,216
COOK:7200002,COOK:Bremen Precinct 2,226,226
COOK:7200003,COOK:Bremen Precinct 3,192,192
COOK:7200004,COOK:Bremen Precinct 4,162,162
COOK:7200005,COOK:Bremen Precinct 5,104,104
COOK:7200006,COOK:Bremen Precinct 6,152,152
COOK:7200007,COOK:Bremen Precinct 7,127,127
COOK:7200008,COOK:Bremen Precinct 8,143,143
COOK:7200009,COOK:Bremen Precinct 9,193,193
COOK:7200010,COOK:Bremen Precinct 10,150,150
COOK:7200011,COOK:Bremen Precinct 11,177,177
COOK:7200012,COOK:Bremen Precinct 12,298,298
COOK:7200013,COOK:Bremen Precinct 13,149,149
COOK:7200014,COOK:Bremen Precinct 14,113,113
COOK:7200015,COOK:Bremen Precinct 15,176,176
COOK:7200016,COOK:Bremen Precinct 16,125,125
COOK:7200017,COOK:Bremen Precinct 17,187,187
COOK:7200018,COOK:Bremen Precinct 18,157,157
COOK:7200019,COOK:Bremen Precinct 19,208,208
COOK:7200020,COOK:Bremen Precinct 20,162,162
COOK:7200021,COOK:Bremen Precinct 21,156,156
COOK:7200022,COOK:Bremen Precinct 22,86,86
COOK:7200023,COOK:Bremen Precinct 23,49,49
COOK:7200024,COOK:Bremen Precinct 24,93,93
COOK:7200025,COOK:Bremen Precinct 25,149,149
COOK:7200026,COOK:Bremen Precinct 26,281,281
COOK:7200027,COOK:Bremen Precinct 27,163,163
COOK:7200028,COOK:Bremen Precinct 28,64,64
COOK:7200029,COOK:Bremen Precinct 29,308,308
COOK:7200030,COOK:Bremen Precinct 30,130,130
COOK:7200031,COOK:Bremen Precinct 31,183,183
COOK:7200032,COOK:Bremen Precinct 32,302,302
COOK:7200033,COOK:Bremen Precinct 33,142,142
COOK:7200034,COOK:Bremen Precinct 34,170,170
COOK:7200035,COOK:Bremen Precinct 35,228,228
COOK:7200036,COOK:Bremen Precinct 36,291,291
COOK:7200037,COOK:Bremen Precinct 37,173,173
COOK:7200038,COOK:Bremen Precinct 38,199,199
COOK:7200039,COOK:Bremen Precinct 39,111,111
COOK:7200040,COOK:Bremen Precinct 40,358,358
COOK:7200041,COOK:Bremen Precinct 41,130,130
COOK:7200042,COOK:Bremen Precinct 42,140,140
COOK:7200043,COOK:Bremen Precinct 43,132,132
COOK:7200044,COOK:Bremen Precinct 44,198,198
COOK:7200045,COOK:Bremen Precinct 45,73,73
COOK:7200046,COOK:Bremen Precinct 46,366,366
COOK:7200047,COOK:Bremen Precinct 47,163,163
COOK:7200048,COOK:Bremen Precinct 48,153,153
COOK:7200049,COOK:Bremen Precinct 49,211,211
COOK:7200050,COOK:Bremen Precinct 50,206,206
COOK:7200051,COOK:Bremen Precinct 51,136,136
COOK:7200052,COOK:Bremen Precinct 52,141,141
COOK:7200053,COOK:Bremen Precinct 53,74,74
COOK:7200054,COOK:Bremen Precinct 54,104,104
COOK:7200055,COOK:Bremen Precinct 55,114,114
COOK:7200056,COOK:Bremen Precinct 56,193,193
COOK:9400012,COOK:Bremen Precinct 57,143,143
COOK:7200058,COOK:Bremen Precinct 58,143,143
COOK:7200059,COOK:Bremen Precinct 59,115,115
COOK:7200060,COOK:Bremen Precinct 60,114,114
COOK:7200061,COOK:Bremen Precinct 61,89,89
COOK:7200062,COOK:Bremen Precinct 62,110,110
COOK:7200063,COOK:Bremen Precinct 63,237,237
COOK:7200064,COOK:Bremen Precinct 64,185,185
COOK:7200065,COOK:Bremen Precinct 65,141,141
COOK:7200066,COOK:Bremen Precinct 66,372,372
COOK:7300001,COOK:Calumet Precinct 1,155,155
COOK:7300002,COOK:Calumet Precinct 2,127,127
COOK:7300003,COOK:Calumet Precinct 3,190,190
COOK:7300004,COOK:Calumet Precinct 4,123,123
COOK:7300005,COOK:Calumet Precinct 5,271,271
COOK:7300006,COOK:Calumet Precinct 6,224,224
COOK:7300007,COOK:Calumet Precinct 7,192,192
COOK:7300008,COOK:Calumet Precinct 8,94,94
COOK:7300009,COOK:Calumet Precinct 9,237,237
COOK:7300010,COOK:Calumet Precinct 10,238,238
COOK:7300011,COOK:Calumet Precinct 11,345,345
COOK:9800001,COOK:Cicero Precinct 1,162,162
COOK:9800002,COOK:Cicero Precinct 2,76,76
COOK:9800003,COOK:Cicero Precinct 3,119,119
COOK:9800004,COOK:Cicero Precinct 4,133,133
COOK:9800005,COOK:Cicero Precinct 5,241,241
COOK:9800006,COOK:Cicero Precinct 6,163,163
COOK:9800007,COOK:Cicero Precinct 7,99,99
COOK:9800008,COOK:Cicero Precinct 8,112,112
COOK:9800009,COOK:Cicero Precinct 9,170,170
COOK:9800010,COOK:Cicero Precinct 10,201,201
COOK:9800011,COOK:Cicero Precinct 11,209,209
COOK:9800012,COOK:Cicero Precinct 12,182,182
COOK:9800013,COOK:Cicero Precinct 13,187,187
COOK:9800014,COOK:Cicero Precinct 14,176,176
COOK:9800015,COOK:Cicero Precinct 15,164,164
COOK:9800016,COOK:Cicero Precinct 16,111,111
COOK:9800017,COOK:Cicero Precinct 17,141,141
COOK:9800018,COOK:Cicero Precinct 18,112,112
COOK:9800019,COOK:Cicero Precinct 19,200,200
COOK:9800020,COOK:Cicero Precinct 20,119,119
COOK:9800021,COOK:Cicero Precinct 21,147,147
COOK:9800022,COOK:Cicero Precinct 22,160,160
COOK:9800023,COOK:Cicero Precinct 23,193,193
COOK:9800024,COOK:Cicero Precinct 24,200,200
COOK:9800025,COOK:Cicero Precinct 25,144,144
COOK:9800026,COOK:Cicero Precinct 26,136,136
COOK:9800027,COOK:Cicero Precinct 27,197,197
COOK:9800028,COOK:Cicero Precinct 28,162,162
COOK:9800029,COOK:Cicero Precinct 29,152,152
COOK:9800030,COOK:Cicero Precinct 30,198,198
COOK:9800031,COOK:Cicero Precinct 31,150,150
COOK:7400001,COOK:Elk Grove Precinct 1,205,205
COOK:7400002,COOK:Elk Grove Precinct 2,92,92
COOK:7400003,COOK:Elk Grove Precinct 3,301,301
COOK:7400004,COOK:Elk Grove Precinct 4,152,152
COOK:7400005,COOK:Elk Grove Precinct 5,281,281
COOK:7400006,COOK:Elk Grove Precinct 6,269,269
COOK:7400007,COOK:Elk Grove Precinct 7,254,254
COOK:7400008,COOK:Elk Grove Precinct 8,179,179
COOK:7400009,COOK:Elk Grove Precinct 9,156,156
COOK:7400010,COOK:Elk Grove Precinct 10,264,264
COOK:7400011,COOK:Elk Grove Precinct 11,189,189
COOK:7400012,COOK:Elk Grove Precinct 12,281,281
COOK:7400013,COOK:Elk Grove Precinct 13,84,84
COOK:7400014,COOK:Elk Grove Precinct 14,221,221
COOK:7400015,COOK:Elk Grove Precinct 15,199,199
COOK:7400016,COOK:Elk Grove Precinct 16,207,207
COOK:7400017,COOK:Elk Grove Precinct 17,125,125
COOK:7400018,COOK:Elk Grove Precinct 18,235,235
COOK:7400019,COOK:Elk Grove Precinct 19,213,213
COOK:7400020,COOK:Elk Grove Precinct 20,242,242
COOK:7400021,COOK:Elk Grove Precinct 21,141,141
COOK:7400022,COOK:Elk Grove Precinct 22,157,157
COOK:7400023,COOK:Elk Grove Precinct 23,270,270
COOK:7400024,COOK:Elk Grove Precinct 24,128,128
COOK:7400025,COOK:Elk Grove Precinct 25,135,135
COOK:7400026,COOK:Elk Grove Precinct 26,123,123
COOK:7400027,COOK:Elk Grove Precinct 27,191,191
COOK:7400028,COOK:Elk Grove Precinct 28,199,199
COOK:7400029,COOK:Elk Grove Precinct 29,233,233
COOK:7400030,COOK:Elk Grove Precinct 30,155,155
COOK:7400031,COOK:Elk Grove Precinct 31,153,153
COOK:7400032,COOK:Elk Grove Precinct 32,71,71
COOK:7400033,COOK:Elk Grove Precinct 33,222,222
COOK:7400034,COOK:Elk Grove Precinct 34,338,338
COOK:7400035,COOK:Elk Grove Precinct 35,112,112
COOK:7400036,COOK:Elk Grove Precinct 36,94,94
COOK:7400037,COOK:Elk Grove Precinct 37,170,170
COOK:7400038,COOK:Elk Grove Precinct 38,76,76
COOK:7400039,COOK:Elk Grove Precinct 39,196,196
COOK:7400040,COOK:Elk Grove Precinct 40,171,171
COOK:7400041,COOK:Elk Grove Precinct 41,184,184
COOK:7400042,COOK:Elk Grove Precinct 42,117,117
COOK:7400043,COOK:Elk Grove Precinct 43,201,201
COOK:7400044,COOK:Elk Grove Precinct 44,92,92
COOK:7400045,COOK:Elk Grove Precinct 45,155,155
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,162,162
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,378,378
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,346,346
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,682,682
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,729,729
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,312,312
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,320,320
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,530,530
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,190,190
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,440,440
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,528,528
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,605,605
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,653,653
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,442,442
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,241,241
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,321,321
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,232,232
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,721,721
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,228,228
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,519,519
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,200,200
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,345,345
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,416,416
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,361,361
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,666,666
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,398,398
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,368,368
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,712,712
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,588,588
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,623,623
