JoinField,Ward,Precinct,Total Voters,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis
CITY OF CHICAGO:WARD 04 PRECINCT 01,04,1,189,40,3,91,2,40,5,3,3,2,0
CITY OF CHICAGO:WARD 04 PRECINCT 03,04,3,207,38,2,120,3,36,4,1,1,0,2
CITY OF CHICAGO:WARD 04 PRECINCT 07,04,7,253,64,4,119,0,51,9,0,3,3,0
CITY OF CHICAGO:WARD 04 PRECINCT 08,04,8,351,149,4,71,3,109,8,0,3,2,2
CITY OF CHICAGO:WARD 04 PRECINCT 10,04,10,343,102,4,117,5,92,13,3,4,0,3
CITY OF CHICAGO:WARD 04 PRECINCT 11,04,11,443,111,6,163,16,108,20,2,5,7,5
CITY OF CHICAGO:WARD 04 PRECINCT 12,04,12,289,90,4,81,4,91,10,2,1,2,4
CITY OF CHICAGO:WARD 05 PRECINCT 01,05,1,2,0,0,0,0,2,0,0,0,0,0
CITY OF CHICAGO:WARD 05 PRECINCT 02,05,2,536,161,9,97,19,221,19,1,6,3,0
CITY OF CHICAGO:WARD 05 PRECINCT 03,05,3,458,164,8,67,7,145,46,4,9,6,2
CITY OF CHICAGO:WARD 05 PRECINCT 04,05,4,345,128,4,60,14,107,18,2,7,2,3
CITY OF CHICAGO:WARD 05 PRECINCT 05,05,5,194,50,2,39,6,81,8,1,3,0,4
CITY OF CHICAGO:WARD 05 PRECINCT 06,05,6,187,54,2,34,3,85,4,2,0,1,2
CITY OF CHICAGO:WARD 05 PRECINCT 09,05,9,112,37,2,24,5,36,4,0,1,2,1
CITY OF CHICAGO:WARD 05 PRECINCT 12,05,12,576,162,5,295,7,90,7,4,2,2,2
CITY OF CHICAGO:WARD 05 PRECINCT 15,05,15,574,157,5,285,12,88,20,2,1,2,2
CITY OF CHICAGO:WARD 05 PRECINCT 16,05,16,437,111,3,224,5,68,16,2,4,1,3
CITY OF CHICAGO:WARD 05 PRECINCT 17,05,17,334,92,0,129,7,86,12,0,2,4,2
CITY OF CHICAGO:WARD 05 PRECINCT 18,05,18,738,260,3,245,13,158,15,5,12,8,19
CITY OF CHICAGO:WARD 05 PRECINCT 19,05,19,363,147,5,71,3,114,13,3,3,2,2
CITY OF CHICAGO:WARD 07 PRECINCT 02,07,2,25,10,0,5,0,7,1,1,1,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 03,07,3,229,79,1,28,6,88,14,1,6,4,2
CITY OF CHICAGO:WARD 07 PRECINCT 04,07,4,315,111,7,43,6,120,15,3,6,3,1
CITY OF CHICAGO:WARD 07 PRECINCT 05,07,5,437,165,4,70,14,154,13,0,10,4,3
CITY OF CHICAGO:WARD 07 PRECINCT 06,07,6,91,25,0,22,2,32,8,0,1,0,1
CITY OF CHICAGO:WARD 07 PRECINCT 07,07,7,237,66,2,29,10,103,17,2,3,3,2
CITY OF CHICAGO:WARD 07 PRECINCT 08,07,8,173,70,0,18,13,58,4,1,5,2,2
CITY OF CHICAGO:WARD 07 PRECINCT 09,07,9,196,64,0,21,9,82,9,1,7,3,0
CITY OF CHICAGO:WARD 07 PRECINCT 10,07,10,9,5,0,3,0,0,0,0,0,1,0
CITY OF CHICAGO:WARD 07 PRECINCT 12,07,12,1,1,0,0,0,0,0,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 13,07,13,74,32,1,11,0,20,6,1,2,1,0
CITY OF CHICAGO:WARD 07 PRECINCT 14,07,14,220,61,1,36,11,76,23,2,6,2,2
CITY OF CHICAGO:WARD 07 PRECINCT 16,07,16,57,21,2,7,3,18,1,1,2,0,2
CITY OF CHICAGO:WARD 07 PRECINCT 17,07,17,19,4,1,7,0,6,1,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 18,07,18,67,32,1,5,1,27,1,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 24,07,24,50,17,0,11,3,14,2,1,1,0,1
CITY OF CHICAGO:WARD 07 PRECINCT 25,07,25,247,88,0,12,13,105,16,2,4,7,0
CITY OF CHICAGO:WARD 07 PRECINCT 30,07,30,168,62,3,10,5,73,12,1,1,1,0
CITY OF CHICAGO:WARD 07 PRECINCT 31,07,31,89,31,1,10,3,38,2,0,3,1,0
CITY OF CHICAGO:WARD 09 PRECINCT 08,09,8,23,7,0,2,0,9,4,0,1,0,0
CITY OF CHICAGO:WARD 09 PRECINCT 09,09,9,193,92,2,5,8,68,8,2,5,1,2
CITY OF CHICAGO:WARD 09 PRECINCT 10,09,10,491,192,2,20,21,203,36,0,9,5,3
CITY OF CHICAGO:WARD 09 PRECINCT 12,09,12,441,179,4,28,16,173,30,1,3,2,5
CITY OF CHICAGO:WARD 09 PRECINCT 13,09,13,410,167,4,34,10,147,31,3,5,6,3
CITY OF CHICAGO:WARD 09 PRECINCT 14,09,14,218,83,1,8,15,86,12,2,3,4,4
CITY OF CHICAGO:WARD 09 PRECINCT 15,09,15,300,117,3,25,7,121,16,1,6,3,1
CITY OF CHICAGO:WARD 09 PRECINCT 16,09,16,398,133,1,28,20,176,23,2,8,6,1
CITY OF CHICAGO:WARD 09 PRECINCT 18,09,18,183,62,2,9,8,78,19,0,0,3,2
CITY OF CHICAGO:WARD 09 PRECINCT 19,09,19,154,44,4,17,3,66,10,2,4,3,1
CITY OF CHICAGO:WARD 09 PRECINCT 20,09,20,343,125,6,70,10,97,19,4,2,4,6
CITY OF CHICAGO:WARD 09 PRECINCT 21,09,21,309,135,4,12,11,111,24,2,6,4,0
CITY OF CHICAGO:WARD 09 PRECINCT 27,09,27,188,81,0,7,5,78,13,0,2,2,0
CITY OF CHICAGO:WARD 09 PRECINCT 28,09,28,120,45,1,6,4,44,10,1,2,7,0
CITY OF CHICAGO:WARD 10 PRECINCT 01,10,1,72,19,0,15,2,26,4,1,3,1,1
CITY OF CHICAGO:WARD 10 PRECINCT 02,10,2,96,43,2,13,1,26,4,2,5,0,0
CITY OF CHICAGO:WARD 10 PRECINCT 03,10,3,147,41,2,26,3,48,13,7,2,3,2
CITY OF CHICAGO:WARD 10 PRECINCT 04,10,4,202,70,2,24,7,70,9,2,10,5,3
CITY OF CHICAGO:WARD 10 PRECINCT 05,10,5,63,20,3,15,1,16,3,2,1,0,2
CITY OF CHICAGO:WARD 10 PRECINCT 06,10,6,96,33,0,29,1,23,5,1,2,1,1
CITY OF CHICAGO:WARD 10 PRECINCT 07,10,7,180,70,4,44,2,35,6,2,5,5,7
CITY OF CHICAGO:WARD 10 PRECINCT 08,10,8,161,67,6,31,6,27,8,5,3,2,6
CITY OF CHICAGO:WARD 10 PRECINCT 09,10,9,178,62,3,54,4,35,5,7,3,4,1
CITY OF CHICAGO:WARD 10 PRECINCT 10,10,10,165,37,6,59,3,42,4,8,1,4,1
CITY OF CHICAGO:WARD 10 PRECINCT 11,10,11,65,24,0,20,0,12,3,0,2,3,1
CITY OF CHICAGO:WARD 10 PRECINCT 12,10,12,154,55,7,41,3,34,5,4,1,4,0
CITY OF CHICAGO:WARD 10 PRECINCT 13,10,13,236,79,1,79,5,46,10,8,3,2,3
CITY OF CHICAGO:WARD 10 PRECINCT 14,10,14,276,94,4,90,7,46,13,12,3,3,4
CITY OF CHICAGO:WARD 10 PRECINCT 15,10,15,209,75,4,67,6,29,5,16,4,3,0
CITY OF CHICAGO:WARD 10 PRECINCT 16,10,16,256,81,6,82,1,64,8,8,2,3,1
CITY OF CHICAGO:WARD 10 PRECINCT 17,10,17,195,90,0,57,5,23,5,13,0,2,0
CITY OF CHICAGO:WARD 10 PRECINCT 18,10,18,267,89,9,65,8,47,14,15,5,11,4
CITY OF CHICAGO:WARD 10 PRECINCT 19,10,19,156,59,4,32,3,24,6,21,3,2,2
CITY OF CHICAGO:WARD 10 PRECINCT 20,10,20,112,44,1,27,1,30,4,3,0,0,2
CITY OF CHICAGO:WARD 10 PRECINCT 21,10,21,125,55,0,32,1,25,3,5,0,1,3
CITY OF CHICAGO:WARD 10 PRECINCT 22,10,22,183,72,3,49,1,38,6,7,1,3,3
CITY OF CHICAGO:WARD 10 PRECINCT 23,10,23,171,68,6,15,6,54,5,8,2,1,6
CITY OF CHICAGO:WARD 10 PRECINCT 24,10,24,79,27,1,4,0,43,1,1,0,2,0
CITY OF CHICAGO:WARD 10 PRECINCT 25,10,25,112,43,0,8,1,51,6,0,2,1,0
