JoinField,Ward,Precinct,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,122,124,14,21,281
CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,156,194,13,28,391
CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,127,156,12,32,327
CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,168,134,13,22,337
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,150,199,17,25,391
CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,253,69,9,30,361
CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,392,75,9,50,526
CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,324,57,6,39,426
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,316,32,4,18,370
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,363,76,5,26,470
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,182,48,10,25,265
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,240,72,4,26,342
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,148,53,7,15,223
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,272,40,7,20,339
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,317,56,11,24,408
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,380,88,18,35,521
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,128,36,6,13,183
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,176,45,3,10,234
CITY OF CHICAGO:WARD 02 PRECINCT 23,2,23,54,31,2,9,96
CITY OF CHICAGO:WARD 02 PRECINCT 24,2,24,201,36,2,14,253
CITY OF CHICAGO:WARD 02 PRECINCT 25,2,25,247,73,7,20,347
CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,17,12,0,6,35
CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,56,11,7,14,88
CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,3,3,0,2,8
CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,27,17,3,6,53
CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,60,17,2,6,85
CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,207,54,9,10,280
CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,156,83,13,9,261
CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,156,55,5,18,234
CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,206,91,15,19,331
CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,394,189,13,21,617
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,329,164,18,31,542
CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,239,126,6,18,389
CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,211,119,9,23,362
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,183,70,3,18,274
CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,112,52,1,10,175
CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,205,130,3,18,356
CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,191,103,7,14,315
CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,185,58,2,11,256
CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,296,141,24,38,499
CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,148,80,5,16,249
CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,132,40,1,12,185
CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,74,27,4,9,114
CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,313,128,7,24,472
CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,343,96,12,20,471
CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,131,43,8,12,194
CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,324,124,13,41,502
CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,109,61,18,33,221
CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,93,60,10,9,172
CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,312,86,4,29,431
CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,299,217,12,36,564
CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,209,180,16,28,433
CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,162,96,11,18,287
CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,76,48,4,9,137
CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,199,96,18,27,340
CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,252,141,16,18,427
CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,257,185,8,23,473
CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,89,44,3,3,139
CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,225,151,12,23,411
CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,228,197,12,24,461
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,106,31,3,10,150
CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,19,6,0,4,29
CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,202,37,6,22,267
CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,103,22,3,8,136
CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,119,27,4,5,155
CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,121,23,8,19,171
CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,103,41,11,8,163
CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,148,40,2,18,208
CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,242,41,6,25,314
CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,136,20,9,11,176
CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,159,63,9,19,250
CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,207,27,10,12,256
CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,163,61,4,19,247
CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,89,49,5,17,160
CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,104,55,9,9,177
CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,156,67,22,23,268
CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,283,108,22,31,444
CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,262,77,11,24,374
CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,232,94,6,20,352
CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,126,61,13,8,208
CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,294,92,5,26,417
CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,110,40,7,14,171
CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,253,150,29,34,466
CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,154,57,7,9,227
CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,190,157,25,22,394
CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,113,30,5,12,160
CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,40,4,0,3,47
CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,132,32,9,15,188
CITY OF CHICAGO:WARD 39 PRECINCT 28,39,28,3,1,1,0,5
CITY OF CHICAGO:WARD 39 PRECINCT 29,39,29,134,6,5,10,155
CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,86,24,6,6,122
CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,120,39,1,17,177
CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,335,87,8,33,463
CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,138,27,3,11,179
CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,132,30,3,10,175
CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,241,113,14,27,395
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,168,54,10,27,259
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,141,55,13,22,231
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,212,130,18,31,391
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,211,110,18,19,358
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,283,154,19,34,490
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,294,179,39,39,551
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,262,168,14,33,477
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,255,213,19,31,518
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,158,95,9,15,277
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,326,325,27,37,715
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,271,177,11,22,481
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,110,21,4,6,141
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,128,34,4,17,183
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,127,36,5,15,183
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,133,39,8,11,191
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,95,35,6,17,153
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,219,72,13,28,332
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,160,41,6,15,222
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,133,43,3,20,199
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,62,15,3,9,89
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,197,66,19,23,305
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,228,80,10,20,338
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,276,64,6,28,374
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,105,23,3,10,141
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,58,11,2,4,75
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,281,40,11,28,360
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,111,38,1,11,161
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,142,30,6,17,195
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,126,29,6,13,174
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,91,26,4,21,142
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,130,46,6,13,195
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,184,54,13,23,274
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,143,48,2,16,209
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,260,78,13,26,377
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,155,30,7,20,212
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,92,33,6,10,141
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,159,26,2,11,198
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,28,13,2,3,46
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,340,43,6,38,427
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,361,51,12,43,467
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,418,38,4,35,495
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,369,75,6,23,473
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,166,19,2,11,198
