JoinField,JoinField_alt,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,125,33,6,17,181
COOK:7000002,COOK:Barrington Precinct 2,135,34,6,20,195
COOK:7000003,COOK:Barrington Precinct 3,84,37,6,16,143
COOK:7000004,COOK:Barrington Precinct 4,0,0,0,0,0
COOK:7000005,COOK:Barrington Precinct 5,87,21,2,22,132
COOK:7000006,COOK:Barrington Precinct 6,149,41,3,31,224
COOK:7000007,COOK:Barrington Precinct 7,35,19,1,5,60
COOK:7000008,COOK:Barrington Precinct 8,1,0,0,0,1
COOK:7000009,COOK:Barrington Precinct 9,94,36,8,9,147
COOK:7000010,COOK:Barrington Precinct 10,164,59,7,33,263
COOK:7400001,COOK:Elk Grove Precinct 1,158,30,3,12,203
COOK:7400005,COOK:Elk Grove Precinct 5,203,45,9,23,280
COOK:7400006,COOK:Elk Grove Precinct 6,196,38,6,28,268
COOK:7400007,COOK:Elk Grove Precinct 7,203,32,6,22,263
COOK:7400010,COOK:Elk Grove Precinct 10,201,30,6,29,266
COOK:7400014,COOK:Elk Grove Precinct 14,93,16,4,22,135
COOK:7400016,COOK:Elk Grove Precinct 16,74,17,0,9,100
COOK:7400019,COOK:Elk Grove Precinct 19,165,38,4,10,217
COOK:7400023,COOK:Elk Grove Precinct 23,48,5,3,4,60
COOK:7400025,COOK:Elk Grove Precinct 25,98,20,6,13,137
COOK:7400027,COOK:Elk Grove Precinct 27,117,24,2,14,157
COOK:7400033,COOK:Elk Grove Precinct 33,176,18,8,17,219
COOK:7400034,COOK:Elk Grove Precinct 34,259,48,6,30,343
COOK:7400041,COOK:Elk Grove Precinct 41,132,33,10,12,187
COOK:7400044,COOK:Elk Grove Precinct 44,65,10,1,5,81
COOK:7800001,COOK:Leyden Precinct 1,45,14,11,6,76
COOK:7800012,COOK:Leyden Precinct 12,38,8,0,2,48
COOK:7800017,COOK:Leyden Precinct 17,50,17,11,9,87
COOK:7800023,COOK:Leyden Precinct 23,174,46,6,21,247
COOK:7800042,COOK:Leyden Precinct 42,15,5,2,3,25
