JoinField,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
LAKE:CUBA 72,80,25,5,18,128
LAKE:CUBA 73,117,19,2,14,152
LAKE:CUBA 74,121,29,5,31,186
LAKE:CUBA 75,78,22,3,11,114
LAKE:CUBA 76,91,18,7,15,131
LAKE:CUBA 77,121,35,5,19,180
LAKE:CUBA 78,150,30,3,17,200
LAKE:ELA 84,72,21,5,13,111
LAKE:ELA 85,116,21,8,20,165
LAKE:ELA 86,74,28,3,11,116
LAKE:ELA 91,89,17,6,15,127
LAKE:ELA 92,130,30,3,19,182
LAKE:ELA 93,65,22,7,18,112
LAKE:ELA 94,67,24,3,16,110
LAKE:ELA 95,76,17,7,23,123
LAKE:ELA 96,87,33,3,11,134
LAKE:ELA 97,112,32,6,14,164
LAKE:ELA 98,108,22,7,17,154
LAKE:ELA 99,123,24,8,5,160
LAKE:ELA 100,75,22,1,14,112
LAKE:ELA 101,100,33,4,21,158
LAKE:ELA 102,81,9,3,11,104
LAKE:ELA 103,113,22,2,18,155
LAKE:ELA 104,112,12,0,16,140
LAKE:ELA 105,77,13,6,15,111
LAKE:ELA 106,127,23,3,16,169
LAKE:ELA 107,74,11,8,11,104
LAKE:VERNON 282,74,27,5,16,122
LAKE:TOTAL:,2710,641,128,445,3924
