JoinField,Ward,Precinct,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,23,8,19,10,5,18,27,72,6,1,22,4,25,240
CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,35,3,34,34,1,21,16,128,7,0,46,3,33,361
CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,40,11,40,21,2,9,22,74,11,5,24,2,26,287
CITY OF CHICAGO:WARD 01 PRECINCT 15,1,15,48,7,52,43,3,46,20,124,12,1,69,4,38,467
CITY OF CHICAGO:WARD 01 PRECINCT 16,1,16,46,11,48,44,4,30,44,140,10,1,57,4,35,474
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,0,0,0,1,0,0,1,0,0,0,1,0,0,3
CITY OF CHICAGO:WARD 01 PRECINCT 22,1,22,45,10,40,43,4,36,31,163,8,3,69,5,32,489
CITY OF CHICAGO:WARD 01 PRECINCT 23,1,23,37,5,18,16,1,19,24,60,5,1,39,2,17,244
CITY OF CHICAGO:WARD 01 PRECINCT 24,1,24,55,9,43,47,3,27,29,172,17,0,44,5,50,501
CITY OF CHICAGO:WARD 01 PRECINCT 25,1,25,42,16,36,60,0,30,57,145,6,2,48,6,38,486
CITY OF CHICAGO:WARD 01 PRECINCT 26,1,26,38,13,35,42,3,36,42,107,13,0,61,5,41,436
CITY OF CHICAGO:WARD 02 PRECINCT 01,2,1,50,7,45,58,1,18,13,40,10,0,17,7,66,332
CITY OF CHICAGO:WARD 02 PRECINCT 02,2,2,59,12,86,120,2,31,35,46,19,2,33,6,105,556
CITY OF CHICAGO:WARD 02 PRECINCT 03,2,3,43,5,28,29,0,13,17,29,3,1,26,10,35,239
CITY OF CHICAGO:WARD 02 PRECINCT 04,2,4,35,8,31,58,3,15,26,25,7,0,26,7,39,280
