JoinField,JoinField_alt,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
COOK:7800026,COOK:Leyden Precinct 26,19,8,42,37,4,6,24,22,12,1,36,4,31,246
COOK:8500001,COOK:Oak Park Precinct 1,111,5,63,48,18,64,34,73,24,2,215,4,52,713
COOK:8500002,COOK:Oak Park Precinct 2,80,5,36,49,13,85,28,44,33,0,136,2,85,596
COOK:8500003,COOK:Oak Park Precinct 3,100,6,36,27,13,48,27,79,17,2,193,4,72,624
COOK:8500004,COOK:Oak Park Precinct 4,84,7,43,58,8,52,24,36,22,3,88,0,83,508
COOK:8500005,COOK:Oak Park Precinct 5,74,3,24,48,15,68,12,44,15,2,128,2,51,486
COOK:8500006,COOK:Oak Park Precinct 6,82,13,51,35,7,25,18,57,22,1,81,2,47,441
COOK:8500007,COOK:Oak Park Precinct 7,95,6,41,53,18,57,22,72,18,1,131,2,89,605
COOK:8500008,COOK:Oak Park Precinct 8,72,4,42,16,6,35,12,45,16,1,165,2,43,459
COOK:8500009,COOK:Oak Park Precinct 9,109,5,46,33,16,51,20,95,26,0,136,2,53,592
COOK:8500010,COOK:Oak Park Precinct 10,67,7,23,20,9,57,35,50,13,0,154,3,41,479
COOK:8500011,COOK:Oak Park Precinct 11,76,7,32,19,7,32,11,53,16,1,91,0,35,380
COOK:8500012,COOK:Oak Park Precinct 12,29,2,22,14,8,16,7,39,9,1,42,0,19,208
COOK:8500013,COOK:Oak Park Precinct 13,85,5,28,32,5,29,7,61,9,0,123,4,28,416
COOK:8500014,COOK:Oak Park Precinct 14,37,4,22,46,7,117,22,52,18,1,82,6,83,497
COOK:8500015,COOK:Oak Park Precinct 15,108,9,40,28,5,28,25,76,21,0,152,3,41,536
COOK:8500016,COOK:Oak Park Precinct 16,125,11,31,53,14,54,27,115,22,0,136,11,95,694
COOK:8500017,COOK:Oak Park Precinct 17,114,7,44,33,23,52,37,112,21,1,134,3,75,656
COOK:8500018,COOK:Oak Park Precinct 18,32,0,22,29,13,63,34,46,17,0,81,3,46,386
COOK:8500019,COOK:Oak Park Precinct 19,89,13,47,47,14,27,22,44,15,4,75,2,42,441
COOK:8500020,COOK:Oak Park Precinct 20,88,8,50,60,15,49,30,71,25,0,73,3,95,567
COOK:8500021,COOK:Oak Park Precinct 21,50,3,27,35,3,30,13,68,37,1,67,2,38,374
COOK:8500022,COOK:Oak Park Precinct 22,76,20,52,28,21,37,32,71,24,0,90,7,37,495
COOK:8500023,COOK:Oak Park Precinct 23,53,15,34,36,10,53,18,41,28,2,65,6,57,418
COOK:8500024,COOK:Oak Park Precinct 24,42,6,21,26,8,36,13,38,9,0,72,2,61,334
COOK:8500025,COOK:Oak Park Precinct 25,77,3,34,30,8,19,43,77,8,0,127,2,48,476
COOK:8500026,COOK:Oak Park Precinct 26,90,11,45,38,5,53,14,105,21,2,119,1,65,569
COOK:8500027,COOK:Oak Park Precinct 27,120,6,33,46,41,67,23,96,25,3,144,10,105,719
COOK:8500028,COOK:Oak Park Precinct 28,87,11,59,36,19,32,33,77,29,1,108,3,43,538
COOK:8500029,COOK:Oak Park Precinct 29,89,3,22,24,23,44,44,55,9,1,94,1,37,446
COOK:8500030,COOK:Oak Park Precinct 30,86,8,23,18,0,25,25,51,13,1,84,4,17,355
COOK:8500031,COOK:Oak Park Precinct 31,115,6,35,39,16,76,30,126,19,0,180,3,59,704
COOK:8500032,COOK:Oak Park Precinct 32,107,11,44,14,12,37,19,60,40,0,122,1,54,521
COOK:8900001,COOK:Proviso Precinct 1,55,4,38,5,3,11,26,8,8,0,10,0,9,177
COOK:8900003,COOK:Proviso Precinct 3,89,5,67,8,9,4,24,12,13,3,9,1,6,250
COOK:8900004,COOK:Proviso Precinct 4,83,9,57,4,6,2,7,13,15,0,5,1,1,203
COOK:8900005,COOK:Proviso Precinct 5,58,12,38,16,3,4,39,19,12,4,13,4,15,237
COOK:8900006,COOK:Proviso Precinct 6,60,13,52,22,5,24,38,16,15,1,11,0,16,273
COOK:8900008,COOK:Proviso Precinct 8,68,5,27,10,48,12,6,24,22,0,19,0,13,254
COOK:8900009,COOK:Proviso Precinct 9,97,4,47,1,1,3,5,10,7,0,2,0,2,179
COOK:8900013,COOK:Proviso Precinct 13,40,7,32,20,7,7,21,15,9,0,11,2,13,184
COOK:8900018,COOK:Proviso Precinct 18,115,14,82,7,5,2,7,12,19,0,7,1,5,276
COOK:8900019,COOK:Proviso Precinct 19,118,4,75,5,5,0,7,16,21,0,4,0,3,258
COOK:8900020,COOK:Proviso Precinct 20,127,7,75,3,4,3,11,26,17,0,9,0,4,286
COOK:8900022,COOK:Proviso Precinct 22,74,6,47,1,0,1,3,13,9,0,8,0,3,165
COOK:8900025,COOK:Proviso Precinct 25,7,1,10,5,1,0,3,6,0,0,5,0,3,41
COOK:8900028,COOK:Proviso Precinct 28,68,7,52,23,4,10,20,16,10,0,14,4,22,250
COOK:8900030,COOK:Proviso Precinct 30,73,11,49,10,7,4,9,10,8,1,6,1,4,193
COOK:8900031,COOK:Proviso Precinct 31,44,1,28,2,3,0,0,9,9,0,1,0,0,97
COOK:8900033,COOK:Proviso Precinct 33,123,15,106,8,3,3,5,8,17,1,16,0,3,308
COOK:8900034,COOK:Proviso Precinct 34,191,7,120,17,5,4,13,19,23,1,14,2,12,428
