JoinField,JoinField_alt,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
COOK:7000004,COOK:Barrington Precinct 4,28,6,26,27,7,88,165,11,358
COOK:7000008,COOK:Barrington Precinct 8,42,7,11,16,20,66,190,8,360
COOK:7000011,COOK:Barrington Precinct 11,22,4,17,9,14,31,99,4,200
COOK:7400002,COOK:Elk Grove Precinct 2,10,9,14,12,3,34,15,3,100
COOK:7400003,COOK:Elk Grove Precinct 3,24,16,74,41,3,80,53,10,301
COOK:7400004,COOK:Elk Grove Precinct 4,10,7,30,23,7,50,28,2,157
COOK:7400008,COOK:Elk Grove Precinct 8,10,10,49,19,0,72,26,4,190
COOK:7400009,COOK:Elk Grove Precinct 9,16,5,39,22,0,56,17,4,159
COOK:7400011,COOK:Elk Grove Precinct 11,12,16,46,27,4,57,41,4,207
COOK:7400012,COOK:Elk Grove Precinct 12,13,30,65,29,2,100,44,7,290
COOK:7400013,COOK:Elk Grove Precinct 13,9,9,17,2,0,19,24,3,83
COOK:7400014,COOK:Elk Grove Precinct 14,5,8,9,14,2,20,26,0,84
COOK:7400015,COOK:Elk Grove Precinct 15,20,16,27,15,6,60,60,8,212
COOK:7400016,COOK:Elk Grove Precinct 16,1,6,33,18,1,37,19,3,118
COOK:7400017,COOK:Elk Grove Precinct 17,10,2,29,8,1,36,21,0,107
COOK:7400018,COOK:Elk Grove Precinct 18,21,26,60,26,2,66,38,0,239
COOK:7400020,COOK:Elk Grove Precinct 20,20,11,50,43,3,83,33,4,247
COOK:7400021,COOK:Elk Grove Precinct 21,14,8,17,13,8,46,28,3,137
COOK:7400022,COOK:Elk Grove Precinct 22,9,11,43,8,5,45,38,4,163
COOK:7400023,COOK:Elk Grove Precinct 23,12,14,54,21,4,71,30,10,216
COOK:7400024,COOK:Elk Grove Precinct 24,8,6,12,17,1,58,37,0,139
COOK:7400026,COOK:Elk Grove Precinct 26,10,8,22,13,2,41,30,6,132
COOK:7400027,COOK:Elk Grove Precinct 27,3,0,5,3,1,18,2,0,32
COOK:7400028,COOK:Elk Grove Precinct 28,10,15,44,7,2,60,65,1,204
COOK:7400029,COOK:Elk Grove Precinct 29,17,16,61,15,3,86,34,6,238
COOK:7400030,COOK:Elk Grove Precinct 30,16,24,16,18,3,55,27,6,165
COOK:7400031,COOK:Elk Grove Precinct 31,18,10,23,7,5,41,43,10,157
COOK:7400032,COOK:Elk Grove Precinct 32,9,5,9,5,3,23,23,0,77
COOK:7400037,COOK:Elk Grove Precinct 37,16,12,28,16,7,63,34,4,180
COOK:7400039,COOK:Elk Grove Precinct 39,17,14,25,11,1,68,58,5,199
COOK:7400040,COOK:Elk Grove Precinct 40,22,11,16,11,2,56,52,2,172
COOK:7400042,COOK:Elk Grove Precinct 42,13,8,8,10,2,36,36,4,117
COOK:7400043,COOK:Elk Grove Precinct 43,12,11,34,22,0,90,31,3,203
COOK:7400044,COOK:Elk Grove Precinct 44,3,0,2,2,0,4,2,0,13
COOK:7400045,COOK:Elk Grove Precinct 45,10,9,34,17,0,61,23,6,160
COOK:7600001,COOK:Hanover Precinct 1,44,30,30,26,3,70,90,7,300
COOK:7600004,COOK:Hanover Precinct 4,0,0,1,0,0,2,2,0,5
COOK:7600005,COOK:Hanover Precinct 5,16,16,18,21,2,65,44,7,189
COOK:7600006,COOK:Hanover Precinct 6,8,10,17,9,2,43,26,6,121
COOK:7600007,COOK:Hanover Precinct 7,15,17,14,12,1,42,42,4,147
COOK:7600008,COOK:Hanover Precinct 8,11,22,9,17,0,59,45,1,164
COOK:7600010,COOK:Hanover Precinct 10,8,14,6,6,1,42,22,1,100
COOK:7600014,COOK:Hanover Precinct 14,26,31,12,10,1,79,66,9,234
COOK:7600015,COOK:Hanover Precinct 15,0,0,0,0,0,0,0,0,0
COOK:7600017,COOK:Hanover Precinct 17,19,7,7,6,1,34,24,1,99
COOK:7600019,COOK:Hanover Precinct 19,21,12,7,12,6,56,64,3,181
COOK:7600021,COOK:Hanover Precinct 21,23,12,19,18,3,49,67,4,195
COOK:7600022,COOK:Hanover Precinct 22,9,13,16,14,3,54,34,3,146
COOK:7600025,COOK:Hanover Precinct 25,32,19,24,33,3,71,69,14,265
COOK:7600027,COOK:Hanover Precinct 27,111,41,61,47,16,165,265,14,720
COOK:7600028,COOK:Hanover Precinct 28,15,25,23,27,2,98,64,4,258
COOK:7600033,COOK:Hanover Precinct 33,11,12,14,14,1,57,56,2,167
COOK:7600036,COOK:Hanover Precinct 36,15,25,5,8,2,40,30,5,130
COOK:7600037,COOK:Hanover Precinct 37,15,30,31,17,3,89,58,6,249
