JoinField,NEIL KHOT,YASMEEN BANKOLE,KEVIN B. MORRISON,DAN TULLY,RYAN VETTICAD,MELISSA L. BEAN,JUNAID AHMED,SANJYOT DUNUNG,Total Voters
DUPAGE:ADDISON 001,8,13,12,32,7,62,20,2,156
DUPAGE:ADDISON 002,5,21,10,26,0,53,30,4,149
DUPAGE:ADDISON 003,5,6,11,33,1,35,31,7,129
DUPAGE:ADDISON 004,2,5,3,8,0,28,13,1,60
DUPAGE:ADDISON 010,9,15,7,39,4,53,31,5,163
DUPAGE:ADDISON 011,5,5,11,36,1,42,39,1,140
DUPAGE:ADDISON 012,4,8,12,25,2,52,45,4,152
DUPAGE:ADDISON 013,9,15,17,29,0,55,28,6,159
DUPAGE:ADDISON 014,11,17,5,19,2,50,19,5,128
DUPAGE:ADDISON 015,4,13,22,13,1,45,37,9,144
DUPAGE:ADDISON 021,15,7,3,12,0,29,38,2,106
DUPAGE:ADDISON 022,7,10,5,15,4,40,26,7,114
DUPAGE:ADDISON 023,6,9,11,11,0,32,19,4,92
DUPAGE:ADDISON 024,10,8,17,16,0,26,9,2,88
DUPAGE:ADDISON 025,1,7,7,11,0,44,19,1,90
DUPAGE:ADDISON 026,7,8,3,12,1,25,18,1,75
DUPAGE:ADDISON 033,2,10,17,16,2,24,28,2,101
DUPAGE:BLOOMINGDALE 001,2,33,1,5,0,18,16,1,76
DUPAGE:BLOOMINGDALE 002,8,34,6,24,1,64,37,4,178
DUPAGE:BLOOMINGDALE 003,5,18,10,31,1,44,47,3,159
DUPAGE:BLOOMINGDALE 004,6,21,7,25,0,43,37,2,141
DUPAGE:BLOOMINGDALE 005,7,12,9,11,2,42,43,4,130
DUPAGE:BLOOMINGDALE 006,7,8,9,20,0,50,44,6,144
DUPAGE:BLOOMINGDALE 007,6,38,6,8,3,27,24,3,115
DUPAGE:BLOOMINGDALE 008,5,58,8,11,1,29,38,1,151
DUPAGE:BLOOMINGDALE 009,17,18,8,25,3,48,34,1,154
DUPAGE:BLOOMINGDALE 010,8,17,7,30,0,66,20,3,151
DUPAGE:BLOOMINGDALE 011,16,47,7,58,1,62,61,3,255
DUPAGE:BLOOMINGDALE 012,9,23,10,46,0,51,55,2,196
DUPAGE:BLOOMINGDALE 013,9,34,7,41,0,42,27,3,163
DUPAGE:BLOOMINGDALE 014,4,55,5,8,0,35,47,3,157
DUPAGE:BLOOMINGDALE 015,8,27,12,19,1,44,30,4,145
DUPAGE:BLOOMINGDALE 016,4,9,9,31,3,42,31,1,130
DUPAGE:BLOOMINGDALE 017,5,25,9,46,0,42,41,2,170
DUPAGE:BLOOMINGDALE 018,8,15,3,30,4,50,37,2,149
DUPAGE:BLOOMINGDALE 019,5,17,15,33,0,49,29,4,152
DUPAGE:BLOOMINGDALE 020,7,6,7,27,0,35,24,1,107
DUPAGE:BLOOMINGDALE 021,5,12,2,19,3,32,33,4,110
