JoinField,JoinField_alt,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,43,0,5,3,1,0,9,8,0,105,1,0,0,3,1,179
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,181,0,20,3,1,7,73,41,0,71,0,1,0,1,1,400
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,166,1,18,5,3,5,75,44,0,60,1,0,0,2,0,380
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,356,1,12,15,1,32,133,78,1,90,1,1,1,1,1,724
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,372,0,44,17,4,5,108,48,3,156,1,3,1,8,1,771
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,124,2,28,16,3,2,32,12,0,101,2,1,0,1,0,324
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,116,1,31,19,9,2,38,8,0,103,0,1,0,0,0,328
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,191,2,65,14,13,3,58,21,0,171,1,4,0,5,0,548
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,74,1,19,14,1,0,29,8,0,45,0,1,0,2,0,194
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,231,1,21,6,1,17,71,36,0,94,1,0,0,2,0,481
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,249,2,22,5,5,8,72,46,0,137,1,0,0,4,0,551
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,252,1,26,11,2,5,83,55,1,187,2,1,0,6,0,632
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,253,1,49,34,0,14,85,65,1,172,7,0,0,1,0,682
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,201,1,22,11,4,1,47,26,0,138,3,1,1,0,0,456
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,85,3,25,5,2,9,16,14,0,92,0,1,0,1,0,253
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,149,0,16,7,2,5,51,23,0,81,2,3,0,1,1,341
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,114,0,6,6,1,5,36,16,1,50,1,0,0,4,0,240
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,360,2,34,19,4,16,88,64,1,172,1,0,1,1,0,763
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,94,0,20,2,0,2,39,16,0,62,0,0,0,5,1,241
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,215,0,24,20,2,12,85,41,1,133,1,0,0,4,1,539
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,106,1,5,2,0,10,25,22,0,48,0,0,0,0,0,219
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,141,2,43,11,13,3,48,13,0,78,0,3,0,0,1,356
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,163,1,30,14,7,4,53,27,0,142,0,0,4,2,1,448
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,152,1,35,11,7,2,38,16,0,95,0,0,1,1,0,359
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,268,1,37,9,4,10,129,107,2,130,0,1,0,0,0,698
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,177,0,31,4,0,3,69,74,0,54,0,0,0,1,0,413
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,167,1,23,12,0,4,61,33,0,90,1,0,0,1,0,393
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,329,1,27,6,3,7,158,100,2,119,2,0,2,1,0,757
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,231,1,27,6,1,9,132,109,0,108,0,0,0,0,0,624
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,254,0,27,11,1,5,130,108,0,114,0,0,0,1,0,651
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,237,0,35,14,0,4,132,100,5,167,0,2,0,3,0,699
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,197,2,34,14,0,5,159,120,1,201,3,0,0,2,0,738
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,3,0,0,1,0,0,0,0,0,22,0,1,0,0,0,27
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,149,0,40,18,0,2,93,51,3,90,1,0,0,1,0,448
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,254,0,17,15,0,14,111,128,0,86,2,0,0,3,0,630
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,155,6,29,4,7,1,58,21,0,106,4,1,3,5,1,401
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,101,2,28,11,3,0,39,6,0,90,1,1,0,5,0,287
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,64,1,19,5,7,1,21,7,0,75,1,5,0,3,1,210
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,193,1,35,11,1,1,52,21,1,110,0,1,0,1,1,429
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,168,1,43,18,6,3,40,20,1,121,3,3,0,5,0,432
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,112,1,25,13,1,3,34,14,0,113,0,1,0,1,0,318
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,337,1,68,32,12,7,97,38,0,259,8,0,1,1,0,861
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,254,1,44,23,1,1,72,22,0,206,2,0,1,4,0,631
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,271,1,65,29,7,7,68,30,0,199,2,0,0,3,0,682
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,138,3,24,15,6,2,25,12,0,112,0,1,0,2,0,340
COOK:8000008,COOK:Maine Precinct 8,79,1,0,8,2,0,75,24,2,82,5,2,0,1,1,282
COOK:8000011,COOK:Maine Precinct 11,28,2,5,3,3,0,10,7,0,21,0,1,1,1,2,84
COOK:8000015,COOK:Maine Precinct 15,54,2,0,23,3,3,40,11,0,41,0,1,1,4,0,183
COOK:8000020,COOK:Maine Precinct 20,33,1,7,0,2,2,29,14,0,19,0,1,0,0,0,108
COOK:8000029,COOK:Maine Precinct 29,92,1,8,9,4,1,56,25,1,53,0,2,0,2,0,254
