JoinField,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
MCHENRY:ALG 1,55,1,1,3,0,1,40,16,0,33,0,1,1,2,0,154
MCHENRY:ALG 10,21,1,4,5,5,3,24,6,1,41,0,2,1,0,0,114
MCHENRY:ALG 11,52,1,0,5,2,1,20,2,0,37,1,2,1,2,1,127
MCHENRY:ALG 12,33,0,1,6,1,1,34,12,0,41,0,2,1,5,1,138
MCHENRY:ALG 13,44,1,2,2,4,1,28,8,0,34,0,2,0,1,1,128
MCHENRY:ALG 14,44,1,2,2,2,0,48,10,0,48,1,2,0,7,0,167
MCHENRY:ALG 15,31,0,0,0,4,0,24,6,0,24,0,1,1,0,1,92
MCHENRY:ALG 16,27,2,5,2,9,0,20,9,0,55,0,2,0,0,0,131
MCHENRY:ALG 17,38,2,4,5,0,1,28,4,0,30,2,1,2,1,0,118
MCHENRY:ALG 18,54,1,1,4,9,3,46,20,0,35,2,0,1,6,2,184
MCHENRY:ALG 19,22,1,2,4,1,2,15,6,0,34,0,1,0,8,0,96
MCHENRY:ALG 2,64,0,7,2,2,2,47,16,0,68,2,3,1,2,1,217
MCHENRY:ALG 20,30,0,5,12,1,2,32,5,0,43,0,1,0,9,0,140
MCHENRY:ALG 21,44,2,2,2,4,3,40,2,0,46,5,1,1,12,1,165
MCHENRY:ALG 22,46,4,7,1,8,2,30,15,0,54,1,0,1,7,1,177
MCHENRY:ALG 23,29,2,3,3,3,0,33,4,0,17,0,1,0,11,0,106
MCHENRY:ALG 24,22,0,4,1,3,0,12,2,0,30,2,0,0,1,0,77
MCHENRY:ALG 25,27,1,2,3,1,1,22,5,0,38,0,0,0,3,2,105
MCHENRY:ALG 26,29,0,3,4,2,1,19,4,0,25,0,1,1,1,0,90
MCHENRY:ALG 27,23,2,2,4,6,2,31,5,0,31,0,5,1,5,0,117
MCHENRY:ALG 28,64,2,6,2,1,1,63,8,0,72,2,2,1,2,0,226
MCHENRY:ALG 29,27,3,2,3,2,0,19,4,0,33,2,2,1,2,1,101
MCHENRY:ALG 3,47,0,2,8,2,0,23,8,0,38,4,3,0,4,0,139
MCHENRY:ALG 30,18,3,4,2,2,2,19,4,1,50,0,0,0,1,0,106
MCHENRY:ALG 31,21,1,4,3,4,0,25,5,0,71,0,0,1,3,0,138
MCHENRY:ALG 32,41,1,0,3,0,1,44,11,0,27,1,2,1,1,0,133
MCHENRY:ALG 33,54,0,5,8,3,2,27,5,1,55,9,3,2,2,0,176
MCHENRY:ALG 34,37,2,5,3,5,0,26,11,1,40,0,3,0,1,1,135
MCHENRY:ALG 35,22,2,7,1,3,0,25,9,0,40,1,1,1,3,0,115
MCHENRY:ALG 36,34,0,4,6,0,1,19,4,0,54,0,1,0,0,0,123
MCHENRY:ALG 37,36,0,4,2,2,2,19,15,0,17,0,2,1,1,1,102
MCHENRY:ALG 38,35,0,2,2,5,1,30,9,1,33,0,0,0,3,1,122
MCHENRY:ALG 39,43,2,3,3,1,2,20,6,0,42,0,3,0,0,0,125
MCHENRY:ALG 4,28,1,6,4,5,0,35,5,0,56,1,1,2,5,0,149
MCHENRY:ALG 40,27,3,7,4,3,0,29,9,0,35,1,0,0,0,0,118
MCHENRY:ALG 41,27,3,2,8,2,0,33,10,1,34,2,2,2,2,0,128
MCHENRY:ALG 42,38,1,0,1,3,2,43,11,0,47,2,6,2,16,0,172
MCHENRY:ALG 43,17,1,0,3,5,0,21,4,0,28,0,1,2,3,0,85
MCHENRY:ALG 44,23,2,2,2,1,2,26,1,2,34,4,1,1,3,0,104
MCHENRY:ALG 45,45,2,0,4,5,0,33,12,0,43,0,3,1,2,1,151
MCHENRY:ALG 46,24,3,2,9,5,2,46,11,0,69,0,0,2,4,1,178
MCHENRY:ALG 47,31,0,0,5,7,1,37,14,0,45,2,2,0,1,0,145
MCHENRY:ALG 48,37,19,0,3,0,0,29,17,0,44,0,0,0,5,1,155
MCHENRY:ALG 49,28,2,3,4,3,0,39,2,0,32,0,2,3,3,1,122
MCHENRY:ALG 5,31,2,7,3,5,3,38,1,0,63,1,0,1,0,0,155
MCHENRY:ALG 50,44,1,9,0,2,2,35,9,2,50,6,1,0,1,0,162
MCHENRY:ALG 51,46,1,1,3,3,0,42,9,0,56,3,0,0,2,1,167
MCHENRY:ALG 52,33,3,3,3,3,2,29,14,0,51,5,1,0,7,0,154
MCHENRY:ALG 53,29,4,1,3,4,0,22,9,0,36,0,0,0,3,0,111
