JoinField,Ward,Precinct,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 01,1,1,17,189,249,81,0,3,2,1,2,2,546
CITY OF CHICAGO:WARD 01 PRECINCT 02,1,2,14,196,258,88,1,4,4,1,1,3,570
CITY OF CHICAGO:WARD 01 PRECINCT 03,1,3,17,165,252,86,2,3,3,1,3,4,536
CITY OF CHICAGO:WARD 01 PRECINCT 04,1,4,25,182,274,47,1,3,1,2,3,1,539
CITY OF CHICAGO:WARD 01 PRECINCT 05,1,5,17,167,241,69,2,4,2,2,0,1,505
CITY OF CHICAGO:WARD 01 PRECINCT 06,1,6,26,133,198,67,1,1,3,3,1,2,435
CITY OF CHICAGO:WARD 01 PRECINCT 07,1,7,15,155,289,55,1,6,1,0,4,1,527
CITY OF CHICAGO:WARD 01 PRECINCT 08,1,8,11,129,188,60,0,0,1,1,2,2,394
CITY OF CHICAGO:WARD 01 PRECINCT 09,1,9,18,70,111,42,0,1,0,1,4,4,251
CITY OF CHICAGO:WARD 01 PRECINCT 10,1,10,26,139,251,73,2,7,2,1,5,3,509
CITY OF CHICAGO:WARD 01 PRECINCT 11,1,11,26,153,208,53,2,6,2,0,2,5,457
CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,16,68,121,36,1,1,2,1,1,4,251
CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,16,134,156,60,1,2,2,0,1,0,372
CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,12,78,133,57,1,3,1,2,0,3,290
CITY OF CHICAGO:WARD 01 PRECINCT 15,1,15,25,118,239,72,0,6,3,3,5,5,476
CITY OF CHICAGO:WARD 01 PRECINCT 16,1,16,26,114,245,95,0,7,0,3,3,1,494
CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,18,68,148,55,1,2,1,2,0,1,296
CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,24,107,198,59,4,7,2,0,1,2,404
CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,16,103,179,38,3,1,1,1,0,2,344
CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,5,87,174,73,1,4,2,1,0,1,348
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,18,130,200,51,0,4,1,4,2,2,412
CITY OF CHICAGO:WARD 01 PRECINCT 22,1,22,20,132,255,73,7,4,4,0,3,3,501
CITY OF CHICAGO:WARD 01 PRECINCT 23,1,23,12,70,122,40,0,2,3,1,0,0,250
CITY OF CHICAGO:WARD 01 PRECINCT 24,1,24,26,150,231,97,3,6,2,1,3,4,523
CITY OF CHICAGO:WARD 01 PRECINCT 25,1,25,25,128,252,77,6,2,2,3,2,4,501
CITY OF CHICAGO:WARD 01 PRECINCT 26,1,26,10,100,217,96,7,1,5,1,3,4,444
CITY OF CHICAGO:WARD 02 PRECINCT 01,2,1,9,62,133,128,3,2,1,2,1,1,342
CITY OF CHICAGO:WARD 02 PRECINCT 02,2,2,20,81,215,238,2,7,4,2,1,5,575
CITY OF CHICAGO:WARD 02 PRECINCT 03,2,3,11,46,110,74,0,1,2,1,0,0,245
CITY OF CHICAGO:WARD 02 PRECINCT 04,2,4,6,35,131,111,2,1,2,1,1,1,291
CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,10,53,146,158,4,1,3,1,2,4,382
CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,14,70,195,266,0,0,5,1,1,2,554
CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,22,45,185,187,3,2,4,0,1,4,453
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,11,44,128,196,3,0,4,1,1,0,388
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,10,72,186,214,0,6,1,1,0,2,492
CITY OF CHICAGO:WARD 02 PRECINCT 10,2,10,9,23,76,74,3,2,0,1,1,0,189
CITY OF CHICAGO:WARD 02 PRECINCT 11,2,11,13,38,142,155,1,5,0,1,2,3,360
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,15,48,126,82,0,3,2,0,2,2,280
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,15,47,148,134,2,3,2,3,1,3,358
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,12,28,107,81,2,6,2,0,0,1,239
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,21,51,140,128,2,1,1,0,1,1,346
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,14,53,155,185,5,3,1,2,1,1,420
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,17,74,210,220,4,6,1,2,4,1,539
CITY OF CHICAGO:WARD 02 PRECINCT 18,2,18,9,55,94,75,0,3,3,3,1,0,243
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,7,31,80,61,3,1,0,0,3,0,186
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,6,40,86,99,3,2,0,2,0,0,238
CITY OF CHICAGO:WARD 02 PRECINCT 21,2,21,3,18,34,37,1,1,1,0,0,1,96
CITY OF CHICAGO:WARD 02 PRECINCT 22,2,22,15,52,128,87,2,2,2,2,0,0,290
CITY OF CHICAGO:WARD 02 PRECINCT 23,2,23,7,57,151,92,0,4,1,1,1,2,316
CITY OF CHICAGO:WARD 02 PRECINCT 24,2,24,7,35,105,110,2,0,0,0,0,1,260
CITY OF CHICAGO:WARD 02 PRECINCT 25,2,25,15,40,152,145,2,1,0,0,2,3,360
CITY OF CHICAGO:WARD 03 PRECINCT 01,3,1,6,113,229,69,4,1,2,3,1,2,430
CITY OF CHICAGO:WARD 03 PRECINCT 02,3,2,5,115,301,90,2,4,1,3,1,2,524
CITY OF CHICAGO:WARD 03 PRECINCT 03,3,3,9,76,141,60,0,1,3,2,2,0,294
CITY OF CHICAGO:WARD 03 PRECINCT 04,3,4,4,139,206,48,0,2,0,1,3,5,408
CITY OF CHICAGO:WARD 03 PRECINCT 05,3,5,4,21,42,13,0,2,0,3,1,1,87
CITY OF CHICAGO:WARD 03 PRECINCT 06,3,6,11,84,209,59,1,5,2,3,0,1,375
CITY OF CHICAGO:WARD 03 PRECINCT 07,3,7,4,62,134,38,0,3,0,0,1,1,243
CITY OF CHICAGO:WARD 03 PRECINCT 08,3,8,5,102,175,48,2,4,0,3,1,2,342
CITY OF CHICAGO:WARD 03 PRECINCT 09,3,9,8,48,126,31,2,3,3,1,3,1,226
CITY OF CHICAGO:WARD 03 PRECINCT 10,3,10,8,63,120,89,1,1,2,2,3,0,289
CITY OF CHICAGO:WARD 03 PRECINCT 11,3,11,20,143,308,81,3,7,2,6,2,5,577
CITY OF CHICAGO:WARD 03 PRECINCT 12,3,12,10,138,272,55,0,1,3,7,7,4,497
CITY OF CHICAGO:WARD 03 PRECINCT 13,3,13,13,116,258,167,0,2,1,3,2,2,564
CITY OF CHICAGO:WARD 03 PRECINCT 14,3,14,25,138,267,112,2,3,2,3,5,7,564
CITY OF CHICAGO:WARD 03 PRECINCT 15,3,15,14,92,210,52,2,3,3,5,3,3,387
