JoinField,KEVIN RYAN,ROBIN KELLY,JULIANA STRATTON,RAJA KRISHNAMOORTHI,STEVE BOTSFORD JR.,BRYAN MAXWELL,JONATHAN DEAN,SEAN BROWN,AWISI A. BUSTOS,CHRISTOPHER SWANN,Adam Delgado,Total Voters
DUPAGE:ADDISON 001,2,9,26,121,0,0,1,0,0,0,0,159
DUPAGE:ADDISON 002,5,6,37,93,0,2,1,2,2,3,0,151
DUPAGE:ADDISON 003,9,9,33,76,0,1,0,1,1,0,0,130
DUPAGE:ADDISON 004,3,6,18,37,0,0,0,0,0,0,0,64
DUPAGE:ADDISON 005,3,4,24,31,0,0,1,0,1,0,0,64
DUPAGE:ADDISON 006,7,20,54,42,0,0,0,1,2,2,0,128
DUPAGE:ADDISON 007,4,15,46,73,0,0,3,0,1,0,0,142
DUPAGE:ADDISON 008,4,8,27,59,2,0,1,1,1,0,0,103
DUPAGE:ADDISON 009,5,7,42,44,0,2,1,0,3,1,0,105
DUPAGE:ADDISON 010,9,11,42,98,0,1,2,1,0,2,0,166
DUPAGE:ADDISON 011,12,5,43,73,0,1,1,0,1,1,0,137
DUPAGE:ADDISON 012,9,10,48,75,1,2,0,2,1,3,0,151
DUPAGE:ADDISON 013,11,19,38,94,0,0,2,1,0,0,0,165
DUPAGE:ADDISON 014,2,11,32,82,0,1,0,1,1,1,0,131
DUPAGE:ADDISON 015,4,8,40,85,1,4,1,0,2,0,0,145
DUPAGE:ADDISON 016,5,6,62,84,0,0,0,0,1,0,0,158
DUPAGE:ADDISON 017,7,9,46,36,0,1,0,1,1,1,0,102
DUPAGE:ADDISON 018,3,17,65,54,1,0,1,0,4,2,0,147
DUPAGE:ADDISON 019,11,6,44,52,0,1,0,0,0,0,0,114
DUPAGE:ADDISON 020,4,8,33,49,0,0,1,1,1,1,0,98
DUPAGE:ADDISON 021,8,19,15,61,1,0,1,0,0,0,0,105
DUPAGE:ADDISON 022,2,11,28,66,0,0,0,0,1,0,0,108
DUPAGE:ADDISON 023,4,10,18,57,0,0,0,1,0,0,0,90
DUPAGE:ADDISON 024,1,6,18,63,1,1,0,0,0,0,0,90
DUPAGE:ADDISON 025,5,8,18,56,0,0,1,0,0,0,0,88
DUPAGE:ADDISON 026,1,9,19,46,1,0,1,0,0,0,0,77
DUPAGE:ADDISON 027,0,16,44,57,0,0,0,0,1,1,0,119
DUPAGE:ADDISON 028,4,16,44,54,0,1,1,0,3,4,0,127
DUPAGE:ADDISON 029,5,10,43,39,1,1,0,1,1,0,0,101
DUPAGE:ADDISON 030,0,14,41,80,1,0,0,0,3,0,0,139
DUPAGE:ADDISON 031,5,21,50,55,0,0,2,1,1,2,0,137
DUPAGE:ADDISON 032,10,16,37,58,1,0,2,0,1,2,0,127
DUPAGE:ADDISON 033,2,9,30,59,0,0,0,0,0,0,0,100
DUPAGE:ADDISON 034,3,16,37,50,0,1,1,1,4,1,0,114
DUPAGE:ADDISON 035,9,22,33,77,0,1,3,0,1,0,0,146
DUPAGE:ADDISON 036,2,7,63,54,1,0,0,1,3,1,0,132
DUPAGE:ADDISON 037,9,8,33,32,1,0,1,0,1,1,0,86
DUPAGE:ADDISON 038,7,9,29,43,0,0,0,0,0,0,0,88
DUPAGE:ADDISON 039,5,20,42,78,0,0,2,1,1,3,0,152
