JoinField,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,WRITE-IN,Total Voters
MCHENRY:ALD 1,6,10,45,43,1,0,1,2,0,2,0,110
MCHENRY:ALG 1,13,7,74,58,0,1,0,1,0,0,0,154
MCHENRY:ALG 10,8,11,51,45,2,0,0,0,1,0,0,118
MCHENRY:ALG 11,5,6,59,53,0,2,1,2,1,0,0,129
MCHENRY:ALG 12,3,12,65,47,0,3,1,2,2,1,1,137
MCHENRY:ALG 13,3,10,59,48,1,4,0,0,1,1,0,127
MCHENRY:ALG 14,13,15,70,62,1,1,2,1,1,1,0,167
MCHENRY:ALG 15,5,11,43,33,0,0,0,0,0,0,1,93
MCHENRY:ALG 16,3,18,59,45,2,0,0,0,2,1,0,130
MCHENRY:ALG 17,4,13,35,59,1,0,2,0,2,2,0,118
MCHENRY:ALG 18,5,16,53,105,2,0,2,2,1,0,0,186
MCHENRY:ALG 19,5,7,46,35,0,1,1,0,1,0,0,96
MCHENRY:ALG 2,8,28,99,72,2,2,1,0,2,3,0,217
MCHENRY:ALG 20,7,14,60,57,0,0,0,1,2,0,0,141
MCHENRY:ALG 21,14,10,58,78,0,1,0,1,0,1,0,163
MCHENRY:ALG 22,11,16,79,69,0,1,0,1,0,0,0,177
MCHENRY:ALG 23,1,15,25,57,0,1,0,1,3,0,0,103
MCHENRY:ALG 24,2,16,30,26,0,1,0,1,0,1,0,77
MCHENRY:ALG 25,5,11,36,42,1,1,1,1,0,5,0,103
MCHENRY:ALG 26,1,11,41,37,0,0,0,0,0,0,0,90
MCHENRY:ALG 27,3,6,47,57,0,1,0,2,1,1,0,118
MCHENRY:ALG 28,14,26,93,90,0,1,2,0,2,0,0,228
MCHENRY:ALG 29,9,12,34,40,0,3,1,0,0,3,0,102
MCHENRY:ALG 3,5,18,43,70,0,2,1,0,2,0,0,141
MCHENRY:ALG 30,5,10,51,35,0,1,3,1,0,1,0,107
MCHENRY:ALG 31,6,27,60,45,1,0,0,0,0,0,0,139
MCHENRY:ALG 32,4,10,44,71,0,2,2,1,2,0,0,136
MCHENRY:ALG 33,8,28,56,73,1,4,2,0,2,2,0,176
MCHENRY:ALG 34,7,14,43,60,0,2,4,1,1,2,0,134
MCHENRY:ALG 35,11,4,51,48,1,2,0,0,2,0,0,119
MCHENRY:ALG 36,3,14,40,57,1,2,1,1,2,0,0,121
MCHENRY:ALG 37,4,13,57,24,0,0,0,1,2,2,1,104
MCHENRY:ALG 38,4,10,61,47,0,1,0,0,1,1,0,125
MCHENRY:ALG 39,8,18,52,39,0,0,2,2,1,2,1,125
MCHENRY:ALG 4,8,13,53,67,1,3,2,0,2,0,1,150
MCHENRY:ALG 40,5,11,51,47,0,1,2,0,0,1,1,119
