JoinField,Precinct,KEVIN RYAN,ROBIN KELLY,JULIANA STRATTON,RAJA KRISHNAMOORTHI,STEVE BOTSFORD JR.,BRYAN MAXWELL,JONATHAN DEAN,SEAN BROWN,AWISI A. BUSTOS,CHRISTOPHER SWANN,ADAM DELGADO (WRITE-IN),Total Voters
WILL:CHANNAHON PCT 001,CHANNAHON PCT 001,5,15,51,45,0,0,0,1,0,0,0,117
WILL:CHANNAHON PCT 002,CHANNAHON PCT 002,9,31,74,86,0,0,1,1,1,2,0,205
WILL:CHANNAHON PCT 003,CHANNAHON PCT 003,10,28,48,56,0,3,1,0,0,1,0,147
WILL:CHANNAHON PCT 004,CHANNAHON PCT 004,7,25,36,57,0,1,2,1,0,0,0,129
WILL:CHANNAHON PCT 005,CHANNAHON PCT 005,7,17,46,42,0,1,1,0,0,3,0,117
WILL:CRETE PCT 001,CRETE PCT 001,7,90,69,41,0,1,0,2,1,3,0,214
WILL:CRETE PCT 002,CRETE PCT 002,7,47,45,49,0,2,0,0,1,0,0,151
WILL:CRETE PCT 003,CRETE PCT 003,5,59,63,47,0,0,0,1,0,1,0,176
WILL:CRETE PCT 004,CRETE PCT 004,4,122,98,59,0,2,1,1,0,1,0,288
WILL:CRETE PCT 005,CRETE PCT 005,6,119,126,65,3,1,0,4,1,5,0,330
WILL:CRETE PCT 006,CRETE PCT 006,3,98,70,49,0,0,0,0,0,2,0,222
WILL:CRETE PCT 007,CRETE PCT 007,3,120,123,70,0,0,1,3,0,1,0,321
WILL:CRETE PCT 008,CRETE PCT 008,4,104,73,38,2,1,0,0,3,1,0,226
WILL:CRETE PCT 009,CRETE PCT 009,7,74,54,43,0,1,0,1,0,1,0,181
WILL:CRETE PCT 010,CRETE PCT 010,9,28,28,49,0,0,0,0,0,0,0,114
WILL:CRETE PCT 011,CRETE PCT 011,4,48,24,43,0,0,2,0,0,2,1,124
WILL:CRETE PCT 012,CRETE PCT 012,4,56,66,27,1,1,2,0,0,2,0,159
WILL:CUSTER PCT 001,CUSTER PCT 001,2,5,18,27,0,0,0,0,0,1,0,53
WILL:DUPAGE PCT 001,DUPAGE PCT 001,8,30,130,120,1,0,5,2,1,1,0,298
WILL:DUPAGE PCT 002,DUPAGE PCT 002,6,42,118,124,1,1,0,1,1,2,0,296
WILL:DUPAGE PCT 003,DUPAGE PCT 003,7,29,127,102,2,4,2,0,0,0,0,273
WILL:DUPAGE PCT 004,DUPAGE PCT 004,14,24,90,46,1,1,1,2,2,0,0,181
WILL:DUPAGE PCT 005,DUPAGE PCT 005,13,43,98,73,5,1,1,2,1,1,0,238
WILL:DUPAGE PCT 006,DUPAGE PCT 006,5,44,96,78,1,2,0,2,2,4,0,234
WILL:DUPAGE PCT 007,DUPAGE PCT 007,15,28,95,85,1,2,1,2,0,2,1,232
WILL:DUPAGE PCT 008,DUPAGE PCT 008,7,45,96,60,1,2,0,5,3,3,0,222
WILL:DUPAGE PCT 009,DUPAGE PCT 009,8,31,99,43,1,1,1,1,0,2,0,187
WILL:DUPAGE PCT 010,DUPAGE PCT 010,8,59,171,86,2,2,0,4,0,1,0,333
WILL:DUPAGE PCT 011,DUPAGE PCT 011,4,32,126,87,2,3,1,3,2,0,0,260
