FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,12,16,13,0,41,3,4,5,0,12,10,3,17,0,30,18,14,24,0,56,139
Addison 002,1180,16,11,17,0,44,5,4,2,0,11,13,19,18,0,50,11,7,17,0,35,140
Addison 003,975,6,10,24,0,40,2,4,4,0,10,12,6,11,0,29,13,8,21,0,42,121
Addison 004,634,1,6,19,0,26,0,1,4,0,5,5,4,8,0,17,2,0,6,0,8,56
Addison 005,528,7,5,21,0,33,0,2,2,0,4,5,1,6,0,12,2,5,8,0,15,64
Addison 006,933,13,13,45,0,71,4,3,2,0,9,5,2,8,0,15,7,5,18,0,30,125
Addison 007,1021,10,13,40,0,63,1,4,2,0,7,3,9,20,0,32,12,3,21,0,36,138
Addison 008,846,19,11,27,0,57,2,0,3,0,5,4,6,2,0,12,11,7,10,0,28,102
Addison 009,1038,14,7,28,0,49,3,1,2,0,6,4,6,7,0,17,12,6,10,0,28,100
Addison 010,1022,16,7,17,0,40,14,4,3,0,21,13,11,18,0,42,15,12,29,0,56,159
Addison 011,1094,13,5,21,0,39,5,6,8,0,19,10,11,19,0,40,5,7,17,0,29,127
Addison 012,1249,12,17,29,0,58,4,2,4,0,10,10,6,19,0,35,10,12,20,0,42,145
Addison 013,1225,12,16,27,0,55,11,5,3,0,19,8,8,13,0,29,20,10,16,0,46,149
Addison 014,984,21,12,15,0,48,7,1,4,0,12,7,8,6,0,21,14,9,19,0,42,123
Addison 015,1119,15,11,18,0,44,5,8,7,0,20,14,11,15,0,40,7,9,17,0,33,137
Addison 016,1151,12,16,14,0,42,3,6,6,0,15,14,14,17,0,45,14,15,16,0,45,147
Addison 017,840,10,10,24,0,44,2,2,2,0,6,4,6,7,0,17,9,2,17,0,28,95
Addison 018,1049,17,14,35,0,66,1,2,4,0,7,10,8,12,0,30,5,12,18,0,35,138
Addison 019,945,7,16,33,0,56,3,2,6,0,11,2,1,18,0,21,4,1,17,0,22,110
Addison 020,1058,9,8,23,0,40,2,4,6,0,12,5,5,5,0,15,8,11,9,0,28,95
Addison 021,751,14,10,18,0,42,3,4,4,0,11,7,5,3,0,15,12,5,13,0,30,98
Addison 022,985,9,12,15,0,36,5,5,6,0,16,8,6,7,0,21,4,12,16,0,32,105
Addison 023,843,7,9,13,0,29,4,5,4,0,13,5,9,8,0,22,7,6,10,0,23,87
Addison 024,827,8,5,5,0,18,7,1,6,0,14,15,3,2,0,20,9,2,15,0,26,78
Addison 025,798,3,9,17,0,29,4,7,2,0,13,4,2,8,0,14,4,7,13,0,24,80
Addison 026,697,9,6,14,0,29,4,7,2,0,13,4,6,4,0,14,3,10,5,0,18,74
Addison 027,999,9,8,29,0,46,0,1,1,0,2,11,10,7,0,28,1,17,21,0,39,115
Addison 028,1163,32,10,27,1,70,7,2,2,0,11,10,4,6,0,20,12,9,1,0,22,123
Addison 029,937,26,11,25,0,62,1,0,1,0,2,5,9,7,0,21,9,3,1,0,13,98
Addison 030,1169,14,16,20,0,50,5,3,7,0,15,11,9,10,0,30,4,9,28,0,41,136
Addison 031,1051,6,6,38,0,50,3,3,7,0,13,12,6,24,0,42,8,6,16,0,30,135
Addison 032,994,12,14,32,0,58,2,4,3,0,9,6,8,10,0,24,7,11,15,0,33,124
Addison 033,794,15,8,14,0,37,2,0,3,0,5,4,14,6,0,24,9,11,10,0,30,96
Addison 034,1019,8,9,23,0,40,3,1,4,0,8,7,14,11,0,32,7,7,14,0,28,108
Addison 035,1104,17,22,31,0,70,2,1,1,0,4,13,12,10,0,35,9,11,10,0,30,139
Addison 036,1235,14,19,36,0,69,2,2,2,0,6,5,6,10,0,21,9,6,14,0,29,125
Addison 037,814,19,11,18,0,48,3,5,3,0,11,4,3,4,0,11,5,6,2,0,13,83
Addison 038,872,18,7,12,0,37,6,1,3,0,10,4,2,7,0,13,10,7,9,0,26,86
Addison 039,1141,14,19,32,0,65,0,2,3,0,5,4,10,8,0,22,10,12,27,0,49,141
Addison 040,1138,10,15,36,0,61,2,7,6,0,15,3,12,19,0,34,4,6,35,0,45,155
Addison 041,878,16,1,11,0,28,3,1,1,0,5,4,5,1,0,10,5,9,9,0,23,66
Addison 042,1161,15,7,39,0,61,3,1,4,0,8,7,5,5,0,17,4,10,10,0,24,110
Addison 043,944,4,12,26,0,42,1,5,2,0,8,2,2,9,0,13,4,10,9,0,23,86
Addison 044,1059,18,14,31,0,63,0,2,6,0,8,5,11,10,0,26,7,15,11,0,33,130
Addison 045,1233,17,11,31,0,59,7,3,6,0,16,14,11,21,0,46,13,7,24,0,44,165
Addison 046,1215,21,14,41,0,76,0,3,15,0,18,5,12,32,0,49,10,6,34,0,50,193
Addison 047,1311,17,21,31,0,69,4,2,2,0,8,6,9,6,0,21,9,4,11,0,24,122
Addison 048,917,17,8,37,0,62,3,2,3,0,8,13,6,6,0,25,10,6,5,0,21,116
Addison 049,636,10,8,11,0,29,5,2,5,0,12,17,11,15,0,43,4,8,12,0,24,108
Addison 050,1014,17,21,14,0,52,8,3,4,0,15,17,14,32,0,63,18,15,25,0,58,188
Addison 051,1159,21,10,17,0,48,6,5,5,0,16,43,37,43,0,123,13,15,25,0,53,240
Addison 052,1283,17,13,28,0,58,4,6,6,0,16,24,40,25,0,89,22,13,28,0,63,226
Addison 053,1023,12,6,25,0,43,0,4,6,0,10,18,24,25,0,67,8,13,33,0,54,174
Bloomingdale 001,656,3,6,15,0,24,4,1,4,0,9,3,11,8,0,22,6,3,8,0,17,72
Bloomingdale 002,1093,15,18,20,0,53,3,8,6,0,17,7,22,16,0,45,15,14,22,0,51,166
Bloomingdale 003,1086,16,26,23,0,65,1,5,6,0,12,10,4,7,0,21,10,8,20,0,38,136
Bloomingdale 004,774,6,9,11,0,26,6,8,8,0,22,14,8,26,0,48,7,6,24,0,37,133
Bloomingdale 005,820,10,10,17,0,37,3,6,6,0,15,11,10,15,0,36,11,11,11,0,33,121
Bloomingdale 006,1067,11,11,31,0,53,3,6,8,0,17,7,8,16,0,31,9,7,21,0,37,138
