FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,
,,JB PRITZER / CHRISTIAN MITCHELL,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,48,39,62,0,149,149
Addison 002,1180,45,41,53,0,139,139
Addison 003,975,36,29,57,0,122,122
Addison 004,634,9,12,42,0,63,63
Addison 005,528,14,13,35,0,62,62
Addison 006,933,28,22,75,0,125,125
Addison 007,1021,25,30,83,0,138,138
Addison 008,846,36,24,43,0,103,103
Addison 009,1038,34,22,47,0,103,103
Addison 010,1022,52,36,70,0,158,158
Addison 011,1094,35,32,60,0,127,127
Addison 012,1249,37,35,70,0,142,142
Addison 013,1225,53,38,59,0,150,150
Addison 014,984,49,34,46,0,129,129
Addison 015,1119,37,40,59,0,136,136
Addison 016,1151,42,56,53,0,151,151
Addison 017,840,23,21,44,0,88,88
Addison 018,1049,35,38,70,0,143,143
Addison 019,945,15,20,72,0,107,107
Addison 020,1058,24,28,43,0,95,95
Addison 021,751,40,20,38,0,98,98
Addison 022,985,27,35,45,0,107,107
Addison 023,843,26,29,36,0,91,91
Addison 024,827,40,12,30,0,82,82
Addison 025,798,15,25,39,0,79,79
Addison 026,697,19,29,25,0,73,73
Addison 027,999,22,37,57,0,116,116
Addison 028,1163,61,27,36,1,125,125
Addison 029,937,41,23,34,0,98,98
Addison 030,1169,36,34,62,0,132,132
Addison 031,1051,31,20,83,0,134,134
Addison 032,994,27,39,59,0,125,125
Addison 033,794,32,34,31,0,97,97
Addison 034,1019,25,28,46,0,99,99
Addison 035,1104,43,47,53,0,143,143
Addison 036,1235,30,36,61,0,127,127
Addison 037,814,31,25,29,0,85,85
Addison 038,872,38,17,31,0,86,86
Addison 039,1141,29,44,73,0,146,146
Addison 040,1138,17,41,96,0,154,154
Addison 041,878,24,16,22,0,62,62
Addison 042,1161,29,23,58,0,110,110
Addison 043,944,13,29,43,0,85,85
Addison 044,1059,29,39,54,0,122,122
Addison 045,1233,51,35,85,0,171,171
Addison 046,1215,35,35,121,0,191,191
Addison 047,1311,34,36,51,0,121,121
Addison 048,917,42,24,44,0,110,110
Addison 049,636,36,31,43,0,110,110
Addison 050,1014,61,52,79,0,192,192
Addison 051,1159,87,68,93,0,248,248
Addison 052,1283,67,73,87,0,227,227
Addison 053,1023,39,46,88,0,173,173
Bloomingdale 001,656,18,21,34,0,73,73
Bloomingdale 002,1093,41,61,66,0,168,168
Bloomingdale 003,1086,39,48,61,0,148,148
Bloomingdale 004,774,34,33,73,0,140,140
Bloomingdale 005,820,36,39,54,0,129,129
