FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,5,4,12,0,21,6,1,10,0,17,5,3,21,0,29,1,0,5,0,6,73
Addison 002,1180,7,4,22,0,33,2,2,6,0,10,13,6,9,0,28,5,1,6,0,12,83
Addison 003,975,12,4,16,0,32,6,1,13,0,20,6,5,16,0,27,1,0,11,0,12,91
Addison 004,634,4,0,9,0,13,5,2,11,0,18,3,0,9,0,12,2,0,2,0,4,47
Addison 005,528,1,1,5,0,7,1,0,4,0,5,2,1,4,0,7,0,0,2,0,2,21
Addison 006,933,3,5,7,0,15,1,2,4,0,7,3,2,10,0,15,0,0,2,0,2,39
Addison 007,1021,4,5,21,0,30,4,2,8,0,14,6,2,11,0,19,3,2,10,0,15,78
Addison 008,846,3,1,8,0,12,3,1,6,0,10,1,2,8,0,11,2,0,6,0,8,41
Addison 009,1038,6,5,4,0,15,1,2,2,0,5,4,2,3,0,9,2,2,2,0,6,35
Addison 010,1022,9,2,17,0,28,4,2,9,0,15,8,3,13,0,24,5,1,5,0,11,78
Addison 011,1094,13,4,19,0,36,3,2,4,0,9,10,3,13,0,26,5,1,9,0,15,86
Addison 012,1249,12,3,15,0,30,5,0,8,0,13,11,1,17,0,29,0,0,5,0,5,77
Addison 013,1225,11,2,10,0,23,7,3,13,0,23,10,2,13,0,25,2,3,4,0,9,80
Addison 014,984,12,3,18,0,33,7,0,9,0,16,11,3,13,0,27,3,1,5,0,9,85
Addison 015,1119,15,7,15,0,37,5,1,14,1,21,13,3,18,0,34,6,1,7,0,14,106
Addison 016,1151,12,7,14,0,33,7,4,12,0,23,8,8,13,0,29,7,5,8,0,20,105
Addison 017,840,1,1,10,0,12,3,0,12,0,15,1,5,11,0,17,3,0,2,0,5,49
Addison 018,1049,3,1,19,0,23,1,1,4,0,6,4,6,6,0,16,2,0,2,0,4,49
Addison 019,945,2,1,17,0,20,3,0,5,0,8,8,0,9,0,17,4,0,5,0,9,54
Addison 020,1058,0,3,7,0,10,2,1,2,0,5,3,8,6,0,17,1,0,2,0,3,35
Addison 021,751,9,4,6,0,19,2,2,11,0,15,6,1,12,0,19,2,2,5,0,9,62
Addison 022,985,2,1,24,0,27,7,5,4,0,16,10,2,15,0,27,1,2,12,0,15,85
Addison 023,843,6,2,11,0,19,6,4,7,0,17,6,2,14,0,22,5,2,2,0,9,67
Addison 024,827,9,0,10,0,19,2,8,8,0,18,15,1,9,0,25,8,2,7,0,17,79
Addison 025,798,6,5,16,0,27,12,3,8,0,23,5,5,12,0,22,5,4,1,0,10,82
Addison 026,697,9,1,7,0,17,6,0,5,0,11,12,4,10,0,26,0,1,1,0,2,56
Addison 027,999,6,1,4,0,11,5,0,11,0,16,3,0,9,0,12,4,1,4,0,9,48
Addison 028,1163,5,2,6,0,13,5,4,3,0,12,4,0,8,0,12,2,2,0,0,4,41
Addison 029,937,11,0,5,0,16,7,0,1,0,8,5,4,1,0,10,0,2,3,0,5,39
Addison 030,1169,10,6,30,0,46,9,0,12,0,21,10,7,11,0,28,9,1,7,0,17,112
Addison 031,1051,3,1,17,0,21,5,3,12,0,20,2,2,15,0,19,0,3,5,0,8,68
Addison 032,994,2,1,7,0,10,3,1,3,0,7,3,0,6,0,9,1,3,3,0,7,33
Addison 033,794,6,2,7,0,15,6,4,3,0,13,5,2,9,0,16,4,0,2,0,6,50
Addison 034,1019,3,5,26,0,34,10,0,6,0,16,5,5,9,0,19,5,0,7,0,12,81
Addison 035,1104,8,3,9,0,20,6,6,11,0,23,6,11,7,0,24,2,0,5,0,7,74
Addison 036,1235,3,4,4,0,11,2,6,6,0,14,3,3,6,0,12,0,3,3,0,6,43
Addison 037,814,3,2,4,0,9,2,0,5,0,7,3,0,5,0,8,1,2,3,0,6,30
Addison 038,872,3,3,25,0,31,7,3,5,0,15,8,2,4,0,14,5,1,3,0,9,69
Addison 039,1141,6,2,15,0,23,7,3,11,0,21,9,11,18,0,38,5,3,10,0,18,100
Addison 040,1138,5,5,19,0,29,5,3,13,0,21,5,1,12,0,18,2,4,5,0,11,79
Addison 041,878,5,0,9,0,14,4,2,12,0,18,1,2,8,0,11,4,0,4,0,8,51
Addison 042,1161,1,0,3,0,4,3,5,2,0,10,5,1,2,0,8,1,1,3,0,5,27
Addison 043,944,3,2,7,0,12,7,1,6,0,14,6,0,9,0,15,3,0,3,0,6,47
Addison 044,1059,8,4,14,0,26,6,1,15,0,22,6,4,8,0,18,13,0,3,0,16,82
Addison 045,1233,3,2,8,0,13,8,3,13,0,24,4,4,13,0,21,6,2,9,0,17,75
Addison 046,1215,6,3,25,0,34,3,5,6,0,14,3,2,18,0,23,2,0,4,0,6,77
Addison 047,1311,2,3,13,0,18,9,4,5,0,18,5,0,12,0,17,2,0,2,0,4,57
Addison 048,917,5,0,8,0,13,2,1,8,0,11,7,1,11,0,19,1,0,0,0,1,44
Addison 049,636,4,2,6,0,12,8,0,5,0,13,2,2,5,0,9,2,0,4,0,6,40
Addison 050,1014,3,4,12,0,19,8,6,7,0,21,3,9,9,0,21,4,3,8,0,15,76
Addison 051,1159,6,7,17,0,30,11,4,10,0,25,11,3,6,0,20,5,1,1,0,7,82
Addison 052,1283,9,3,9,0,21,3,3,5,0,11,9,6,10,0,25,3,2,6,0,11,68
Addison 053,1023,3,2,11,0,16,4,3,10,0,17,11,2,13,0,26,2,4,7,0,13,72
Bloomingdale 001,656,0,1,0,0,1,2,0,4,0,6,2,0,5,0,7,0,1,2,0,3,17
Bloomingdale 002,1093,4,0,13,0,17,4,3,5,0,12,4,2,15,0,21,1,1,0,0,2,52
Bloomingdale 003,1086,5,7,28,0,40,3,8,9,0,20,7,4,13,0,24,3,5,5,0,13,97
Bloomingdale 004,774,2,3,13,0,18,8,5,10,0,23,0,0,5,0,5,3,1,3,0,7,53
Bloomingdale 005,820,5,2,13,0,20,1,3,4,0,8,6,1,12,0,19,0,3,4,0,7,54
Bloomingdale 006,1067,3,2,18,0,23,2,3,15,0,20,12,2,28,0,42,2,0,3,0,5,90
Bloomingdale 007,754,0,1,4,0,5,3,0,3,0,6,8,0,4,0,12,7,0,2,0,9,32
Bloomingdale 008,787,0,2,4,0,6,0,0,6,0,6,1,0,2,0,3,0,0,2,0,2,17
Bloomingdale 009,1018,4,1,20,0,25,6,6,10,0,22,1,2,14,0,17,3,2,6,0,11,75
Bloomingdale 010,983,2,7,17,0,26,5,4,16,0,25,6,8,14,0,28,2,7,5,0,14,93
Bloomingdale 011,1186,5,4,22,0,31,12,0,16,0,28,6,10,18,0,34,5,3,7,0,15,108
Bloomingdale 012,974,3,0,12,0,15,8,5,6,0,19,5,2,12,0,19,2,0,3,0,5,58
Bloomingdale 013,1015,5,3,20,0,28,3,7,12,0,22,9,7,17,0,33,6,0,14,0,20,103
Bloomingdale 014,1053,6,2,18,0,26,3,3,6,0,12,1,1,8,0,10,5,1,4,0,10,58
Bloomingdale 015,1058,4,2,23,0,29,6,1,12,0,19,3,2,8,1,14,1,2,4,0,7,69
Bloomingdale 016,991,4,3,11,0,18,1,5,7,0,13,5,6,11,0,22,0,0,3,0,3,56
Bloomingdale 017,1146,4,5,30,0,39,7,9,13,0,29,4,4,22,0,30,1,0,10,0,11,109
Bloomingdale 018,1149,7,6,27,0,40,4,9,18,0,31,7,4,33,0,44,8,2,15,0,25,140
Bloomingdale 019,930,8,1,21,0,30,4,3,8,0,15,5,0,15,0,20,7,0,7,0,14,79
Bloomingdale 020,1077,11,2,50,0,63,7,0,21,0,28,4,4,21,0,29,9,3,10,0,22,142
