FOR REPRESENTATIVE IN CONGRESS EIGHTH CONGRESSIONAL DISTRICT ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEIL KHOT,,,,,YASMEEN BANKOLE,,,,,KEVIN B. MORRISON,,,,,DAN TULLY,,,,,RYAN VETTICAD,,,,,MELISSA L. BEAN,,,,,JUNAID AHMED,,,,,SANJYOT DUNUNG,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,2,0,6,0,8,4,4,5,0,13,8,1,3,0,12,10,11,11,0,32,3,0,4,0,7,20,15,27,0,62,5,7,8,0,20,0,1,1,0,2,156
Addison 002,1180,2,3,0,0,5,11,3,7,0,21,2,2,6,0,10,4,10,12,0,26,0,0,0,0,0,13,19,21,0,53,14,4,12,0,30,2,1,1,0,4,149
Addison 003,975,1,2,2,0,5,2,2,2,0,6,3,1,7,0,11,12,11,10,0,33,0,0,1,0,1,13,9,13,0,35,4,5,22,0,31,2,0,5,0,7,129
Addison 004,634,0,0,2,0,2,0,3,2,0,5,0,0,3,0,3,1,0,7,0,8,0,0,0,0,0,6,5,17,0,28,2,4,7,0,13,0,0,1,0,1,60
Addison 010,1022,6,2,1,0,9,9,0,6,0,15,3,0,4,0,7,5,16,18,0,39,1,1,2,0,4,13,16,24,0,53,18,0,13,0,31,2,1,2,0,5,163
Addison 011,1094,1,0,4,0,5,0,1,4,0,5,2,1,8,0,11,14,10,12,0,36,0,1,0,0,1,7,11,24,0,42,12,7,20,0,39,0,1,0,0,1,140
Addison 012,1249,0,2,2,0,4,2,3,3,0,8,1,6,5,0,12,11,5,9,0,25,0,1,1,0,2,13,12,27,0,52,8,11,26,0,45,2,0,2,0,4,152
Addison 013,1225,4,3,2,0,9,4,4,7,0,15,5,8,4,0,17,12,7,10,0,29,0,0,0,0,0,21,15,19,0,55,4,5,19,0,28,5,0,1,0,6,159
Addison 014,984,9,0,2,0,11,7,4,6,0,17,2,2,1,0,5,6,4,9,0,19,1,0,1,0,2,15,18,17,0,50,10,2,7,0,19,0,2,3,0,5,128
Addison 015,1119,2,1,1,0,4,3,5,5,0,13,5,7,10,0,22,5,4,4,0,13,0,0,1,0,1,13,12,20,0,45,12,9,16,0,37,3,3,3,0,9,144
Addison 021,751,4,5,6,0,15,2,1,4,0,7,2,0,1,0,3,6,4,2,0,12,0,0,0,0,0,11,4,14,0,29,16,11,11,0,38,1,0,1,0,2,106
Addison 022,985,2,0,5,0,7,3,3,4,0,10,1,0,4,0,5,4,4,7,0,15,0,0,4,0,4,8,20,12,0,40,10,7,9,0,26,4,2,1,0,7,114
Addison 023,843,0,4,2,0,6,2,1,6,0,9,4,3,4,0,11,3,2,6,0,11,0,0,0,0,0,9,13,10,0,32,8,7,4,0,19,0,0,4,0,4,92
Addison 024,827,3,2,5,0,10,3,0,5,0,8,8,4,5,0,17,9,1,6,0,16,0,0,0,0,0,13,5,8,0,26,4,2,3,0,9,1,0,1,0,2,88
Addison 025,798,0,1,0,0,1,3,1,3,0,7,4,3,0,0,7,2,5,4,0,11,0,0,0,0,0,6,13,25,0,44,0,5,14,0,19,0,0,1,0,1,90
Addison 026,697,1,1,5,0,7,2,5,1,0,8,1,1,1,0,3,2,9,1,0,12,0,0,1,0,1,7,8,10,0,25,6,5,7,0,18,1,0,0,0,1,75
Addison 033,794,2,0,0,0,2,5,3,2,0,10,6,7,4,0,17,2,10,4,0,16,0,1,1,0,2,7,4,13,0,24,9,7,12,0,28,0,2,0,0,2,101
Bloomingdale 001,656,0,0,2,0,2,7,8,18,0,33,0,1,0,0,1,2,3,0,0,5,0,0,0,0,0,3,4,11,0,18,7,4,5,0,16,0,1,0,0,1,76
Bloomingdale 002,1093,1,2,5,0,8,12,11,11,0,34,1,1,4,0,6,6,13,5,0,24,0,1,0,0,1,15,24,25,0,64,8,14,15,0,37,1,1,2,0,4,178
Bloomingdale 003,1086,2,2,1,0,5,5,2,11,0,18,6,3,1,0,10,8,7,16,0,31,0,1,0,0,1,8,19,17,0,44,14,13,20,0,47,2,1,0,0,3,159
Bloomingdale 004,774,1,2,3,0,6,5,5,11,0,21,1,1,5,0,7,9,10,6,0,25,0,0,0,0,0,10,10,23,0,43,8,6,23,0,37,2,0,0,0,2,141
Bloomingdale 005,820,3,1,3,0,7,4,3,5,0,12,4,3,2,0,9,2,3,6,0,11,0,0,2,0,2,10,18,14,0,42,15,9,19,0,43,2,1,1,0,4,130
Bloomingdale 006,1067,2,0,5,0,7,3,2,3,0,8,3,5,1,0,9,7,6,7,0,20,0,0,0,0,0,8,15,27,0,50,9,5,30,0,44,0,1,5,0,6,144
Bloomingdale 007,754,2,1,3,0,6,10,9,19,0,38,1,3,2,0,6,1,5,2,0,8,0,2,1,0,3,9,9,9,0,27,4,5,15,0,24,1,0,2,0,3,115
