FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,1,0,1,0,2,6,1,2,0,9,8,4,14,0,26,39,33,49,0,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
Addison 002,1180,1,0,4,0,5,4,0,2,0,6,10,6,21,0,37,29,32,32,0,93,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,2,0,0,0,2,0,2,0,0,2,1,2,0,0,3,0,0,0,0,0,151
Addison 003,975,2,1,6,0,9,2,3,4,0,9,8,5,20,0,33,24,20,32,0,76,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,130
Addison 004,634,0,1,2,0,3,0,0,6,0,6,3,6,9,0,18,7,5,25,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Addison 005,528,1,0,2,0,3,0,0,4,0,4,4,3,17,0,24,9,10,12,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,64
Addison 006,933,1,0,6,0,7,1,1,18,0,20,17,7,30,0,54,9,13,20,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,1,0,2,0,0,0,0,0,128
Addison 007,1021,1,1,2,0,4,2,4,9,0,15,3,3,40,0,46,17,22,34,0,73,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,142
Addison 008,846,1,2,1,0,4,1,1,6,0,8,8,3,16,0,27,25,16,18,0,59,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,103
Addison 009,1038,4,0,1,0,5,0,2,5,0,7,7,9,26,0,42,21,12,11,0,44,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,0,3,0,0,1,0,1,0,0,0,0,0,105
Addison 010,1022,4,4,1,0,9,1,3,7,0,11,20,5,17,0,42,29,24,45,0,98,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,166
Addison 011,1094,3,3,6,0,12,1,0,4,0,5,14,6,23,0,43,15,22,36,0,73,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,137
Addison 012,1249,0,1,8,0,9,2,4,4,0,10,9,9,30,0,48,24,23,28,0,75,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,151
Addison 013,1225,0,7,4,0,11,3,2,14,0,19,6,7,25,0,38,47,26,21,0,94,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Addison 014,984,2,0,0,0,2,2,3,6,0,11,13,6,13,0,32,31,24,27,0,82,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,131
