FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 001,1083,6,1,8,0,15,3,1,9,0,13,2,3,10,0,15,0,0,4,0,4,0,0,2,0,2,5,2,13,0,20,69
Addison 002,1180,6,2,8,0,16,4,8,11,0,23,5,0,10,0,15,3,0,0,0,3,0,0,1,0,1,9,3,10,0,22,80
Addison 003,975,3,0,7,0,10,8,4,11,0,23,3,2,7,0,12,2,0,7,0,9,0,2,1,0,3,6,2,19,0,27,84
Addison 004,634,2,1,7,0,10,1,1,7,0,9,2,0,4,0,6,1,0,1,0,2,0,0,0,0,0,8,1,11,0,20,47
Addison 005,528,1,0,6,0,7,0,1,3,0,4,1,0,2,0,3,1,1,2,0,4,0,0,1,0,1,1,0,1,0,2,21
Addison 006,933,1,0,8,0,9,1,4,3,0,8,3,0,2,0,5,0,2,2,0,4,0,0,2,0,2,2,3,4,0,9,37
Addison 007,1021,1,3,17,0,21,6,3,13,0,22,3,2,6,0,11,2,0,2,0,4,0,0,2,0,2,5,3,10,0,18,78
Addison 008,846,3,1,8,0,12,4,1,5,0,10,0,0,2,0,2,0,0,2,0,2,2,2,2,0,6,0,0,9,0,9,41
Addison 009,1038,2,6,4,0,12,4,1,4,0,9,1,1,1,0,3,1,1,0,0,2,0,0,1,0,1,4,2,1,0,7,34
Addison 010,1022,4,0,11,0,15,6,2,6,0,14,1,1,12,0,14,3,3,2,0,8,3,0,1,0,4,8,2,10,0,20,75
Addison 011,1094,7,2,10,0,19,8,5,11,0,24,4,0,5,0,9,1,2,3,0,6,2,0,0,0,2,7,1,15,0,23,83
Addison 012,1249,8,1,11,0,20,5,0,10,0,15,3,0,10,0,13,3,0,2,0,5,2,0,4,0,6,7,2,7,0,16,75
Addison 013,1225,4,1,13,0,18,6,2,2,0,10,8,1,9,0,18,1,2,3,0,6,0,0,0,0,0,12,4,12,0,28,80
Addison 014,984,10,3,6,0,19,3,2,16,0,21,4,1,10,0,15,3,0,2,0,5,1,0,2,0,3,11,0,8,0,19,82
Addison 015,1119,10,2,13,0,25,8,3,6,0,17,7,2,11,0,20,4,0,5,0,9,0,1,1,0,2,10,4,18,1,33,106
Addison 016,1151,4,2,6,0,12,9,10,6,0,25,10,6,12,0,28,3,1,5,0,9,0,0,1,0,1,8,6,17,0,31,106
Addison 017,840,1,1,4,0,6,3,0,14,0,17,1,0,6,0,7,0,3,1,0,4,1,0,0,0,1,2,1,10,0,13,48
Addison 018,1049,3,1,10,0,14,3,4,7,0,14,2,2,5,0,9,2,0,3,0,5,0,0,0,0,0,0,1,6,0,7,49
Addison 019,945,0,0,11,0,11,3,1,6,0,10,6,0,3,0,9,1,0,3,0,4,0,0,2,0,2,6,0,11,0,17,53
Addison 020,1058,0,4,3,0,7,1,1,2,0,4,0,2,5,0,7,2,3,2,0,7,0,0,2,0,2,3,3,4,0,10,37
Addison 021,751,2,3,2,0,7,6,5,7,0,18,4,0,5,0,9,0,1,3,0,4,0,0,1,0,1,6,0,14,0,20,59
Addison 022,985,1,1,9,0,11,4,4,17,0,25,6,1,10,0,17,3,0,4,0,7,0,0,2,0,2,7,3,13,0,23,85
Addison 023,843,2,2,3,0,7,10,4,11,0,25,4,3,9,0,16,4,0,1,0,5,0,0,1,0,1,3,1,9,0,13,67
