JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 01,1,1,6,1,4,0,11
CITY OF CHICAGO:WARD 01 PRECINCT 02,1,2,6,2,2,1,11
CITY OF CHICAGO:WARD 01 PRECINCT 03,1,3,4,0,3,1,8
CITY OF CHICAGO:WARD 01 PRECINCT 04,1,4,1,1,3,0,5
CITY OF CHICAGO:WARD 01 PRECINCT 05,1,5,7,0,0,0,7
CITY OF CHICAGO:WARD 01 PRECINCT 06,1,6,5,0,4,2,11
CITY OF CHICAGO:WARD 01 PRECINCT 07,1,7,7,0,2,0,9
CITY OF CHICAGO:WARD 01 PRECINCT 08,1,8,9,1,4,1,15
CITY OF CHICAGO:WARD 01 PRECINCT 09,1,9,8,1,3,0,12
CITY OF CHICAGO:WARD 01 PRECINCT 10,1,10,13,3,7,2,25
CITY OF CHICAGO:WARD 01 PRECINCT 11,1,11,4,2,3,1,10
CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,6,0,2,1,9
CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,5,0,4,0,9
CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,8,0,3,0,11
CITY OF CHICAGO:WARD 01 PRECINCT 15,1,15,9,2,7,1,19
CITY OF CHICAGO:WARD 01 PRECINCT 16,1,16,8,1,2,2,13
CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,0,0,2,0,2
CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,1,1,2,2,6
CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,8,0,2,1,11
CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,4,0,2,0,6
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,12,0,5,0,17
CITY OF CHICAGO:WARD 01 PRECINCT 22,1,22,4,0,3,2,9
CITY OF CHICAGO:WARD 01 PRECINCT 23,1,23,2,1,1,0,4
CITY OF CHICAGO:WARD 01 PRECINCT 24,1,24,7,1,5,3,16
CITY OF CHICAGO:WARD 01 PRECINCT 25,1,25,9,0,6,1,16
CITY OF CHICAGO:WARD 01 PRECINCT 26,1,26,12,4,8,2,26
CITY OF CHICAGO:WARD 02 PRECINCT 01,2,1,17,3,16,4,40
CITY OF CHICAGO:WARD 02 PRECINCT 02,2,2,33,5,9,4,51
CITY OF CHICAGO:WARD 02 PRECINCT 03,2,3,8,1,5,2,16
CITY OF CHICAGO:WARD 02 PRECINCT 04,2,4,11,1,10,0,22
CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,21,5,9,2,37
CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,13,2,9,6,30
CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,33,3,9,7,52
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,21,0,11,5,37
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,29,2,12,5,48
CITY OF CHICAGO:WARD 02 PRECINCT 10,2,10,6,1,5,2,14
CITY OF CHICAGO:WARD 02 PRECINCT 11,2,11,11,2,3,0,16
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,20,1,8,4,33
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,13,5,7,0,25
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,13,2,3,2,20
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,22,5,18,1,46
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,28,0,11,1,40
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,28,4,9,1,42
CITY OF CHICAGO:WARD 02 PRECINCT 18,2,18,12,3,5,1,21
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,6,1,6,2,15
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,16,0,13,6,35
CITY OF CHICAGO:WARD 02 PRECINCT 21,2,21,4,0,1,1,6
CITY OF CHICAGO:WARD 02 PRECINCT 22,2,22,13,3,3,1,20
