JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,52,3,36,37,128
COOK:7000002,COOK:Barrington Precinct 2,36,2,12,27,77
COOK:7000003,COOK:Barrington Precinct 3,39,9,22,32,102
COOK:7000004,COOK:Barrington Precinct 4,50,7,28,112,197
COOK:7000005,COOK:Barrington Precinct 5,45,2,18,92,157
COOK:7000006,COOK:Barrington Precinct 6,45,2,24,42,113
COOK:7000007,COOK:Barrington Precinct 7,11,0,4,13,28
COOK:7000008,COOK:Barrington Precinct 8,52,9,31,84,176
COOK:7000009,COOK:Barrington Precinct 9,10,5,11,37,63
COOK:7000010,COOK:Barrington Precinct 10,30,7,22,24,83
COOK:7000011,COOK:Barrington Precinct 11,21,4,25,60,110
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,4,1,10,2,17
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,10,3,5,1,19
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,9,5,7,6,27
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,22,1,11,6,40
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,6,2,11,2,21
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,3,2,8,4,17
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,12,3,8,6,29
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,10,7,6,4,27
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,16,5,8,4,33
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,13,2,5,2,22
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,11,4,6,6,27
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,10,1,2,2,15
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,5,5,8,1,19
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,10,3,5,1,19
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,7,0,5,1,13
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,3,0,6,1,10
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,10,1,7,1,19
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,1,4,3,1,9
