JoinField,Ted Dabrowski,James Mendrick,Darren Bailey,Rick Heidner,Total Voters
DUPAGE:ADDISON 001,21,17,29,6,73
DUPAGE:ADDISON 002,33,10,28,12,83
DUPAGE:ADDISON 003,32,20,27,12,91
DUPAGE:ADDISON 004,13,18,12,4,47
DUPAGE:ADDISON 005,7,5,7,2,21
DUPAGE:ADDISON 006,15,7,15,2,39
DUPAGE:ADDISON 007,30,14,19,15,78
DUPAGE:ADDISON 008,12,10,11,8,41
DUPAGE:ADDISON 009,15,5,9,6,35
DUPAGE:ADDISON 010,28,15,24,11,78
DUPAGE:ADDISON 011,36,9,26,15,86
DUPAGE:ADDISON 012,30,13,29,5,77
DUPAGE:ADDISON 013,23,23,25,9,80
DUPAGE:ADDISON 014,33,16,27,9,85
DUPAGE:ADDISON 015,37,21,34,14,106
DUPAGE:ADDISON 016,33,23,29,20,105
DUPAGE:ADDISON 017,12,15,17,5,49
DUPAGE:ADDISON 018,23,6,16,4,49
DUPAGE:ADDISON 019,20,8,17,9,54
DUPAGE:ADDISON 020,10,5,17,3,35
DUPAGE:ADDISON 021,19,15,19,9,62
DUPAGE:ADDISON 022,27,16,27,15,85
DUPAGE:ADDISON 023,19,17,22,9,67
DUPAGE:ADDISON 024,19,18,25,17,79
DUPAGE:ADDISON 025,27,23,22,10,82
DUPAGE:ADDISON 026,17,11,26,2,56
DUPAGE:ADDISON 027,11,16,12,9,48
DUPAGE:ADDISON 028,13,12,12,4,41
DUPAGE:ADDISON 029,16,8,10,5,39
DUPAGE:ADDISON 030,46,21,28,17,112
DUPAGE:ADDISON 031,21,20,19,8,68
DUPAGE:ADDISON 032,10,7,9,7,33
DUPAGE:ADDISON 033,15,13,16,6,50
DUPAGE:ADDISON 034,34,16,19,12,81
DUPAGE:ADDISON 035,20,23,24,7,74
DUPAGE:ADDISON 036,11,14,12,6,43
DUPAGE:ADDISON 037,9,7,8,6,30
DUPAGE:ADDISON 038,31,15,14,9,69
DUPAGE:ADDISON 039,23,21,38,18,100
DUPAGE:ADDISON 040,29,21,18,11,79
DUPAGE:ADDISON 041,14,18,11,8,51
DUPAGE:ADDISON 042,4,10,8,5,27
DUPAGE:ADDISON 043,12,14,15,6,47
DUPAGE:ADDISON 044,26,22,18,16,82
DUPAGE:ADDISON 045,13,24,21,17,75
DUPAGE:ADDISON 046,34,14,23,6,77
DUPAGE:ADDISON 047,18,18,17,4,57
DUPAGE:ADDISON 048,13,11,19,1,44
DUPAGE:ADDISON 049,12,13,9,6,40
DUPAGE:ADDISON 050,19,21,21,15,76
DUPAGE:ADDISON 051,30,25,20,7,82
DUPAGE:ADDISON 052,21,11,25,11,68
DUPAGE:ADDISON 053,16,17,26,13,72
DUPAGE:BLOOMINGDALE 001,1,6,7,3,17
DUPAGE:BLOOMINGDALE 002,17,12,21,2,52
