JoinField,Ted Dabrowski / Carrie Mendoza,James Mendrick / Robert Renteria,Darren Bailey / Aaron B. Del Mar,Rick Heidner / Christina Neitzke-Troike,Total Voters
LAKE:ANTIOCH 1,26,9,36,6,77
LAKE:ANTIOCH 2,16,9,32,9,66
LAKE:ANTIOCH 3,29,12,33,3,77
LAKE:ANTIOCH 4,22,3,21,11,57
LAKE:ANTIOCH 5,31,4,18,4,57
LAKE:ANTIOCH 6,26,6,17,4,53
LAKE:ANTIOCH 7,35,3,27,3,68
LAKE:ANTIOCH 8,25,2,22,2,51
LAKE:ANTIOCH 9,23,4,28,8,63
LAKE:ANTIOCH 10,16,3,15,3,37
LAKE:ANTIOCH 11,32,7,20,8,67
LAKE:ANTIOCH 12,27,6,36,6,75
LAKE:ANTIOCH 13,22,1,21,4,48
LAKE:ANTIOCH 14,33,6,30,1,70
LAKE:ANTIOCH 15,51,14,32,10,107
LAKE:ANTIOCH 16,31,10,20,6,67
LAKE:ANTIOCH 17,32,10,40,9,91
LAKE:ANTIOCH 18,26,3,24,2,55
LAKE:ANTIOCH 19,17,6,24,4,51
LAKE:AVON 20,11,4,16,6,37
LAKE:AVON 21,8,2,8,2,20
LAKE:AVON 22,21,2,12,4,39
LAKE:AVON 23,14,3,25,5,47
LAKE:AVON 24,16,2,18,3,39
LAKE:AVON 25,27,9,28,11,75
LAKE:AVON 26,33,0,9,1,43
LAKE:AVON 27,11,1,15,5,32
LAKE:AVON 28,19,6,7,2,34
LAKE:AVON 29,10,2,18,2,32
LAKE:AVON 30,7,2,18,8,35
LAKE:AVON 31,6,1,14,9,30
LAKE:AVON 32,19,4,20,8,51
LAKE:AVON 33,11,3,19,5,38
LAKE:AVON 34,12,4,8,8,32
LAKE:AVON 35,25,3,17,5,50
LAKE:AVON 36,5,5,12,1,23
LAKE:AVON 37,19,1,9,0,29
LAKE:AVON 38,14,3,14,5,36
LAKE:AVON 39,11,2,11,9,33
LAKE:AVON 40,20,3,12,8,43
LAKE:AVON 41,7,1,13,4,25
LAKE:AVON 42,18,2,5,2,27
LAKE:AVON 43,17,3,17,5,42
LAKE:AVON 44,38,2,8,3,51
LAKE:AVON 45,24,3,14,2,43
LAKE:AVON 46,22,5,19,2,48
LAKE:AVON 47,26,4,24,2,56
LAKE:AVON 48,33,4,33,7,77
LAKE:AVON 49,20,2,15,8,45
LAKE:AVON 50,17,4,14,2,37
LAKE:AVON 51,32,2,13,8,55
LAKE:AVON 52,14,2,12,5,33
LAKE:BENTON 53,27,10,26,5,68
LAKE:BENTON 54,27,6,28,7,68
LAKE:BENTON 55,23,3,43,9,78
LAKE:BENTON 56,13,4,33,4,54
LAKE:BENTON 57,20,7,21,12,60
LAKE:BENTON 58,25,7,29,6,67
LAKE:BENTON 59,8,2,17,4,31
LAKE:BENTON 60,20,4,24,3,51
LAKE:BENTON 61,8,1,12,2,23
LAKE:BENTON 62,5,5,15,9,34
LAKE:BENTON 63,28,1,26,5,60
LAKE:BENTON 64,5,3,16,2,26
LAKE:BENTON 65,7,2,9,1,19
LAKE:CUBA 66,39,2,20,5,66
LAKE:CUBA 67,41,6,19,30,96
LAKE:CUBA 68,52,1,28,24,105
LAKE:CUBA 69,36,6,35,39,116
LAKE:CUBA 70,36,7,38,28,109
LAKE:CUBA 71,41,3,23,19,86
LAKE:CUBA 72,31,8,24,19,82
LAKE:CUBA 73,35,3,18,29,85
LAKE:CUBA 74,50,2,20,20,92
LAKE:CUBA 75,42,4,20,24,90
LAKE:CUBA 76,33,0,24,45,102
LAKE:CUBA 77,28,1,12,22,63
LAKE:CUBA 78,26,5,29,48,108
LAKE:ELA 79,47,2,37,11,97
LAKE:ELA 80,37,1,25,14,77
LAKE:ELA 81,31,1,16,15,63
LAKE:ELA 82,40,3,16,4,63
LAKE:ELA 83,28,4,20,4,56
LAKE:ELA 84,24,3,31,11,69
LAKE:ELA 85,73,11,14,10,108
LAKE:ELA 86,28,5,28,10,71
LAKE:ELA 87,42,1,22,6,71
LAKE:ELA 88,44,2,52,9,107
LAKE:ELA 89,30,7,14,11,62
LAKE:ELA 90,23,4,15,4,46
LAKE:ELA 91,39,1,33,11,84
LAKE:ELA 92,23,6,26,9,64
LAKE:ELA 93,26,1,16,6,49
LAKE:ELA 94,36,0,26,11,73
LAKE:ELA 95,25,5,12,7,49
LAKE:ELA 96,22,6,14,10,52
LAKE:ELA 97,15,4,15,5,39
LAKE:ELA 98,24,0,6,9,39
LAKE:ELA 99,35,1,30,6,72
LAKE:ELA 100,16,5,10,7,38
LAKE:ELA 101,36,2,19,9,66
LAKE:ELA 102,36,4,27,27,94
LAKE:ELA 103,29,0,21,28,78
LAKE:ELA 104,30,5,25,18,78
LAKE:ELA 105,37,1,31,14,83
LAKE:ELA 106,36,4,34,17,91
LAKE:ELA 107,47,1,12,6,66
LAKE:FREMONT 108,12,2,20,4,38
LAKE:FREMONT 109,13,4,7,7,31
LAKE:FREMONT 110,53,9,36,2,100
LAKE:FREMONT 111,34,8,58,18,118
LAKE:FREMONT 112,29,0,13,3,45
LAKE:FREMONT 113,20,5,18,5,48
LAKE:FREMONT 114,25,3,26,8,62
LAKE:FREMONT 115,24,3,33,4,64
LAKE:FREMONT 116,32,4,18,4,58
LAKE:FREMONT 117,38,5,30,4,77
LAKE:FREMONT 118,32,5,16,13,66
LAKE:FREMONT 119,25,4,25,6,60
LAKE:FREMONT 120,22,8,15,5,50
LAKE:FREMONT 121,22,1,10,8,41
LAKE:FREMONT 122,34,6,22,4,66
LAKE:FREMONT 123,17,5,11,5,38
LAKE:FREMONT 124,22,6,21,3,52
LAKE:FREMONT 125,29,2,16,0,47
LAKE:FREMONT 126,16,2,16,4,38
LAKE:FREMONT 127,19,2,8,9,38
