JoinField,Ted Dabrowski,James Mendrick,Darren Bailey,Rick Heidner,WRITE-IN,Total Voters
MCHENRY:ALD 1,37,17,75,14,1,144
MCHENRY:ALG 1,64,3,14,4,0,85
MCHENRY:ALG 10,7,2,14,4,0,27
MCHENRY:ALG 11,46,3,25,5,0,79
MCHENRY:ALG 12,22,6,11,2,0,41
MCHENRY:ALG 13,33,2,13,5,1,54
MCHENRY:ALG 14,39,7,19,10,0,75
MCHENRY:ALG 15,33,5,16,10,0,64
MCHENRY:ALG 16,13,4,9,9,0,35
MCHENRY:ALG 17,15,6,22,10,0,53
MCHENRY:ALG 18,29,2,24,9,0,64
MCHENRY:ALG 19,28,10,17,3,0,58
MCHENRY:ALG 2,28,1,20,7,0,56
MCHENRY:ALG 20,29,6,28,5,0,68
MCHENRY:ALG 21,28,22,32,12,0,94
MCHENRY:ALG 22,36,6,18,5,0,65
MCHENRY:ALG 23,9,4,22,9,0,44
MCHENRY:ALG 24,7,12,12,9,0,40
MCHENRY:ALG 25,15,6,12,7,0,40
MCHENRY:ALG 26,28,18,16,4,1,67
MCHENRY:ALG 27,15,7,22,6,0,50
MCHENRY:ALG 28,24,4,15,5,0,48
MCHENRY:ALG 29,13,8,17,9,0,47
MCHENRY:ALG 3,38,3,16,6,0,63
MCHENRY:ALG 30,15,4,12,5,0,36
MCHENRY:ALG 31,12,4,13,6,0,35
MCHENRY:ALG 32,28,8,24,5,0,65
MCHENRY:ALG 33,39,9,16,6,0,70
MCHENRY:ALG 34,19,4,27,9,0,59
MCHENRY:ALG 35,22,5,14,5,0,46
MCHENRY:ALG 36,19,5,21,8,0,53
MCHENRY:ALG 37,38,4,23,2,0,67
MCHENRY:ALG 38,22,5,19,14,0,60
MCHENRY:ALG 39,23,8,31,9,0,71
MCHENRY:ALG 4,19,6,24,7,0,56
MCHENRY:ALG 40,27,4,22,1,0,54
MCHENRY:ALG 41,25,3,26,7,0,61
MCHENRY:ALG 42,15,8,20,13,0,56
MCHENRY:ALG 43,12,7,22,4,0,45
MCHENRY:ALG 44,26,9,29,9,0,73
MCHENRY:ALG 45,36,6,29,13,0,84
MCHENRY:ALG 46,26,7,27,10,0,70
MCHENRY:ALG 47,23,7,13,8,0,51
MCHENRY:ALG 48,22,2,32,8,0,64
MCHENRY:ALG 49,22,6,22,8,0,58
MCHENRY:ALG 5,16,1,15,8,0,40
MCHENRY:ALG 50,22,7,26,8,1,64
MCHENRY:ALG 51,39,2,14,5,0,60
MCHENRY:ALG 52,19,8,17,13,0,57
MCHENRY:ALG 53,45,3,55,5,0,108
MCHENRY:ALG 54,19,3,27,10,0,59
MCHENRY:ALG 55,34,5,27,8,0,74
MCHENRY:ALG 56,29,5,32,4,0,70
MCHENRY:ALG 57,23,4,19,8,1,55
MCHENRY:ALG 58,25,6,15,8,0,54
MCHENRY:ALG 59,35,5,34,14,0,88
MCHENRY:ALG 6,19,10,22,5,0,56
MCHENRY:ALG 60,42,2,13,46,0,103
MCHENRY:ALG 61,17,4,17,12,0,50
MCHENRY:ALG 62,40,8,35,21,0,104
MCHENRY:ALG 63,24,5,26,9,0,64
MCHENRY:ALG 7,22,5,18,11,0,56
MCHENRY:ALG 8,38,6,26,4,0,74
MCHENRY:ALG 9,25,2,23,10,0,60
MCHENRY:BUR 1,33,5,43,6,0,87
MCHENRY:BUR 2,30,5,23,4,0,62
MCHENRY:BUR 3,24,6,36,10,0,76
MCHENRY:BUR 4,29,8,32,8,0,77
MCHENRY:CHE 1,10,10,35,11,0,66
MCHENRY:CHE 2,21,7,21,6,0,55
MCHENRY:CHE 3,20,6,17,8,0,51
MCHENRY:CHE 4,17,12,31,11,0,71
MCHENRY:CHE 5,25,15,38,12,0,90
MCHENRY:COR 1,53,16,52,12,0,133
MCHENRY:COR 2,45,11,49,10,0,115
MCHENRY:COR 3,27,17,38,9,0,91
MCHENRY:DOR 1,14,7,18,7,0,46
MCHENRY:DOR 10,10,3,21,6,0,40
MCHENRY:DOR 11,18,6,18,15,0,57
MCHENRY:DOR 12,29,7,34,6,0,76
MCHENRY:DOR 13,32,4,38,13,0,87
MCHENRY:DOR 14,16,5,16,11,0,48
MCHENRY:DOR 2,18,5,20,8,0,51
MCHENRY:DOR 3,12,6,39,8,0,65
MCHENRY:DOR 4,22,7,33,9,0,71
MCHENRY:DOR 5,36,6,31,7,3,83
MCHENRY:DOR 6,18,6,33,5,0,62
MCHENRY:DOR 7,18,7,23,4,0,52
MCHENRY:DOR 8,26,8,27,4,0,65
MCHENRY:DOR 9,28,5,35,11,1,80
MCHENRY:DUN 1,7,3,15,9,0,34
MCHENRY:DUN 2,31,8,46,18,1,104
MCHENRY:GRA 1,28,10,21,6,0,65
MCHENRY:GRA 10,23,4,15,6,1,49
MCHENRY:GRA 11,17,4,10,3,0,34
MCHENRY:GRA 12,24,1,16,5,0,46
MCHENRY:GRA 13,23,4,26,6,0,59
MCHENRY:GRA 14,49,4,14,9,0,76
MCHENRY:GRA 15,34,7,39,6,0,86
MCHENRY:GRA 16,13,8,7,1,0,29
MCHENRY:GRA 17,17,8,17,10,0,52
MCHENRY:GRA 18,15,6,26,8,0,55
MCHENRY:GRA 19,16,2,20,5,0,43
MCHENRY:GRA 2,41,8,40,9,0,98
MCHENRY:GRA 20,14,2,24,4,0,44
MCHENRY:GRA 21,23,5,20,8,0,56
MCHENRY:GRA 22,14,10,11,9,0,44
MCHENRY:GRA 23,20,2,20,4,0,46
MCHENRY:GRA 24,20,6,15,3,0,44
MCHENRY:GRA 25,11,1,13,0,0,25
MCHENRY:GRA 26,48,10,51,18,2,129
MCHENRY:GRA 27,22,10,45,12,0,89
MCHENRY:GRA 28,21,3,22,10,0,56
MCHENRY:GRA 29,27,9,22,6,0,64
MCHENRY:GRA 3,30,13,35,11,0,89
MCHENRY:GRA 30,27,6,30,14,0,77
MCHENRY:GRA 31,20,8,28,5,0,61
MCHENRY:GRA 32,17,3,19,8,0,47
