JoinField,Ted Dabrowski,James Mendrick,Darren Bailey,Rick Heidner,Total Voters
WILL:CHANNAHON PCT 001,49,11,69,17,146
WILL:CHANNAHON PCT 002,56,9,79,13,157
WILL:CHANNAHON PCT 003,50,16,76,13,155
WILL:CHANNAHON PCT 004,44,15,66,11,136
WILL:CHANNAHON PCT 005,32,7,70,9,118
WILL:CRETE PCT 001,19,8,25,3,55
WILL:CRETE PCT 002,20,6,34,6,66
WILL:CRETE PCT 003,26,6,26,6,64
WILL:CRETE PCT 004,15,3,26,5,49
WILL:CRETE PCT 005,23,4,8,1,36
WILL:CRETE PCT 006,42,5,42,11,100
WILL:CRETE PCT 007,24,5,11,5,45
WILL:CRETE PCT 008,32,6,49,10,97
WILL:CRETE PCT 009,36,7,37,8,88
WILL:CRETE PCT 010,25,8,31,6,70
WILL:CRETE PCT 011,37,8,49,12,106
WILL:CRETE PCT 012,33,16,44,7,100
WILL:CUSTER PCT 001,40,11,81,13,145
WILL:DUPAGE PCT 001,50,25,42,14,131
WILL:DUPAGE PCT 002,49,13,38,15,115
WILL:DUPAGE PCT 003,74,21,49,12,156
WILL:DUPAGE PCT 004,27,8,19,5,59
WILL:DUPAGE PCT 005,30,10,22,3,65
WILL:DUPAGE PCT 006,16,14,23,5,58
WILL:DUPAGE PCT 007,53,16,41,15,125
WILL:DUPAGE PCT 008,17,11,19,3,50
WILL:DUPAGE PCT 009,16,5,23,3,47
WILL:DUPAGE PCT 010,15,5,13,7,40
WILL:DUPAGE PCT 011,14,7,17,8,46
WILL:DUPAGE PCT 012,29,6,31,3,69
WILL:DUPAGE PCT 013,18,13,10,2,43
WILL:DUPAGE PCT 014,23,4,38,10,75
WILL:DUPAGE PCT 015,30,15,27,15,87
WILL:DUPAGE PCT 016,34,8,17,12,71
WILL:DUPAGE PCT 017,17,6,23,3,49
WILL:DUPAGE PCT 018,20,6,20,10,56
WILL:DUPAGE PCT 019,19,11,26,5,61
WILL:DUPAGE PCT 020,12,4,19,5,40
WILL:DUPAGE PCT 021,26,11,32,8,77
WILL:DUPAGE PCT 022,28,13,49,6,96
WILL:DUPAGE PCT 023,14,5,23,3,45
WILL:DUPAGE PCT 024,19,9,23,3,54
WILL:DUPAGE PCT 025,8,5,10,1,24
WILL:DUPAGE PCT 026,13,11,15,5,44
WILL:DUPAGE PCT 027,12,5,23,3,43
WILL:DUPAGE PCT 028,9,10,13,4,36
WILL:DUPAGE PCT 029,23,7,19,5,54
WILL:DUPAGE PCT 030,18,5,10,4,37
WILL:DUPAGE PCT 031,25,5,17,3,50
WILL:DUPAGE PCT 032,14,16,42,12,84
WILL:DUPAGE PCT 033,25,8,35,3,71
WILL:DUPAGE PCT 034,66,12,42,17,137
WILL:DUPAGE PCT 035,11,4,10,3,28
WILL:DUPAGE PCT 036,24,20,51,7,102
WILL:DUPAGE PCT 037,23,10,30,7,70
WILL:FLORENCE PCT 001,13,3,55,5,76
WILL:FRANKFORT PCT 001,78,16,76,44,214
WILL:FRANKFORT PCT 002,51,10,68,25,154
WILL:FRANKFORT PCT 003,37,5,38,24,104
WILL:FRANKFORT PCT 004,31,8,29,15,83
WILL:FRANKFORT PCT 005,84,14,76,23,197
WILL:FRANKFORT PCT 006,55,10,55,22,142
WILL:FRANKFORT PCT 007,56,10,59,27,152
WILL:FRANKFORT PCT 008,28,9,44,16,97
WILL:FRANKFORT PCT 009,39,4,33,14,90
WILL:FRANKFORT PCT 010,32,11,25,15,83
WILL:FRANKFORT PCT 011,45,12,41,12,110
WILL:FRANKFORT PCT 012,45,8,63,22,138
WILL:FRANKFORT PCT 013,51,13,43,21,128
WILL:FRANKFORT PCT 014,46,15,60,18,139
WILL:FRANKFORT PCT 015,46,26,53,24,149
WILL:FRANKFORT PCT 016,45,12,45,16,118
WILL:FRANKFORT PCT 017,93,18,81,40,232
WILL:FRANKFORT PCT 018,81,10,75,11,177
WILL:FRANKFORT PCT 019,41,12,47,17,117
WILL:FRANKFORT PCT 020,38,16,52,13,119
WILL:FRANKFORT PCT 021,72,13,68,22,175
WILL:FRANKFORT PCT 022,52,10,67,20,149
WILL:FRANKFORT PCT 023,56,18,36,17,127
WILL:FRANKFORT PCT 024,26,12,18,13,69
WILL:FRANKFORT PCT 025,51,10,49,15,125
WILL:FRANKFORT PCT 026,55,7,42,9,113
WILL:FRANKFORT PCT 027,41,15,38,22,116
WILL:FRANKFORT PCT 028,46,17,78,20,161
WILL:GREEN GARDEN PCT 001,78,16,76,28,198
WILL:GREEN GARDEN PCT 002,88,10,99,25,222
WILL:HOMER PCT 001,45,8,76,9,138
WILL:HOMER PCT 002,103,11,76,51,241
WILL:HOMER PCT 003,55,11,37,35,138
WILL:HOMER PCT 004,80,20,75,74,249
WILL:HOMER PCT 005,51,11,35,61,158
WILL:HOMER PCT 006,57,11,63,32,163
WILL:HOMER PCT 007,61,22,63,56,202
WILL:HOMER PCT 008,67,15,60,55,197
WILL:HOMER PCT 009,61,1,59,28,149
WILL:HOMER PCT 010,36,11,39,49,135
WILL:HOMER PCT 011,64,12,83,44,203
WILL:HOMER PCT 012,71,23,55,52,201
WILL:HOMER PCT 013,50,15,55,14,134
WILL:HOMER PCT 014,68,17,52,52,189
WILL:HOMER PCT 015,42,8,73,31,154
WILL:HOMER PCT 016,81,7,91,24,203
WILL:HOMER PCT 017,75,5,64,89,233
WILL:HOMER PCT 018,47,10,44,18,119
WILL:HOMER PCT 019,64,19,65,54,202
WILL:JACKSON PCT 001,39,20,94,4,157
WILL:JACKSON PCT 002,45,10,73,8,136
WILL:JOLIET PCT 001,13,6,21,2,42
WILL:JOLIET PCT 002,36,3,26,7,72
WILL:JOLIET PCT 003,20,2,39,7,68
WILL:JOLIET PCT 004,11,8,16,1,36
WILL:JOLIET PCT 005,4,6,2,1,13
WILL:JOLIET PCT 006,1,1,2,0,4
WILL:JOLIET PCT 007,11,4,10,2,27
WILL:JOLIET PCT 008,22,4,15,7,48
WILL:JOLIET PCT 009,20,8,25,3,56
WILL:JOLIET PCT 010,19,10,33,8,70
WILL:JOLIET PCT 011,23,6,21,6,56
WILL:JOLIET PCT 012,9,4,16,2,31
WILL:JOLIET PCT 013,4,1,1,0,6
WILL:JOLIET PCT 014,2,2,1,0,5
WILL:JOLIET PCT 015,13,2,22,4,41
WILL:JOLIET PCT 016,7,5,20,3,35
WILL:JOLIET PCT 017,22,12,24,7,65
WILL:JOLIET PCT 018,30,9,52,4,95
WILL:JOLIET PCT 019,26,8,24,3,61
WILL:JOLIET PCT 020,18,2,29,10,59
WILL:JOLIET PCT 021,4,4,13,3,24
WILL:JOLIET PCT 022,9,7,12,3,31
WILL:JOLIET PCT 023,8,3,7,2,20
WILL:JOLIET PCT 024,14,4,16,3,37
WILL:JOLIET PCT 025,8,2,16,4,30
WILL:JOLIET PCT 026,8,2,20,3,33
WILL:JOLIET PCT 027,6,0,3,5,14
WILL:JOLIET PCT 028,5,1,3,1,10
WILL:JOLIET PCT 029,4,6,16,1,27
WILL:JOLIET PCT 030,17,7,25,3,52
WILL:JOLIET PCT 031,11,7,22,9,49
WILL:JOLIET PCT 032,1,1,3,0,5
WILL:JOLIET PCT 033,19,10,26,4,59
WILL:JOLIET PCT 034,6,4,6,0,16
WILL:JOLIET PCT 035,9,2,17,5,33
WILL:JOLIET PCT 036,6,3,5,0,14
WILL:JOLIET PCT 037,15,6,24,6,51
WILL:LOCKPORT PCT 001,104,28,96,27,255
WILL:LOCKPORT PCT 002,26,15,27,11,79
WILL:LOCKPORT PCT 003,18,11,28,1,58
WILL:LOCKPORT PCT 004,20,8,24,4,56
WILL:LOCKPORT PCT 005,44,30,65,18,157
WILL:LOCKPORT PCT 006,18,19,18,6,61
WILL:LOCKPORT PCT 007,16,11,24,6,57
WILL:LOCKPORT PCT 008,9,5,11,4,29
WILL:LOCKPORT PCT 009,50,15,66,21,152
WILL:LOCKPORT PCT 010,46,13,56,10,125
WILL:LOCKPORT PCT 011,39,10,63,13,125
WILL:LOCKPORT PCT 012,47,9,56,12,124
WILL:LOCKPORT PCT 013,92,50,102,30,274
WILL:LOCKPORT PCT 014,39,22,48,11,120
WILL:LOCKPORT PCT 015,26,5,17,8,56
WILL:LOCKPORT PCT 016,32,15,48,17,112
WILL:LOCKPORT PCT 017,51,17,62,27,157
WILL:LOCKPORT PCT 018,23,14,62,5,104
WILL:LOCKPORT PCT 019,37,16,50,22,125
WILL:LOCKPORT PCT 020,27,15,50,11,103
WILL:LOCKPORT PCT 021,11,9,33,3,56
WILL:LOCKPORT PCT 022,28,5,51,6,90
WILL:LOCKPORT PCT 023,9,8,31,6,54
WILL:LOCKPORT PCT 024,5,2,4,1,12
WILL:MANHATTAN PCT 001,71,18,79,16,184
WILL:MANHATTAN PCT 002,63,11,99,27,200
WILL:MANHATTAN PCT 003,47,10,85,21,163
WILL:MANHATTAN PCT 004,39,12,79,12,142
WILL:MANHATTAN PCT 005,59,14,102,11,186
WILL:MONEE PCT 001,6,2,19,2,29
WILL:MONEE PCT 002,4,5,4,2,15
WILL:MONEE PCT 003,28,6,33,17,84
WILL:MONEE PCT 004,22,11,34,14,81
WILL:MONEE PCT 005,1,0,1,0,2
WILL:MONEE PCT 006,2,1,1,1,5
WILL:MONEE PCT 007,4,5,5,1,15
WILL:MONEE PCT 008,30,2,38,12,82
WILL:NEW LENOX PCT 001,37,13,43,8,101
WILL:NEW LENOX PCT 002,67,24,98,18,207
WILL:NEW LENOX PCT 003,49,8,52,9,118
WILL:NEW LENOX PCT 004,26,14,55,19,114
WILL:NEW LENOX PCT 005,43,2,45,27,117
WILL:NEW LENOX PCT 006,61,21,65,39,186
WILL:NEW LENOX PCT 007,55,9,70,35,169
WILL:NEW LENOX PCT 008,56,13,53,20,142
WILL:NEW LENOX PCT 009,36,4,44,12,96
WILL:NEW LENOX PCT 010,60,16,110,24,210
WILL:NEW LENOX PCT 011,65,15,79,24,183
WILL:NEW LENOX PCT 012,41,18,68,18,145
WILL:NEW LENOX PCT 013,54,19,78,10,161
WILL:NEW LENOX PCT 014,68,19,94,23,204
WILL:NEW LENOX PCT 015,68,8,72,18,166
WILL:NEW LENOX PCT 016,53,14,57,17,141
WILL:NEW LENOX PCT 017,73,13,73,16,175
WILL:NEW LENOX PCT 018,51,7,48,16,122
WILL:NEW LENOX PCT 019,92,14,71,21,198
WILL:NEW LENOX PCT 020,87,20,87,27,221
WILL:PEOTONE PCT 001,69,21,121,25,236
WILL:PEOTONE PCT 002,79,17,101,18,215
WILL:PLAINFIELD PCT 001,42,18,24,10,94
WILL:PLAINFIELD PCT 002,41,12,30,10,93
WILL:PLAINFIELD PCT 003,47,19,52,7,125
WILL:PLAINFIELD PCT 004,20,8,15,4,47
WILL:PLAINFIELD PCT 005,26,15,21,10,72
WILL:PLAINFIELD PCT 006,13,4,12,4,33
WILL:PLAINFIELD PCT 007,26,5,25,5,61
WILL:PLAINFIELD PCT 008,24,24,40,14,102
WILL:PLAINFIELD PCT 009,59,18,40,14,131
WILL:PLAINFIELD PCT 010,45,12,41,10,108
WILL:PLAINFIELD PCT 011,7,2,8,2,19
WILL:PLAINFIELD PCT 012,26,4,24,11,65
WILL:PLAINFIELD PCT 013,79,25,76,29,209
WILL:PLAINFIELD PCT 014,38,12,42,17,109
WILL:PLAINFIELD PCT 015,52,39,87,19,197
WILL:PLAINFIELD PCT 016,54,11,54,10,129
WILL:PLAINFIELD PCT 017,20,12,36,3,71
WILL:PLAINFIELD PCT 018,7,14,23,3,47
WILL:PLAINFIELD PCT 019,31,10,23,5,69
WILL:PLAINFIELD PCT 020,42,18,45,5,110
WILL:PLAINFIELD PCT 021,40,10,31,8,89
WILL:PLAINFIELD PCT 022,21,22,28,2,73
WILL:PLAINFIELD PCT 023,24,9,42,9,84
WILL:PLAINFIELD PCT 024,29,13,61,16,119
WILL:PLAINFIELD PCT 025,22,16,34,9,81
WILL:PLAINFIELD PCT 026,21,7,30,5,63
WILL:PLAINFIELD PCT 027,16,12,24,3,55
WILL:PLAINFIELD PCT 028,24,14,43,5,86
WILL:PLAINFIELD PCT 029,26,14,33,10,83
WILL:PLAINFIELD PCT 030,38,12,41,9,100
WILL:PLAINFIELD PCT 031,25,13,45,5,88
WILL:PLAINFIELD PCT 032,24,4,20,6,54
WILL:PLAINFIELD PCT 033,29,17,45,11,102
WILL:PLAINFIELD PCT 034,28,13,43,7,91
WILL:PLAINFIELD PCT 035,24,8,36,3,71
WILL:REED PCT 001,20,11,85,7,123
WILL:REED PCT 002,38,18,105,5,166
WILL:REED PCT 003,28,7,64,12,111
WILL:TROY PCT 001,24,9,38,9,80
WILL:TROY PCT 002,15,11,32,4,62
WILL:TROY PCT 003,31,8,54,10,103
WILL:TROY PCT 004,40,11,51,10,112
WILL:TROY PCT 005,35,8,30,3,76
WILL:TROY PCT 006,19,4,37,5,65
WILL:TROY PCT 007,34,3,42,12,91
WILL:TROY PCT 008,60,15,69,7,151
WILL:TROY PCT 009,49,10,43,11,113
WILL:TROY PCT 010,39,15,65,11,130
WILL:TROY PCT 011,48,16,69,13,146
WILL:TROY PCT 012,16,7,27,7,57
WILL:TROY PCT 013,71,19,87,21,198
WILL:TROY PCT 014,52,10,60,16,138
WILL:TROY PCT 015,39,12,65,8,124
WILL:TROY PCT 016,35,11,34,14,94
WILL:TROY PCT 017,38,12,70,16,136
WILL:TROY PCT 018,37,5,46,10,98
WILL:TROY PCT 019,12,10,25,7,54
WILL:TROY PCT 020,53,5,51,7,116
WILL:TROY PCT 021,50,19,59,18,146
WILL:TROY PCT 022,34,8,59,8,109
WILL:WASHINGTON PCT 001,45,9,82,16,152
WILL:WASHINGTON PCT 002,68,8,67,13,156
WILL:WASHINGTON PCT 003,44,16,95,17,172
WILL:WESLEY PCT 001,39,9,91,11,150
WILL:WHEATLAND PCT 001,22,15,16,6,59
WILL:WHEATLAND PCT 002,145,20,56,17,238
WILL:WHEATLAND PCT 003,50,13,22,8,93
WILL:WHEATLAND PCT 004,29,22,28,6,85
WILL:WHEATLAND PCT 005,57,13,56,10,136
WILL:WHEATLAND PCT 006,48,18,34,13,113
WILL:WHEATLAND PCT 007,56,12,48,13,129
WILL:WHEATLAND PCT 008,38,17,37,15,107
WILL:WHEATLAND PCT 009,74,12,35,17,138
WILL:WHEATLAND PCT 010,62,21,40,5,128
WILL:WHEATLAND PCT 011,29,11,22,10,72
WILL:WHEATLAND PCT 012,25,11,23,8,67
WILL:WHEATLAND PCT 013,53,17,28,7,105
WILL:WHEATLAND PCT 014,70,19,46,12,147
WILL:WHEATLAND PCT 015,75,11,27,5,118
WILL:WHEATLAND PCT 016,51,14,39,8,112
WILL:WHEATLAND PCT 017,28,11,11,3,53
WILL:WHEATLAND PCT 018,97,9,29,10,145
WILL:WHEATLAND PCT 019,18,9,13,4,44
WILL:WHEATLAND PCT 020,56,9,21,2,88
WILL:WHEATLAND PCT 021,47,13,29,7,96
WILL:WHEATLAND PCT 022,26,9,21,12,68
WILL:WHEATLAND PCT 023,24,9,16,3,52
WILL:WHEATLAND PCT 024,57,12,44,11,124
WILL:WHEATLAND PCT 025,36,11,33,15,95
WILL:WHEATLAND PCT 026,94,13,57,14,178
WILL:WHEATLAND PCT 027,21,8,13,10,52
WILL:WHEATLAND PCT 028,50,19,51,11,131
WILL:WHEATLAND PCT 029,66,19,45,14,144
WILL:WHEATLAND PCT 030,72,17,30,12,131
WILL:WHEATLAND PCT 031,22,6,19,0,47
WILL:WHEATLAND PCT 032,29,9,27,7,72
WILL:WHEATLAND PCT 033,28,7,22,2,59
WILL:WHEATLAND PCT 034,24,8,21,7,60
WILL:WHEATLAND PCT 035,18,13,18,8,57
WILL:WHEATLAND PCT 036,34,9,27,2,72
WILL:WHEATLAND PCT 037,29,8,23,10,70
WILL:WHEATLAND PCT 038,15,9,23,6,53
WILL:WILL PCT 001,66,20,114,16,216
WILL:WILMINGTON PCT 001,20,6,82,8,116
WILL:WILMINGTON PCT 002,47,8,73,10,138
WILL:WILMINGTON PCT 003,33,15,88,12,148
WILL:WILTON PCT 001,63,10,66,14,153
WILL:Total:,11537,3396,13242,3847,32022
