JoinField,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
LAKE:CUBA 66,30,20,9,3,62
LAKE:CUBA 67,40,34,4,7,85
LAKE:CUBA 68,50,32,3,8,93
LAKE:CUBA 69,63,28,5,6,102
LAKE:CUBA 70,51,30,8,4,93
LAKE:CUBA 71,61,12,5,6,84
LAKE:ELA 79,62,19,4,11,96
LAKE:ELA 80,47,20,1,5,73
LAKE:ELA 81,23,16,2,17,58
LAKE:ELA 82,23,11,6,22,62
LAKE:ELA 83,33,13,2,5,53
LAKE:ELA 87,50,17,3,1,71
LAKE:ELA 88,74,18,5,5,102
LAKE:ELA 89,33,21,1,7,62
LAKE:ELA 90,16,18,4,8,46
LAKE:FREMONT 115,31,19,6,4,60
LAKE:FREMONT 118,39,15,4,3,61
LAKE:VERNON 270,10,5,3,2,20
LAKE:VERNON 275,12,15,5,6,38
LAKE:VERNON 276,8,12,6,7,33
LAKE:VERNON 283,14,9,2,4,29
LAKE:VERNON 284,12,16,3,1,32
LAKE:VERNON 285,7,7,4,3,21
LAKE:VERNON 288,12,19,5,5,41
LAKE:VERNON 289,14,16,4,0,34
LAKE:VERNON 290,21,11,1,1,34
LAKE:WAUCONDA 344,48,29,8,5,90
LAKE:WAUCONDA 346,18,15,9,4,46
LAKE:WAUCONDA 347,43,17,3,3,66
LAKE:WAUCONDA 350,0,0,0,0,0
LAKE:WAUCONDA 353,34,19,5,1,59
LAKE:WAUCONDA 354,61,21,4,9,95
LAKE:TOTAL:,1040,554,134,173,1901
