JoinField,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
MCHENRY:ALG 1,24,12,41,2,79
MCHENRY:ALG 10,12,10,4,2,28
MCHENRY:ALG 11,51,23,7,0,81
MCHENRY:ALG 12,22,15,5,1,43
MCHENRY:ALG 13,20,16,18,0,54
MCHENRY:ALG 14,26,16,25,3,70
MCHENRY:ALG 15,32,21,5,4,62
MCHENRY:ALG 16,14,12,5,2,33
MCHENRY:ALG 17,32,18,4,0,54
MCHENRY:ALG 18,25,28,7,2,62
MCHENRY:ALG 19,26,19,8,1,54
MCHENRY:ALG 2,26,19,5,1,51
MCHENRY:ALG 20,39,20,9,1,69
MCHENRY:ALG 21,61,23,6,1,91
MCHENRY:ALG 22,34,16,7,4,61
MCHENRY:ALG 23,27,15,0,1,43
MCHENRY:ALG 24,22,13,3,0,38
MCHENRY:ALG 25,19,15,1,2,37
MCHENRY:ALG 26,33,20,5,7,65
MCHENRY:ALG 27,25,22,2,1,50
MCHENRY:ALG 28,29,12,6,1,48
MCHENRY:ALG 29,20,21,4,2,47
MCHENRY:ALG 3,37,14,5,7,63
MCHENRY:ALG 30,17,16,3,1,37
MCHENRY:ALG 31,22,8,1,4,35
MCHENRY:ALG 32,24,32,2,6,64
MCHENRY:ALG 33,38,24,3,4,69
MCHENRY:ALG 34,31,20,3,5,59
MCHENRY:ALG 35,29,16,2,2,49
MCHENRY:ALG 36,26,14,11,1,52
MCHENRY:ALG 37,31,16,13,2,62
MCHENRY:ALG 38,32,17,8,0,57
MCHENRY:ALG 39,38,22,4,1,65
MCHENRY:ALG 4,25,18,6,2,51
MCHENRY:ALG 40,27,19,3,2,51
MCHENRY:ALG 41,29,21,9,5,64
MCHENRY:ALG 42,23,27,2,3,55
MCHENRY:ALG 43,26,11,4,2,43
MCHENRY:ALG 44,27,31,3,7,68
MCHENRY:ALG 45,34,35,10,2,81
MCHENRY:ALG 46,35,22,8,2,67
MCHENRY:ALG 47,26,18,1,3,48
MCHENRY:ALG 48,23,24,6,1,54
MCHENRY:ALG 49,35,16,3,3,57
MCHENRY:ALG 5,17,18,4,0,39
MCHENRY:ALG 50,35,22,2,5,64
MCHENRY:ALG 51,28,19,7,3,57
MCHENRY:ALG 52,23,18,10,4,55
MCHENRY:ALG 53,57,35,10,3,105
MCHENRY:ALG 54,23,17,7,4,51
MCHENRY:ALG 55,42,16,8,7,73
MCHENRY:ALG 56,29,21,13,5,68
MCHENRY:ALG 57,29,20,2,0,51
MCHENRY:ALG 58,25,17,9,2,53
MCHENRY:ALG 59,44,30,5,2,81
MCHENRY:ALG 6,24,20,3,4,51
MCHENRY:ALG 60,51,27,5,2,85
MCHENRY:ALG 61,18,22,9,4,53
MCHENRY:ALG 62,40,41,13,5,99
MCHENRY:ALG 63,33,25,3,2,63
MCHENRY:ALG 7,30,11,7,7,55
MCHENRY:ALG 8,47,15,8,1,71
MCHENRY:ALG 9,24,28,2,2,56
,1873,1249,414,165,3701
