JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:7000001,COOK:Barrington Precinct 1,15,55,17,8,4,27,126
COOK:7000002,COOK:Barrington Precinct 2,11,28,9,4,3,20,75
COOK:7000003,COOK:Barrington Precinct 3,17,35,15,7,3,19,96
COOK:7000004,COOK:Barrington Precinct 4,31,78,23,19,3,32,186
COOK:7000005,COOK:Barrington Precinct 5,15,68,12,18,5,19,137
COOK:7000006,COOK:Barrington Precinct 6,10,47,12,4,6,32,111
COOK:7000007,COOK:Barrington Precinct 7,5,14,1,0,2,4,26
COOK:7000008,COOK:Barrington Precinct 8,16,69,19,15,5,37,161
COOK:7000009,COOK:Barrington Precinct 9,6,21,9,2,3,15,56
COOK:7000010,COOK:Barrington Precinct 10,7,31,12,6,8,15,79
COOK:7000011,COOK:Barrington Precinct 11,9,45,13,9,5,17,98
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,5,5,6,1,0,0,17
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,6,2,6,1,0,4,19
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,3,6,2,2,1,10,24
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,7,12,6,3,2,9,39
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,4,6,4,1,1,3,19
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,3,5,4,1,2,1,16
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,10,7,3,3,0,6,29
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,8,11,1,1,1,5,27
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,7,13,2,3,0,7,32
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,3,6,3,0,3,6,21
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,3,11,4,3,0,5,26
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,4,9,0,0,1,1,15
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,3,4,6,3,1,2,19
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,4,10,3,2,1,0,20
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,3,4,2,1,0,3,13
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,2,5,0,0,2,2,11
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,7,4,1,3,1,2,18
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,0,2,4,0,0,2,8
COOK:9905003,COOK:Berwyn Ward 5 Precinct 3,1,3,1,1,1,4,11
COOK:9906001,COOK:Berwyn Ward 6 Precinct 1,0,1,2,0,0,2,5
COOK:9906002,COOK:Berwyn Ward 6 Precinct 2,3,4,2,0,1,5,15
COOK:9906003,COOK:Berwyn Ward 6 Precinct 3,3,3,0,2,1,2,11
COOK:9906004,COOK:Berwyn Ward 6 Precinct 4,5,4,1,1,2,4,17
COOK:9907001,COOK:Berwyn Ward 7 Precinct 1,5,4,1,1,0,5,16
COOK:9907002,COOK:Berwyn Ward 7 Precinct 2,4,5,1,2,3,0,15
COOK:9907003,COOK:Berwyn Ward 7 Precinct 3,9,6,4,0,1,3,23
COOK:9907004,COOK:Berwyn Ward 7 Precinct 4,4,5,2,5,1,4,21
COOK:9908001,COOK:Berwyn Ward 8 Precinct 1,5,6,2,4,1,4,22
COOK:9908002,COOK:Berwyn Ward 8 Precinct 2,8,7,3,2,2,3,25
COOK:9908003,COOK:Berwyn Ward 8 Precinct 3,2,5,0,1,0,1,9
COOK:7100001,COOK:Bloom Precinct 1,3,9,6,1,0,4,23
COOK:7100002,COOK:Bloom Precinct 2,1,11,6,4,0,8,30
COOK:7100003,COOK:Bloom Precinct 3,2,2,3,1,0,2,10
COOK:7100004,COOK:Bloom Precinct 4,3,9,7,2,0,3,24
COOK:7100005,COOK:Bloom Precinct 5,9,11,12,5,0,9,46
COOK:7100006,COOK:Bloom Precinct 6,0,0,1,0,0,0,1
COOK:7100007,COOK:Bloom Precinct 7,7,12,14,6,1,6,46
COOK:7100008,COOK:Bloom Precinct 8,10,16,10,6,2,5,49
COOK:7100009,COOK:Bloom Precinct 9,1,17,9,0,4,5,36
COOK:7100010,COOK:Bloom Precinct 10,0,1,0,0,0,0,1
COOK:7100011,COOK:Bloom Precinct 11,2,15,9,2,0,7,35
COOK:7100012,COOK:Bloom Precinct 12,5,4,1,6,1,2,19
COOK:7100013,COOK:Bloom Precinct 13,2,5,3,3,0,6,19
COOK:7100014,COOK:Bloom Precinct 14,4,13,7,3,2,9,38
COOK:7100015,COOK:Bloom Precinct 15,9,13,6,3,2,7,40
COOK:7100016,COOK:Bloom Precinct 16,1,7,5,2,3,4,22
COOK:7100017,COOK:Bloom Precinct 17,4,1,1,2,0,3,11
COOK:7100018,COOK:Bloom Precinct 18,1,5,3,2,0,1,12
COOK:7100019,COOK:Bloom Precinct 19,1,4,2,5,0,1,13
COOK:7100020,COOK:Bloom Precinct 20,4,14,9,0,1,7,35
COOK:7100021,COOK:Bloom Precinct 21,0,0,0,0,0,0,0
COOK:7100022,COOK:Bloom Precinct 22,3,5,3,2,1,0,14
COOK:7100023,COOK:Bloom Precinct 23,1,3,1,0,1,1,7
COOK:7100024,COOK:Bloom Precinct 24,5,8,5,2,3,1,24
COOK:7100025,COOK:Bloom Precinct 25,1,2,4,1,0,1,9
COOK:7100026,COOK:Bloom Precinct 26,0,2,0,2,0,3,7
COOK:7100027,COOK:Bloom Precinct 27,5,2,3,5,2,1,18
COOK:7100028,COOK:Bloom Precinct 28,4,6,3,7,0,8,28
COOK:7100029,COOK:Bloom Precinct 29,0,0,0,1,1,0,2
COOK:7100030,COOK:Bloom Precinct 30,4,17,3,4,1,4,33
COOK:7100031,COOK:Bloom Precinct 31,9,16,5,0,0,3,33
COOK:7100032,COOK:Bloom Precinct 32,3,10,7,0,1,5,26
COOK:7100033,COOK:Bloom Precinct 33,2,2,0,2,0,3,9
COOK:7100034,COOK:Bloom Precinct 34,3,8,4,0,3,4,22
COOK:7100035,COOK:Bloom Precinct 35,1,2,0,0,1,1,5
COOK:7100036,COOK:Bloom Precinct 36,1,9,2,1,0,3,16
COOK:7100037,COOK:Bloom Precinct 37,1,4,0,0,0,0,5
COOK:7100038,COOK:Bloom Precinct 38,3,5,2,2,0,4,16
COOK:7100039,COOK:Bloom Precinct 39,1,2,4,0,0,2,9
COOK:7100040,COOK:Bloom Precinct 40,3,14,11,2,1,9,40
COOK:7100041,COOK:Bloom Precinct 41,3,1,1,3,0,3,11
COOK:7100042,COOK:Bloom Precinct 42,1,7,6,1,1,6,22
COOK:7100043,COOK:Bloom Precinct 43,0,0,0,1,0,0,1
COOK:7100044,COOK:Bloom Precinct 44,6,13,5,3,1,6,34
COOK:7100045,COOK:Bloom Precinct 45,2,5,5,2,1,1,16
COOK:7100046,COOK:Bloom Precinct 46,0,4,6,1,0,1,12
COOK:7100047,COOK:Bloom Precinct 47,4,12,14,4,2,11,47
