JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
DUPAGE:ADDISON 001,15,13,15,4,2,20,69
DUPAGE:ADDISON 002,16,23,15,3,1,22,80
DUPAGE:ADDISON 003,10,23,12,9,3,27,84
DUPAGE:ADDISON 004,10,9,6,2,0,20,47
DUPAGE:ADDISON 005,7,4,3,4,1,2,21
DUPAGE:ADDISON 006,9,8,5,4,2,9,37
DUPAGE:ADDISON 007,21,22,11,4,2,18,78
DUPAGE:ADDISON 008,12,10,2,2,6,9,41
DUPAGE:ADDISON 009,12,9,3,2,1,7,34
DUPAGE:ADDISON 010,15,14,14,8,4,20,75
DUPAGE:ADDISON 011,19,24,9,6,2,23,83
DUPAGE:ADDISON 012,20,15,13,5,6,16,75
DUPAGE:ADDISON 013,18,10,18,6,0,28,80
DUPAGE:ADDISON 014,19,21,15,5,3,19,82
DUPAGE:ADDISON 015,25,17,20,9,2,33,106
DUPAGE:ADDISON 016,12,25,28,9,1,31,106
DUPAGE:ADDISON 017,6,17,7,4,1,13,48
DUPAGE:ADDISON 018,14,14,9,5,0,7,49
DUPAGE:ADDISON 019,11,10,9,4,2,17,53
DUPAGE:ADDISON 020,7,4,7,7,2,10,37
DUPAGE:ADDISON 021,7,18,9,4,1,20,59
DUPAGE:ADDISON 022,11,25,17,7,2,23,85
DUPAGE:ADDISON 023,7,25,16,5,1,13,67
DUPAGE:ADDISON 024,10,21,19,3,3,18,74
DUPAGE:ADDISON 025,7,28,17,6,2,23,83
DUPAGE:ADDISON 026,13,11,16,1,3,10,54
DUPAGE:ADDISON 027,5,18,8,2,3,11,47
DUPAGE:ADDISON 028,6,11,11,6,1,5,40
DUPAGE:ADDISON 029,5,19,2,3,0,8,37
DUPAGE:ADDISON 030,25,26,19,8,8,26,112
DUPAGE:ADDISON 031,11,26,9,4,2,14,66
DUPAGE:ADDISON 032,7,6,3,4,3,5,28
DUPAGE:ADDISON 033,6,17,12,1,0,14,50
DUPAGE:ADDISON 034,10,28,8,3,8,20,77
DUPAGE:ADDISON 035,12,22,10,8,0,20,72
DUPAGE:ADDISON 036,10,18,5,3,2,5,43
DUPAGE:ADDISON 037,11,4,3,1,2,8,29
DUPAGE:ADDISON 038,9,17,14,9,1,19,69
DUPAGE:ADDISON 039,18,16,22,7,2,31,96
DUPAGE:ADDISON 040,16,22,11,7,0,20,76
DUPAGE:ADDISON 041,5,16,18,1,1,6,47
DUPAGE:ADDISON 042,3,4,8,7,1,4,27
DUPAGE:ADDISON 043,6,17,5,6,1,11,46
DUPAGE:ADDISON 044,10,24,11,6,9,19,79
DUPAGE:ADDISON 045,6,26,12,5,2,24,75
DUPAGE:ADDISON 046,10,15,17,10,5,20,77
DUPAGE:ADDISON 047,4,23,8,4,5,14,58
DUPAGE:ADDISON 048,8,14,7,4,2,9,44
DUPAGE:ADDISON 049,4,15,10,5,2,5,41
DUPAGE:ADDISON 050,8,26,13,9,2,16,74
DUPAGE:ADDISON 051,10,36,13,6,1,12,78
DUPAGE:ADDISON 052,5,24,10,4,1,22,66
DUPAGE:ADDISON 053,7,29,10,5,3,13,67
DUPAGE:BLOOMINGDALE 001,3,5,2,4,0,4,18
DUPAGE:BLOOMINGDALE 002,7,11,7,4,2,23,54
DUPAGE:BLOOMINGDALE 003,19,27,14,7,10,18,95
DUPAGE:BLOOMINGDALE 004,6,17,10,3,0,17,53
DUPAGE:BLOOMINGDALE 005,10,13,9,4,1,15,52
DUPAGE:BLOOMINGDALE 006,21,13,12,10,3,29,88
DUPAGE:BLOOMINGDALE 007,7,8,4,2,2,7,30
DUPAGE:BLOOMINGDALE 008,3,2,3,1,1,7,17
DUPAGE:BLOOMINGDALE 009,9,28,9,5,1,23,75
DUPAGE:BLOOMINGDALE 010,18,27,11,6,5,22,89
DUPAGE:BLOOMINGDALE 011,16,29,18,6,6,31,106
DUPAGE:BLOOMINGDALE 012,6,11,11,2,2,26,58
DUPAGE:BLOOMINGDALE 013,20,19,12,10,4,35,100
DUPAGE:BLOOMINGDALE 014,4,16,10,9,1,17,57
DUPAGE:BLOOMINGDALE 015,22,15,11,3,3,15,69
