JoinField,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
LAKE:ANTIOCH 1,16,25,7,11,4,13,76
LAKE:ANTIOCH 2,10,26,9,3,5,12,65
LAKE:ANTIOCH 3,9,24,14,8,0,20,75
LAKE:ANTIOCH 4,7,25,5,5,1,9,52
LAKE:ANTIOCH 5,16,15,4,2,1,19,57
LAKE:ANTIOCH 6,4,20,6,3,4,13,50
LAKE:ANTIOCH 7,9,19,5,8,3,23,67
LAKE:ANTIOCH 8,8,13,3,8,1,18,51
LAKE:ANTIOCH 9,4,22,5,10,2,18,61
LAKE:ANTIOCH 10,8,12,9,0,1,6,36
LAKE:ANTIOCH 11,16,22,5,7,5,13,68
LAKE:ANTIOCH 12,7,25,13,7,1,19,72
LAKE:ANTIOCH 13,11,20,8,1,1,5,46
LAKE:ANTIOCH 14,24,22,4,5,3,11,69
LAKE:ANTIOCH 15,13,28,21,13,6,24,105
LAKE:ANTIOCH 16,12,25,5,4,3,18,67
LAKE:ANTIOCH 17,13,38,9,5,5,19,89
LAKE:ANTIOCH 18,6,18,7,8,6,9,54
LAKE:ANTIOCH 19,6,24,7,5,2,11,55
LAKE:AVON 20,5,17,4,1,3,8,38
LAKE:AVON 21,5,6,3,0,2,3,19
LAKE:AVON 22,9,10,4,3,3,10,39
LAKE:AVON 23,5,19,4,6,2,13,49
LAKE:AVON 24,5,8,1,3,4,16,37
LAKE:AVON 25,7,21,10,8,1,30,77
LAKE:AVON 26,9,12,7,7,1,11,47
LAKE:AVON 27,3,10,4,3,2,10,32
LAKE:AVON 28,6,10,4,3,4,8,35
LAKE:AVON 29,5,8,5,3,0,11,32
LAKE:AVON 30,7,8,5,5,2,8,35
LAKE:AVON 31,5,13,2,4,2,4,30
LAKE:AVON 32,6,16,6,5,4,12,49
LAKE:AVON 33,5,13,4,1,4,12,39
LAKE:AVON 34,3,11,5,3,2,8,32
LAKE:AVON 35,16,16,5,2,1,11,51
LAKE:AVON 36,3,7,1,3,2,9,25
LAKE:AVON 37,3,9,2,4,3,6,27
LAKE:AVON 38,5,6,4,3,3,14,35
LAKE:AVON 39,2,11,6,0,1,13,33
LAKE:AVON 40,11,9,6,3,0,14,43
LAKE:AVON 41,5,6,3,0,3,6,23
LAKE:AVON 42,1,10,5,4,2,5,27
LAKE:AVON 43,9,15,5,2,4,8,43
LAKE:AVON 44,8,16,1,6,1,20,52
LAKE:AVON 45,3,15,2,4,0,16,40
LAKE:AVON 46,5,19,9,2,2,9,46
LAKE:AVON 47,6,17,7,2,4,20,56
LAKE:AVON 48,7,22,13,4,5,21,72
LAKE:AVON 49,3,21,5,3,0,13,45
LAKE:AVON 50,6,16,4,5,1,6,38
LAKE:AVON 51,8,16,3,8,2,17,54
LAKE:AVON 52,9,9,5,2,0,9,34
LAKE:BENTON 53,9,18,5,10,1,22,65
LAKE:BENTON 54,9,17,8,4,9,21,68
LAKE:BENTON 55,4,39,11,7,4,12,77
LAKE:BENTON 56,9,21,7,3,0,15,55
LAKE:BENTON 57,5,23,10,3,2,13,56
LAKE:BENTON 58,5,23,11,12,3,10,64
LAKE:BENTON 59,6,6,7,4,0,6,29
LAKE:BENTON 60,6,21,5,6,3,11,52
