JoinField,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
MCHENRY:ALD 1,10,64,9,14,6,38,141
MCHENRY:ALG 1,6,22,4,3,34,12,81
MCHENRY:ALG 10,2,12,4,3,3,4,28
MCHENRY:ALG 11,9,41,6,10,1,15,82
MCHENRY:ALG 12,3,12,3,2,6,16,42
MCHENRY:ALG 13,7,14,4,4,16,8,53
MCHENRY:ALG 14,5,21,6,4,21,17,74
MCHENRY:ALG 15,6,15,5,6,6,23,61
MCHENRY:ALG 16,3,10,4,1,3,14,35
MCHENRY:ALG 17,14,18,6,5,2,10,55
MCHENRY:ALG 18,6,16,14,5,3,18,62
MCHENRY:ALG 19,10,19,9,4,2,14,58
MCHENRY:ALG 2,5,11,5,10,4,20,55
MCHENRY:ALG 20,9,13,10,14,2,22,70
MCHENRY:ALG 21,4,37,14,6,2,32,95
MCHENRY:ALG 22,6,23,4,8,0,22,63
MCHENRY:ALG 23,3,18,4,6,2,17,50
MCHENRY:ALG 24,3,8,7,4,3,15,40
MCHENRY:ALG 25,1,18,8,2,3,5,37
MCHENRY:ALG 26,11,19,12,7,4,16,69
MCHENRY:ALG 27,8,17,4,3,3,16,51
MCHENRY:ALG 28,3,19,6,5,1,13,47
MCHENRY:ALG 29,7,11,7,3,3,15,46
MCHENRY:ALG 3,5,26,4,8,3,17,63
MCHENRY:ALG 30,6,15,4,4,2,6,37
MCHENRY:ALG 31,2,10,1,2,4,18,37
MCHENRY:ALG 32,1,26,9,11,8,11,66
MCHENRY:ALG 33,6,29,2,6,2,26,71
MCHENRY:ALG 34,10,15,5,6,3,22,61
MCHENRY:ALG 35,2,25,3,5,3,11,49
MCHENRY:ALG 36,4,13,9,5,4,16,51
MCHENRY:ALG 37,7,27,8,4,2,18,66
MCHENRY:ALG 38,6,17,9,4,2,21,59
MCHENRY:ALG 39,6,21,6,4,8,25,70
MCHENRY:ALG 4,3,28,4,2,5,13,55
MCHENRY:ALG 40,1,22,11,7,4,9,54
MCHENRY:ALG 41,5,23,11,4,3,18,64
MCHENRY:ALG 42,9,20,3,7,2,15,56
MCHENRY:ALG 43,6,21,3,2,2,11,45
MCHENRY:ALG 44,7,21,11,7,4,23,73
MCHENRY:ALG 45,8,26,9,7,3,29,82
MCHENRY:ALG 46,8,24,7,4,9,17,69
MCHENRY:ALG 47,10,15,3,7,4,11,50
MCHENRY:ALG 48,13,26,2,4,1,13,59
MCHENRY:ALG 49,6,22,5,5,1,21,60
MCHENRY:ALG 5,5,15,3,4,0,11,38
MCHENRY:ALG 50,1,32,10,4,3,16,66
MCHENRY:ALG 51,15,22,3,3,3,15,61
MCHENRY:ALG 52,6,24,5,6,3,16,60
MCHENRY:ALG 53,9,51,10,10,5,28,113
MCHENRY:ALG 54,11,19,4,3,3,17,57
MCHENRY:ALG 55,8,34,5,9,5,14,75
MCHENRY:ALG 56,4,27,8,6,5,22,72
MCHENRY:ALG 57,3,28,5,8,1,7,52
MCHENRY:ALG 58,5,20,3,8,6,12,54
MCHENRY:ALG 59,16,36,3,7,5,18,85
MCHENRY:ALG 6,10,15,7,4,5,14,55
MCHENRY:ALG 60,14,31,15,10,6,19,95
MCHENRY:ALG 61,6,17,8,6,2,12,51
MCHENRY:ALG 62,6,28,18,15,9,28,104
MCHENRY:ALG 63,11,15,10,7,8,11,62
MCHENRY:ALG 7,3,18,7,6,7,15,56
MCHENRY:ALG 8,7,28,10,5,2,23,75
MCHENRY:ALG 9,9,20,5,4,1,19,58
MCHENRY:BUR 1,13,26,9,10,9,15,82
MCHENRY:BUR 2,8,18,4,12,4,13,59
MCHENRY:BUR 3,7,17,22,11,3,20,80
MCHENRY:BUR 4,8,22,6,7,4,27,74
MCHENRY:CHE 1,9,14,10,10,8,14,65
MCHENRY:CHE 2,7,20,2,8,1,17,55
MCHENRY:CHE 3,3,16,5,4,4,17,49
MCHENRY:CHE 4,5,25,12,7,5,13,67
MCHENRY:CHE 5,12,26,10,8,3,29,88
MCHENRY:COR 1,16,31,17,16,10,35,125
MCHENRY:COR 2,14,37,16,14,3,30,114
MCHENRY:COR 3,6,38,3,8,4,30,89
MCHENRY:DOR 1,0,18,6,3,4,15,46
MCHENRY:DOR 10,3,15,7,6,4,6,41
MCHENRY:DOR 11,6,26,4,2,0,17,55
MCHENRY:DOR 12,11,32,11,5,3,15,77
MCHENRY:DOR 13,13,35,4,10,6,19,87
MCHENRY:DOR 14,3,21,7,5,1,10,47
MCHENRY:DOR 2,3,14,7,11,4,12,51
MCHENRY:DOR 3,8,23,10,7,6,15,69
MCHENRY:DOR 4,8,24,5,10,2,24,73
MCHENRY:DOR 5,12,26,5,10,10,23,86
MCHENRY:DOR 6,4,22,5,12,3,14,60
MCHENRY:DOR 7,3,24,3,6,4,12,52
MCHENRY:DOR 8,7,21,2,6,4,22,62
MCHENRY:DOR 9,5,33,8,7,8,18,79
MCHENRY:DUN 1,7,12,2,7,3,6,37
MCHENRY:DUN 2,11,36,7,13,7,32,106
MCHENRY:GRA 1,4,21,5,9,1,25,65
MCHENRY:GRA 10,8,14,4,5,1,17,49
MCHENRY:GRA 11,4,10,6,1,3,11,35
MCHENRY:GRA 12,4,17,2,4,0,17,44
MCHENRY:GRA 13,5,17,8,2,2,26,60
MCHENRY:GRA 14,7,15,12,4,3,39,80
MCHENRY:GRA 15,15,30,7,8,2,27,89
MCHENRY:GRA 16,3,9,1,4,2,10,29
MCHENRY:GRA 17,10,13,7,5,1,16,52
MCHENRY:GRA 18,5,27,9,4,1,9,55
MCHENRY:GRA 19,5,15,6,5,1,12,44
MCHENRY:GRA 2,8,41,7,12,3,25,96
MCHENRY:GRA 20,2,23,2,2,0,14,43
MCHENRY:GRA 21,4,22,6,6,3,14,55
MCHENRY:GRA 22,4,18,2,7,1,12,44
MCHENRY:GRA 23,4,20,7,0,1,12,44
MCHENRY:GRA 24,8,10,4,3,5,14,44
MCHENRY:GRA 25,7,7,8,1,3,3,29
MCHENRY:GRA 26,12,53,23,11,4,35,138
MCHENRY:GRA 27,2,34,18,10,4,19,87
MCHENRY:GRA 28,7,17,9,5,4,14,56
MCHENRY:GRA 29,8,13,7,8,6,22,64
MCHENRY:GRA 3,11,38,7,8,6,20,90
MCHENRY:GRA 30,5,34,11,4,1,23,78
MCHENRY:GRA 31,10,16,6,6,3,20,61
MCHENRY:GRA 32,3,21,9,5,4,6,48
MCHENRY:GRA 33,4,11,3,1,3,8,30
MCHENRY:GRA 34,4,15,5,6,0,17,47
MCHENRY:GRA 35,4,17,5,2,2,13,43
MCHENRY:GRA 36,2,5,3,4,1,5,20
MCHENRY:GRA 37,6,18,4,4,2,14,48
MCHENRY:GRA 38,7,21,12,4,2,13,59
MCHENRY:GRA 4,11,23,10,6,6,38,94
MCHENRY:GRA 5,5,17,6,5,6,16,55
MCHENRY:GRA 6,5,20,5,11,2,22,65
MCHENRY:GRA 7,3,44,7,3,5,12,74
MCHENRY:GRA 8,4,22,8,4,6,15,59
MCHENRY:GRA 9,10,25,17,8,2,27,89
MCHENRY:GRE 1,9,37,4,6,5,34,95
MCHENRY:GRE 10,4,32,6,10,2,15,69
MCHENRY:GRE 2,5,17,7,11,3,23,66
MCHENRY:GRE 3,4,6,3,5,4,9,31
MCHENRY:GRE 4,4,18,2,3,5,20,52
MCHENRY:GRE 5,3,13,3,3,4,17,43
MCHENRY:GRE 6,6,44,5,9,3,26,93
MCHENRY:GRE 7,7,17,11,6,7,22,70
MCHENRY:GRE 8,8,21,7,7,3,7,53
MCHENRY:GRE 9,10,23,9,7,9,15,73
MCHENRY:HAR 1,5,34,7,4,4,32,86
MCHENRY:HAR 2,13,26,7,4,7,29,86
MCHENRY:HEB 1,20,51,15,20,8,35,149
MCHENRY:HEB 2,14,56,26,20,11,25,152
MCHENRY:MAR 1,11,38,8,14,7,23,101
MCHENRY:MAR 2,10,19,10,7,2,13,61
MCHENRY:MAR 3,9,33,12,11,5,23,93
MCHENRY:MAR 4,10,26,14,14,4,33,101
MCHENRY:MAR 5,9,38,8,14,5,42,116
MCHENRY:MCH 1,11,33,8,10,5,25,92
MCHENRY:MCH 10,14,14,2,8,5,18,61
MCHENRY:MCH 11,6,16,4,8,4,16,54
MCHENRY:MCH 12,7,25,6,5,2,16,61
MCHENRY:MCH 13,23,38,23,16,8,32,140
MCHENRY:MCH 14,11,19,9,8,8,19,74
MCHENRY:MCH 15,10,29,12,6,2,22,81
MCHENRY:MCH 16,11,17,7,8,4,17,64
MCHENRY:MCH 17,4,22,10,5,5,9,55
MCHENRY:MCH 18,13,30,8,1,5,27,84
MCHENRY:MCH 19,3,26,11,9,4,18,71
MCHENRY:MCH 2,10,30,10,13,5,14,82
MCHENRY:MCH 20,13,28,2,9,3,30,85
MCHENRY:MCH 21,6,28,12,16,9,20,91
MCHENRY:MCH 22,11,27,7,9,10,20,84
MCHENRY:MCH 23,9,27,9,4,9,36,94
MCHENRY:MCH 24,11,10,4,4,1,17,47
MCHENRY:MCH 25,16,21,7,6,4,17,71
MCHENRY:MCH 26,7,20,10,8,7,28,80
MCHENRY:MCH 27,4,22,8,1,5,13,53
MCHENRY:MCH 28,5,31,12,7,8,27,90
MCHENRY:MCH 29,7,14,13,6,4,13,57
MCHENRY:MCH 3,10,19,6,6,8,24,73
MCHENRY:MCH 30,10,13,7,7,1,9,47
MCHENRY:MCH 31,3,11,1,6,2,13,36
MCHENRY:MCH 32,5,18,7,4,2,12,48
MCHENRY:MCH 33,5,22,11,10,7,18,73
MCHENRY:MCH 34,6,33,7,4,6,24,80
MCHENRY:MCH 4,19,27,15,12,11,17,101
MCHENRY:MCH 5,5,25,2,11,6,23,72
MCHENRY:MCH 6,7,16,3,11,11,18,66
MCHENRY:MCH 7,9,27,8,5,6,14,69
MCHENRY:MCH 8,8,44,10,11,7,34,114
MCHENRY:MCH 9,10,22,12,3,3,21,71
MCHENRY:NUN 1,8,22,9,5,5,17,66
MCHENRY:NUN 10,6,35,9,10,3,23,86
MCHENRY:NUN 11,8,35,10,11,6,22,92
MCHENRY:NUN 12,10,13,9,3,5,20,60
MCHENRY:NUN 13,11,14,5,4,4,19,57
MCHENRY:NUN 14,11,25,7,8,3,17,71
MCHENRY:NUN 15,5,21,9,3,7,22,67
MCHENRY:NUN 16,8,16,6,7,6,15,58
MCHENRY:NUN 17,4,15,5,2,2,12,40
MCHENRY:NUN 18,9,22,3,3,2,12,51
MCHENRY:NUN 19,13,39,5,2,1,30,90
MCHENRY:NUN 2,5,27,4,7,3,23,69
MCHENRY:NUN 20,3,23,2,2,5,15,50
MCHENRY:NUN 21,6,20,2,5,3,12,48
MCHENRY:NUN 22,3,16,4,1,3,10,37
MCHENRY:NUN 23,4,21,7,2,1,14,49
MCHENRY:NUN 24,4,20,4,12,4,11,55
MCHENRY:NUN 25,10,24,7,7,5,13,66
MCHENRY:NUN 26,11,17,5,4,4,19,60
MCHENRY:NUN 27,6,33,10,9,2,15,75
MCHENRY:NUN 28,11,10,3,7,6,13,50
MCHENRY:NUN 29,4,20,9,5,2,20,60
MCHENRY:NUN 3,13,29,11,9,3,18,83
MCHENRY:NUN 4,3,26,5,15,6,26,81
MCHENRY:NUN 5,17,31,3,6,2,13,72
MCHENRY:NUN 6,3,15,6,10,5,12,51
MCHENRY:NUN 7,7,17,9,3,1,12,49
MCHENRY:NUN 8,5,16,4,11,8,27,71
MCHENRY:NUN 9,7,26,2,19,4,17,75
MCHENRY:RIC 1,11,40,9,12,1,28,101
MCHENRY:RIC 2,11,22,10,6,9,19,77
MCHENRY:RIC 3,13,35,12,6,9,32,107
MCHENRY:RIC 4,10,25,9,4,4,17,69
MCHENRY:RIC 5,10,12,6,6,4,15,53
MCHENRY:RIC 6,4,27,8,6,10,13,68
MCHENRY:RIL 1,13,52,9,10,7,27,118
MCHENRY:RIL 2,8,29,10,9,3,35,94
MCHENRY:SEN 1,5,14,2,2,3,13,39
