JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
WILL:CHANNAHON PCT 001,21,41,16,17,4,39,138
WILL:CHANNAHON PCT 002,14,50,19,8,8,53,152
WILL:CHANNAHON PCT 003,12,44,24,14,18,32,144
WILL:CHANNAHON PCT 004,9,41,20,12,12,38,132
WILL:CHANNAHON PCT 005,19,27,13,15,8,28,110
WILL:CRETE PCT 001,2,21,9,3,7,13,55
WILL:CRETE PCT 002,12,20,10,8,3,12,65
WILL:CRETE PCT 003,8,20,10,5,6,11,60
WILL:CRETE PCT 004,7,15,5,4,4,13,48
WILL:CRETE PCT 005,4,8,4,2,2,13,33
WILL:CRETE PCT 006,9,40,10,7,11,21,98
WILL:CRETE PCT 007,10,11,3,2,8,11,45
WILL:CRETE PCT 008,8,31,11,11,6,28,95
WILL:CRETE PCT 009,9,31,10,8,7,21,86
WILL:CRETE PCT 010,9,27,13,3,4,14,70
WILL:CRETE PCT 011,10,29,24,7,5,29,104
WILL:CRETE PCT 012,7,33,18,13,6,24,101
WILL:CUSTER PCT 001,17,49,8,12,12,40,138
WILL:DUPAGE PCT 001,18,45,13,16,3,29,124
WILL:DUPAGE PCT 002,11,43,8,9,7,37,115
WILL:DUPAGE PCT 003,11,70,7,18,3,41,150
WILL:DUPAGE PCT 004,8,20,3,5,3,18,57
WILL:DUPAGE PCT 005,8,24,6,7,2,18,65
WILL:DUPAGE PCT 006,8,27,1,4,8,10,58
WILL:DUPAGE PCT 007,19,36,14,11,5,37,122
WILL:DUPAGE PCT 008,7,19,5,4,1,11,47
WILL:DUPAGE PCT 009,4,15,5,4,0,19,47
WILL:DUPAGE PCT 010,6,13,4,6,4,7,40
WILL:DUPAGE PCT 011,11,15,1,8,1,11,47
WILL:DUPAGE PCT 012,2,34,9,3,5,15,68
WILL:DUPAGE PCT 013,12,11,4,3,2,12,44
WILL:DUPAGE PCT 014,11,18,3,2,5,34,73
WILL:DUPAGE PCT 015,13,36,6,7,6,18,86
WILL:DUPAGE PCT 016,15,23,6,6,9,11,70
WILL:DUPAGE PCT 017,7,20,5,2,1,15,50
WILL:DUPAGE PCT 018,9,21,8,7,2,8,55
WILL:DUPAGE PCT 019,8,24,4,5,3,17,61
WILL:DUPAGE PCT 020,7,8,6,3,4,12,40
WILL:DUPAGE PCT 021,11,22,8,7,7,22,77
WILL:DUPAGE PCT 022,8,36,10,7,4,31,96
WILL:DUPAGE PCT 023,9,13,7,5,0,11,45
WILL:DUPAGE PCT 024,5,21,5,6,2,15,54
WILL:DUPAGE PCT 025,7,6,2,1,3,6,25
WILL:DUPAGE PCT 026,8,7,4,1,6,18,44
WILL:DUPAGE PCT 027,8,17,1,4,3,9,42
WILL:DUPAGE PCT 028,5,10,5,8,1,7,36
WILL:DUPAGE PCT 029,10,11,4,6,0,23,54
WILL:DUPAGE PCT 030,4,15,5,3,4,4,35
WILL:DUPAGE PCT 031,4,23,7,2,3,11,50
WILL:DUPAGE PCT 032,9,27,9,7,8,25,85
WILL:DUPAGE PCT 033,18,25,6,2,6,12,69
WILL:DUPAGE PCT 034,17,39,18,23,2,37,136
WILL:DUPAGE PCT 035,9,8,3,4,1,2,27
WILL:DUPAGE PCT 036,16,35,18,3,8,21,101
WILL:DUPAGE PCT 037,9,22,7,6,7,18,69
WILL:FLORENCE PCT 001,12,20,8,7,5,19,71
WILL:FRANKFORT PCT 001,19,73,25,12,8,67,204
WILL:FRANKFORT PCT 002,12,73,25,11,7,23,151
WILL:FRANKFORT PCT 003,16,36,14,4,5,25,100
WILL:FRANKFORT PCT 004,10,38,13,1,2,19,83
WILL:FRANKFORT PCT 005,24,72,32,18,7,42,195
WILL:FRANKFORT PCT 006,12,44,26,17,7,36,142
WILL:FRANKFORT PCT 007,19,52,26,19,4,27,147
WILL:FRANKFORT PCT 008,10,36,15,7,6,22,96
WILL:FRANKFORT PCT 009,8,30,14,7,1,26,86
WILL:FRANKFORT PCT 010,14,32,7,6,3,15,77
WILL:FRANKFORT PCT 011,20,37,16,5,1,30,109
WILL:FRANKFORT PCT 012,16,59,15,5,6,30,131
WILL:FRANKFORT PCT 013,16,55,25,6,5,22,129
WILL:FRANKFORT PCT 014,18,41,20,13,11,29,132
WILL:FRANKFORT PCT 015,21,44,21,15,8,36,145
WILL:FRANKFORT PCT 016,10,38,18,10,2,36,114
WILL:FRANKFORT PCT 017,28,66,40,25,9,53,221
WILL:FRANKFORT PCT 018,15,77,21,14,5,38,170
WILL:FRANKFORT PCT 019,19,35,20,12,7,24,117
WILL:FRANKFORT PCT 020,19,41,10,11,5,29,115
WILL:FRANKFORT PCT 021,19,67,22,14,5,43,170
WILL:FRANKFORT PCT 022,10,49,25,5,5,46,140
WILL:FRANKFORT PCT 023,21,36,25,5,2,34,123
WILL:FRANKFORT PCT 024,9,17,13,7,2,17,65
WILL:FRANKFORT PCT 025,17,57,12,12,1,22,121
WILL:FRANKFORT PCT 026,13,40,17,9,3,30,112
WILL:FRANKFORT PCT 027,10,46,11,11,0,33,111
WILL:FRANKFORT PCT 028,18,60,14,16,5,45,158
WILL:GREEN GARDEN PCT 001,24,60,20,22,12,56,194
WILL:GREEN GARDEN PCT 002,14,86,12,22,6,75,215
WILL:HOMER PCT 001,16,40,25,9,7,41,138
WILL:HOMER PCT 002,50,87,22,11,1,59,230
WILL:HOMER PCT 003,19,51,18,6,4,28,126
WILL:HOMER PCT 004,44,99,23,18,6,46,236
WILL:HOMER PCT 005,23,43,23,22,1,23,135
WILL:HOMER PCT 006,28,54,17,14,5,41,159
WILL:HOMER PCT 007,43,60,22,11,7,47,190
WILL:HOMER PCT 008,35,58,26,15,4,46,184
WILL:HOMER PCT 009,24,53,21,14,5,22,139
WILL:HOMER PCT 010,18,49,12,9,1,40,129
WILL:HOMER PCT 011,34,88,22,8,3,45,200
WILL:HOMER PCT 012,39,76,18,4,6,54,197
WILL:HOMER PCT 013,12,48,11,9,9,39,128
WILL:HOMER PCT 014,30,50,27,11,3,60,181
WILL:HOMER PCT 015,28,50,12,8,4,43,145
WILL:HOMER PCT 016,33,68,26,7,7,51,192
WILL:HOMER PCT 017,27,75,30,13,10,57,212
WILL:HOMER PCT 018,19,34,13,16,9,24,115
WILL:HOMER PCT 019,35,64,28,12,5,37,181
WILL:JACKSON PCT 001,20,42,19,13,7,44,145
WILL:JACKSON PCT 002,14,59,19,15,8,18,133
WILL:JOLIET PCT 001,3,14,7,3,4,9,40
WILL:JOLIET PCT 002,9,30,8,6,4,14,71
WILL:JOLIET PCT 003,6,23,16,2,3,17,67
WILL:JOLIET PCT 004,4,13,6,4,3,3,33
WILL:JOLIET PCT 005,0,7,2,0,2,1,12
WILL:JOLIET PCT 006,0,2,0,0,2,0,4
WILL:JOLIET PCT 007,8,6,3,3,2,4,26
WILL:JOLIET PCT 008,4,16,6,3,4,15,48
WILL:JOLIET PCT 009,6,25,6,4,4,9,54
WILL:JOLIET PCT 010,1,29,12,7,1,18,68
WILL:JOLIET PCT 011,6,27,5,1,4,12,55
WILL:JOLIET PCT 012,3,9,5,4,2,7,30
WILL:JOLIET PCT 013,0,1,0,1,4,0,6
WILL:JOLIET PCT 014,1,2,0,1,1,0,5
WILL:JOLIET PCT 015,6,18,5,0,1,11,41
WILL:JOLIET PCT 016,4,16,3,0,1,11,35
WILL:JOLIET PCT 017,6,28,10,8,1,13,66
WILL:JOLIET PCT 018,6,33,13,3,8,29,92
WILL:JOLIET PCT 019,9,17,8,6,4,13,57
WILL:JOLIET PCT 020,6,15,14,4,2,15,56
WILL:JOLIET PCT 021,3,5,5,3,2,5,23
WILL:JOLIET PCT 022,2,17,1,1,1,7,29
WILL:JOLIET PCT 023,1,5,7,1,1,5,20
WILL:JOLIET PCT 024,7,11,7,2,2,8,37
WILL:JOLIET PCT 025,4,13,5,3,2,4,31
WILL:JOLIET PCT 026,6,5,5,3,5,7,31
WILL:JOLIET PCT 027,0,4,2,5,2,1,14
WILL:JOLIET PCT 028,1,3,0,1,1,4,10
WILL:JOLIET PCT 029,5,3,4,0,3,13,28
WILL:JOLIET PCT 030,6,16,15,2,3,10,52
WILL:JOLIET PCT 031,7,17,7,4,2,10,47
WILL:JOLIET PCT 032,3,0,0,0,0,2,5
WILL:JOLIET PCT 033,10,15,5,2,4,20,56
WILL:JOLIET PCT 034,2,7,4,2,1,0,16
WILL:JOLIET PCT 035,3,7,6,3,4,8,31
WILL:JOLIET PCT 036,2,3,2,0,1,6,14
WILL:JOLIET PCT 037,4,18,7,9,1,12,51
WILL:LOCKPORT PCT 001,29,90,30,28,11,66,254
WILL:LOCKPORT PCT 002,19,21,10,3,3,20,76
WILL:LOCKPORT PCT 003,9,15,13,6,4,10,57
WILL:LOCKPORT PCT 004,9,14,10,6,3,11,53
WILL:LOCKPORT PCT 005,15,47,11,27,13,38,151
WILL:LOCKPORT PCT 006,8,21,6,7,4,12,58
WILL:LOCKPORT PCT 007,10,21,8,4,1,13,57
WILL:LOCKPORT PCT 008,4,10,4,4,3,3,28
WILL:LOCKPORT PCT 009,21,52,20,13,7,33,146
WILL:LOCKPORT PCT 010,22,34,13,8,7,39,123
WILL:LOCKPORT PCT 011,12,42,26,9,7,25,121
WILL:LOCKPORT PCT 012,15,43,19,11,2,31,121
WILL:LOCKPORT PCT 013,33,89,30,26,8,86,272
WILL:LOCKPORT PCT 014,19,43,16,7,5,29,119
WILL:LOCKPORT PCT 015,6,19,5,7,2,13,52
WILL:LOCKPORT PCT 016,8,48,18,13,2,25,114
WILL:LOCKPORT PCT 017,19,54,16,10,6,40,145
WILL:LOCKPORT PCT 018,15,28,15,17,6,21,102
WILL:LOCKPORT PCT 019,21,37,25,10,4,27,124
WILL:LOCKPORT PCT 020,10,34,18,8,6,26,102
WILL:LOCKPORT PCT 021,3,11,8,2,3,23,50
WILL:LOCKPORT PCT 022,13,21,15,7,7,27,90
WILL:LOCKPORT PCT 023,6,20,13,5,3,3,50
WILL:LOCKPORT PCT 024,3,6,1,0,1,0,11
WILL:MANHATTAN PCT 001,18,69,24,10,5,46,172
WILL:MANHATTAN PCT 002,23,69,27,22,7,40,188
WILL:MANHATTAN PCT 003,17,59,22,9,13,35,155
WILL:MANHATTAN PCT 004,16,48,22,7,6,31,130
WILL:MANHATTAN PCT 005,20,65,22,13,11,45,176
WILL:MONEE PCT 001,3,7,2,3,1,13,29
WILL:MONEE PCT 002,0,6,0,3,3,3,15
WILL:MONEE PCT 003,5,36,9,8,3,20,81
WILL:MONEE PCT 004,10,26,13,6,0,25,80
WILL:MONEE PCT 005,0,1,0,0,0,1,2
WILL:MONEE PCT 006,1,1,0,2,0,1,5
WILL:MONEE PCT 007,2,2,0,7,4,1,16
WILL:MONEE PCT 008,13,22,16,12,1,15,79
WILL:NEW LENOX PCT 001,16,35,21,4,3,18,97
WILL:NEW LENOX PCT 002,23,78,21,15,12,54,203
WILL:NEW LENOX PCT 003,14,40,13,10,6,34,117
