Comptroller (Vote For 1),,,,,
,,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes
Antioch 1,1085,16,12,60,32
Antioch 2,1086,16,8,24,23
Antioch 3,1029,16,7,56,23
Antioch 4,1051,18,7,46,16
Antioch 5,1110,22,10,44,20
Antioch 6,1094,24,9,47,31
Antioch 7,1066,25,3,51,26
Antioch 8,1102,20,8,77,36
Antioch 9,1092,23,14,72,29
Antioch 10,1229,17,6,48,13
Antioch 11,1322,29,3,59,36
Antioch 12,1077,22,8,52,24
Antioch 13,1022,21,5,45,32
Antioch 14,1177,22,12,48,33
Antioch 15,1065,19,13,55,33
Antioch 16,1038,13,12,49,19
Antioch 17,1015,5,4,29,16
Antioch 18,1037,19,18,45,32
Antioch 19,1068,14,8,35,27
Avon 20,1195,43,5,56,11
Avon 21,1168,39,3,29,13
Avon 22,1171,28,6,39,16
Avon 23,1226,40,4,43,15
Avon 24,1191,40,12,39,23
Avon 25,1066,23,9,110,50
Avon 26,825,13,12,67,22
Avon 27,1159,38,4,53,13
Avon 28,1122,58,4,28,12
Avon 29,1233,78,6,58,15
Avon 30,1236,71,3,38,12
Avon 31,1300,66,4,35,9
Avon 32,1182,45,4,63,16
Avon 33,1294,57,5,50,15
Avon 34,1109,52,4,51,16
Avon 35,1123,33,2,89,25
Avon 36,1190,40,7,85,13
Avon 37,884,42,6,82,18
Avon 38,1041,27,4,55,17
Avon 39,1192,51,5,68,29
Avon 40,1443,33,6,69,20
Avon 41,1111,51,6,44,17
Avon 42,1238,45,8,71,13
Avon 43,1217,35,10,92,26
Avon 44,1025,30,4,125,39
Avon 45,1006,38,6,77,40
Avon 46,1118,37,10,99,24
Avon 47,1081,38,5,110,33
Avon 48,1301,33,3,126,37
Avon 49,1160,33,7,108,31
Avon 50,1228,36,5,97,28
Avon 51,1189,26,14,97,32
Avon 52,1121,32,5,121,42
Benton 53,1085,26,3,46,24
Benton 54,933,21,9,58,20
Benton 55,990,14,8,49,30
Benton 56,879,15,6,35,18
Benton 57,897,12,5,16,15
Benton 58,888,13,3,40,16
Benton 59,975,22,3,47,18
Benton 60,1120,24,3,36,14
Benton 61,1351,51,9,73,30
Benton 62,1121,40,10,53,17
Benton 63,1076,27,5,41,29
Benton 64,803,8,1,14,8
Benton 65,827,28,4,31,13
Cuba 66,798,11,5,26,26
Cuba 67,1110,27,14,69,41
Cuba 68,1021,26,13,91,58
Cuba 69,1133,14,12,53,27
Cuba 70,1099,35,22,75,91
Cuba 71,1068,36,15,97,90
Cuba 72,1141,16,12,53,40
Cuba 73,1106,30,11,58,44
Cuba 74,1100,29,11,67,69
Cuba 75,995,17,12,47,34
Cuba 76,1058,22,13,57,35
Cuba 77,1043,28,13,65,64
Cuba 78,1182,27,17,61,69
Ela 79,1122,39,6,47,28
Ela 80,1237,33,14,83,40
Ela 81,1044,23,7,58,30
Ela 82,1274,29,14,74,50
Ela 83,1174,29,12,87,39
Ela 84,1108,23,3,54,26
Ela 85,1225,22,12,92,43
Ela 86,1210,29,11,42,32
Ela 87,1114,13,15,63,54
Ela 88,1122,23,9,53,49
Ela 89,1188,31,11,46,42
Ela 90,1168,28,11,78,48
Ela 91,1216,34,13,41,39
Ela 92,1119,40,16,76,50
Ela 93,1086,18,11,48,28
Ela 94,1069,23,9,44,33
Ela 95,1109,22,10,50,36
Ela 96,1124,23,10,65,33
Ela 97,1116,27,15,75,44
Ela 98,1171,26,9,73,43
Ela 99,1219,27,12,71,43
Ela 100,1049,28,6,48,24
Ela 101,1166,27,7,81,41
Ela 102,1067,9,11,50,29
Ela 103,1120,25,12,56,53
Ela 104,1133,35,6,51,47
Ela 105,1175,25,5,45,29
Ela 106,1236,30,20,50,57
Ela 107,1095,24,14,37,23
Fremont 108,1300,24,2,64,18
Fremont 109,1334,33,1,61,20
Fremont 110,1162,22,21,172,77
Fremont 111,1193,30,19,159,63
Fremont 112,1085,24,9,78,17
Fremont 113,825,11,4,62,18
Fremont 114,1137,25,7,121,41
Fremont 115,1303,35,10,66,32
Fremont 116,997,29,1,167,38
Fremont 117,847,8,16,182,53
Fremont 118,1252,27,9,129,28
Fremont 119,1133,18,7,119,37
Fremont 120,1212,18,2,102,33
Fremont 121,1154,28,6,172,22
Fremont 122,1146,24,13,182,29
Fremont 123,1143,22,6,144,14
Fremont 124,1129,25,6,134,19
Fremont 125,1064,24,5,176,15
Fremont 126,1155,30,5,116,10
Fremont 127,1140,28,5,93,17
Fremont 128,1155,22,7,160,20
Fremont 129,1152,17,2,163,23
Grant 130,1080,17,5,40,27
Grant 131,1167,29,6,48,23
Grant 132,1190,25,9,56,19
Grant 133,1084,19,9,37,14
Grant 134,1186,13,7,65,21
Grant 135,1136,14,9,51,21
Grant 136,1293,21,4,50,16
Grant 137,1160,21,4,55,30
Grant 138,972,22,12,52,13
Grant 139,1170,21,3,56,38
Grant 140,1168,43,7,70,15
Grant 141,898,23,5,49,20
Grant 142,982,36,10,41,21
Grant 143,977,22,4,21,16
Grant 144,1373,36,15,70,31
Grant 145,912,24,8,40,14
Grant 146,1157,37,5,64,25
Grant 147,1192,33,13,73,16
Lake Villa 148,1273,16,10,64,36
Lake Villa 149,1273,20,7,41,28
Lake Villa 150,1189,31,9,54,21
Lake Villa 151,1239,15,2,58,21
Lake Villa 152,1222,18,10,67,27
Lake Villa 153,1190,22,9,58,30
Lake Villa 154,1011,21,9,58,36
Lake Villa 155,891,19,7,35,28
Lake Villa 156,1042,23,7,45,18
Lake Villa 157,1088,19,7,61,35
Lake Villa 158,950,33,5,63,25
Lake Villa 159,1096,20,8,79,45
Lake Villa 160,1065,24,18,95,23
Lake Villa 161,1106,28,8,63,25
Lake Villa 162,1165,24,11,55,21
Lake Villa 163,1123,26,10,53,26
Lake Villa 164,1038,45,3,53,17
Lake Villa 165,1080,56,6,62,9
Lake Villa 166,1147,50,9,55,25
Lake Villa 167,1106,36,14,41,13
Lake Villa 168,1107,21,8,63,22
Lake Villa 169,1144,24,9,57,37
Lake Villa 170,1100,53,7,78,24
Lake Villa 171,833,16,6,39,19
Lake Villa 172,1111,35,13,59,27
Lake Villa 173,1335,39,17,114,44
Libertyville 174,726,29,5,30,20
Libertyville 175,902,22,8,89,43
Libertyville 176,973,33,6,82,24
Libertyville 177,1026,26,7,78,39
Libertyville 178,1046,29,4,118,19
Libertyville 179,539,3,0,61,13
Libertyville 180,1172,23,11,124,17
Libertyville 181,1406,44,6,116,19
Libertyville 182,758,16,2,84,10
Libertyville 183,1530,41,3,102,10
Libertyville 184,1252,48,12,91,36
Libertyville 185,886,19,13,60,15
Libertyville 186,870,23,3,76,28
Libertyville 187,1228,26,18,115,46
Libertyville 188,962,18,3,56,30
Libertyville 189,1079,22,3,107,27
Libertyville 190,1074,42,2,81,37
Libertyville 191,910,45,11,82,19
Libertyville 192,750,13,6,79,20
Libertyville 193,881,18,7,70,25
Libertyville 194,1069,19,12,93,38
Libertyville 195,1005,28,12,86,30
Libertyville 196,1084,32,6,96,28
Libertyville 197,903,43,9,83,43
Libertyville 198,954,21,12,96,37
Libertyville 199,1120,37,6,110,31
Libertyville 200,1387,26,16,137,44
Libertyville 201,1078,26,3,78,38
Libertyville 202,1242,74,7,117,35
Libertyville 203,1253,25,2,98,34
Libertyville 204,1428,31,11,68,39
Libertyville 205,736,23,3,43,12
Libertyville 206,970,31,6,86,31
Libertyville 207,783,16,2,47,20
Libertyville 208,675,21,4,46,21
Libertyville 209,1328,31,7,102,40
Moraine 210,1178,18,9,42,42
Moraine 211,1005,21,11,136,75
Moraine 212,965,43,6,58,26
Moraine 213,1143,52,5,95,32
Moraine 214,1149,46,15,180,63
Moraine 215,1079,33,9,128,80
Moraine 216,1132,35,12,118,39
Moraine 217,1127,45,12,139,45
Moraine 218,1225,38,15,157,124
Moraine 219,1181,20,10,119,64
Moraine 220,953,21,5,101,46
Moraine 221,1127,25,11,139,68
Moraine 222,1087,27,9,163,56
Moraine 223,1091,31,5,129,65
Moraine 224,1067,26,8,156,62
Moraine 225,897,22,7,116,61
Moraine 226,1043,23,9,106,49
Moraine 227,989,14,6,118,77
Moraine 228,1162,32,9,155,71
Moraine 229,1061,27,9,150,84
Moraine 230,1150,21,8,183,72
Moraine 231,1145,34,10,149,60
Moraine 232,1122,14,11,140,82
Newport 233,915,13,8,44,42
Newport 234,1221,18,10,70,17
Newport 235,1250,26,15,87,35
Newport 236,913,20,13,51,22
Newport 237,904,21,7,30,13
Shields 238,1233,50,9,109,23
Shields 239,1282,38,11,91,28
Shields 240,586,11,6,35,10
Shields 241,526,11,5,20,10
Shields 242,388,14,1,24,8
Shields 243,829,16,4,64,21
Shields 244,668,14,7,55,15
Shields 245,1113,20,7,94,67
Shields 246,887,21,6,77,35
Shields 247,860,12,1,29,30
Shields 248,972,22,10,99,41
Shields 249,1204,20,6,72,61
Shields 250,1160,15,12,79,41
