Governor/Lieutenant Governor (Vote For 1),,
,,JB Pritzker / Christian Mitchell
County,Registered Voters,Total Votes
Antioch 1,1085,133
Antioch 2,1086,70
Antioch 3,1029,104
Antioch 4,1051,92
Antioch 5,1110,100
Antioch 6,1094,114
Antioch 7,1066,112
Antioch 8,1102,137
Antioch 9,1092,134
Antioch 10,1229,88
Antioch 11,1322,130
Antioch 12,1077,112
Antioch 13,1022,105
Antioch 14,1177,120
Antioch 15,1065,113
Antioch 16,1038,89
Antioch 17,1015,61
Antioch 18,1037,122
Antioch 19,1068,84
Avon 20,1195,115
Avon 21,1168,83
Avon 22,1171,92
Avon 23,1226,98
Avon 24,1191,117
Avon 25,1066,199
Avon 26,825,115
Avon 27,1159,109
Avon 28,1122,97
Avon 29,1233,148
Avon 30,1236,121
Avon 31,1300,117
Avon 32,1182,130
Avon 33,1294,128
Avon 34,1109,124
Avon 35,1123,153
Avon 36,1190,154
Avon 37,884,159
Avon 38,1041,102
Avon 39,1192,150
Avon 40,1443,130
Avon 41,1111,113
Avon 42,1238,136
Avon 43,1217,167
Avon 44,1025,194
Avon 45,1006,159
Avon 46,1118,166
Avon 47,1081,191
Avon 48,1301,204
Avon 49,1160,174
Avon 50,1228,168
Avon 51,1189,168
Avon 52,1121,206
Benton 53,1085,100
Benton 54,933,111
Benton 55,990,111
Benton 56,879,72
Benton 57,897,50
Benton 58,888,76
Benton 59,975,93
Benton 60,1120,77
Benton 61,1351,164
Benton 62,1121,117
Benton 63,1076,103
Benton 64,803,34
Benton 65,827,75
Cuba 66,798,72
Cuba 67,1110,163
Cuba 68,1021,197
Cuba 69,1133,111
Cuba 70,1099,235
Cuba 71,1068,252
Cuba 72,1141,127
Cuba 73,1106,150
Cuba 74,1100,193
Cuba 75,995,118
Cuba 76,1058,135
Cuba 77,1043,183
Cuba 78,1182,202
Ela 79,1122,128
Ela 80,1237,174
Ela 81,1044,122
Ela 82,1274,168
Ela 83,1174,172
Ela 84,1108,106
Ela 85,1225,167
Ela 86,1210,119
Ela 87,1114,141
Ela 88,1122,139
Ela 89,1188,127
Ela 90,1168,164
Ela 91,1216,128
Ela 92,1119,189
Ela 93,1086,112
Ela 94,1069,111
Ela 95,1109,123
Ela 96,1124,137
Ela 97,1116,161
Ela 98,1171,156
Ela 99,1219,157
Ela 100,1049,111
Ela 101,1166,157
Ela 102,1067,102
Ela 103,1120,151
Ela 104,1133,139
Ela 105,1175,108
Ela 106,1236,167
Ela 107,1095,106
Fremont 108,1300,110
Fremont 109,1334,111
