Governor/Lieutenant Governor (Vote For 1),,,,,
,,Ted Dabrowski / Carrie Mendoza,James Mendrick / Robert Renteria,Darren Bailey / Aaron B. Del Mar,Rick Heidner / Christina Neitzke-Troike
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes
Antioch 1,1085,26,9,36,6
Antioch 2,1086,16,9,32,9
Antioch 3,1029,29,12,33,3
Antioch 4,1051,22,3,21,11
Antioch 5,1110,31,4,18,4
Antioch 6,1094,26,6,17,4
Antioch 7,1066,35,3,27,3
Antioch 8,1102,25,2,22,2
Antioch 9,1092,23,4,28,8
Antioch 10,1229,16,3,15,3
Antioch 11,1322,32,7,20,8
Antioch 12,1077,27,6,36,6
Antioch 13,1022,22,1,21,4
Antioch 14,1177,33,6,30,1
Antioch 15,1065,51,14,32,10
Antioch 16,1038,31,10,20,6
Antioch 17,1015,32,10,40,9
Antioch 18,1037,26,3,24,2
Antioch 19,1068,17,6,24,4
Avon 20,1195,11,4,16,6
Avon 21,1168,8,2,8,2
Avon 22,1171,21,2,12,4
Avon 23,1226,14,3,25,5
Avon 24,1191,16,2,18,3
Avon 25,1066,27,9,28,11
Avon 26,825,33,0,9,1
Avon 27,1159,11,1,15,5
Avon 28,1122,19,6,7,2
Avon 29,1233,10,2,18,2
Avon 30,1236,7,2,18,8
Avon 31,1300,6,1,14,9
Avon 32,1182,19,4,20,8
Avon 33,1294,11,3,19,5
Avon 34,1109,12,4,8,8
Avon 35,1123,25,3,17,5
Avon 36,1190,5,5,12,1
Avon 37,884,19,1,9,0
Avon 38,1041,14,3,14,5
Avon 39,1192,11,2,11,9
Avon 40,1443,20,3,12,8
Avon 41,1111,7,1,13,4
Avon 42,1238,18,2,5,2
Avon 43,1217,17,3,17,5
Avon 44,1025,38,2,8,3
Avon 45,1006,24,3,14,2
Avon 46,1118,22,5,19,2
Avon 47,1081,26,4,24,2
Avon 48,1301,33,4,33,7
Avon 49,1160,20,2,15,8
Avon 50,1228,17,4,14,2
Avon 51,1189,32,2,13,8
Avon 52,1121,14,2,12,5
Benton 53,1085,27,10,26,5
Benton 54,933,27,6,28,7
Benton 55,990,23,3,43,9
Benton 56,879,13,4,33,4
Benton 57,897,20,7,21,12
Benton 58,888,25,7,29,6
Benton 59,975,8,2,17,4
Benton 60,1120,20,4,24,3
Benton 61,1351,8,1,12,2
Benton 62,1121,5,5,15,9
Benton 63,1076,28,1,26,5
Benton 64,803,5,3,16,2
Benton 65,827,7,2,9,1
Cuba 66,798,39,2,20,5
Cuba 67,1110,41,6,19,30
Cuba 68,1021,52,1,28,24
Cuba 69,1133,36,6,35,39
Cuba 70,1099,36,7,38,28
Cuba 71,1068,41,3,23,19
Cuba 72,1141,31,8,24,19
Cuba 73,1106,35,3,18,29
Cuba 74,1100,50,2,20,20
Cuba 75,995,42,4,20,24
