Representative in Congress Fifth Congressional District (Vote For 1),,,,,
,,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes
Cuba 72,1141,80,25,5,18
Cuba 73,1106,117,19,2,14
Cuba 74,1100,121,29,5,31
Cuba 75,995,78,22,3,11
Cuba 76,1058,91,18,7,15
Cuba 77,1043,121,35,5,19
Cuba 78,1182,150,30,3,17
Ela 84,1108,72,21,5,13
Ela 85,1225,116,21,8,20
Ela 86,1210,74,28,3,11
Ela 91,1216,89,17,6,15
Ela 92,1119,130,30,3,19
Ela 93,1086,65,22,7,18
Ela 94,1069,67,24,3,16
Ela 95,1109,76,17,7,23
Ela 96,1124,87,33,3,11
Ela 97,1116,112,32,6,14
Ela 98,1171,108,22,7,17
Ela 99,1219,123,24,8,5
Ela 100,1049,75,22,1,14
Ela 101,1166,100,33,4,21
Ela 102,1067,81,9,3,11
Ela 103,1120,113,22,2,18
Ela 104,1133,112,12,0,16
Ela 105,1175,77,13,6,15
Ela 106,1236,127,23,3,16
Ela 107,1095,74,11,8,11
Vernon 282,902,74,27,5,16
Total:,31340,2710,641,128,445
