Representative in Congress Ninth Congressional District (Vote For 1),,,,,,,,,,,,,,,,
,,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes
Cuba 66,798,14,1,0,0,2,1,17,7,1,23,1,3,1,1,0
Cuba 67,1110,36,0,1,4,2,1,52,15,1,50,0,2,1,2,0
Cuba 68,1021,74,2,6,4,1,0,54,8,0,42,1,3,0,5,0
Cuba 69,1133,38,0,1,7,0,0,32,2,0,37,0,0,0,2,0
Cuba 70,1099,96,1,6,3,2,7,88,19,0,18,3,1,0,3,0
Cuba 71,1068,108,3,2,2,4,0,85,16,1,19,2,3,0,6,0
Ela 79,1122,43,1,1,6,3,1,35,6,1,28,1,1,0,3,0
Ela 80,1237,80,1,3,5,3,1,35,6,1,36,3,0,1,1,1
Ela 81,1044,49,1,4,1,4,1,31,7,0,27,1,0,0,2,0
Ela 82,1274,51,1,6,9,1,5,40,6,2,43,3,2,0,6,1
Ela 83,1174,71,0,0,2,4,6,40,9,0,45,1,0,0,1,1
Ela 87,1114,53,2,1,0,1,1,47,14,0,27,2,1,0,1,0
Ela 88,1122,54,1,0,4,1,2,29,9,0,40,0,1,1,1,0
Ela 89,1188,43,1,1,12,4,1,31,5,0,34,3,1,0,3,0
Ela 90,1168,51,4,2,7,1,1,55,6,1,38,4,0,1,0,1
Fremont 115,1303,41,0,4,7,3,1,44,13,0,32,0,0,1,2,1
Fremont 118,1252,64,2,2,1,4,2,49,6,4,56,1,1,1,3,0
Vernon 270,852,55,1,3,3,0,0,29,4,0,18,0,2,1,2,0
Vernon 275,731,29,0,2,2,2,1,18,9,0,13,0,1,0,2,1
Vernon 276,1038,64,1,3,2,2,3,78,4,0,33,0,0,1,6,0
Vernon 283,943,75,1,1,3,1,2,67,7,0,41,0,0,5,3,0
Vernon 284,1157,134,1,6,2,1,4,110,6,1,34,0,0,2,8,0
Vernon 285,863,96,0,1,4,2,2,66,4,1,31,0,3,2,0,0
Vernon 288,1042,121,2,1,4,1,3,70,5,0,47,0,1,4,2,3
Vernon 289,865,91,3,4,0,2,1,50,9,0,20,0,0,1,1,1
Vernon 290,903,94,2,0,1,2,3,53,6,0,25,0,1,1,2,2
Wauconda 344,1124,41,0,2,3,10,0,40,5,0,37,0,1,0,1,0
Wauconda 346,912,36,3,0,2,8,1,28,4,0,34,2,0,2,3,0
Wauconda 347,1004,35,1,4,6,3,0,26,6,0,24,1,0,2,1,1
Wauconda 350,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wauconda 353,839,30,0,3,2,5,1,20,4,0,27,0,7,0,0,1
Wauconda 354,1025,61,2,4,6,3,1,39,11,0,36,0,2,0,1,0
Total:,33614,1928,38,74,114,82,53,1458,238,14,1015,29,37,28,74,14
