U.S. Senator (Vote For 1),,,,,,,,,,,
,,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes
Antioch 1,1085,3,6,48,73,1,2,0,0,0,0
Antioch 2,1086,2,7,33,24,0,1,2,0,1,2
Antioch 3,1029,6,13,37,47,2,0,2,1,0,2
Antioch 4,1051,5,10,31,43,0,0,1,0,0,0
Antioch 5,1110,8,14,34,41,0,0,1,1,0,3
Antioch 6,1094,5,21,45,41,0,0,1,2,2,1
Antioch 7,1066,6,13,50,40,0,0,0,0,2,1
Antioch 8,1102,12,12,58,54,1,0,3,0,2,0
Antioch 9,1092,4,12,77,48,2,1,1,1,0,0
Antioch 10,1229,5,7,41,31,1,1,0,0,2,1
Antioch 11,1322,4,14,68,45,0,0,1,0,1,0
Antioch 12,1077,6,5,31,70,0,0,0,0,0,0
Antioch 13,1022,4,8,47,45,0,4,0,0,0,2
Antioch 14,1177,9,9,53,44,0,1,2,0,0,2
Antioch 15,1065,6,13,44,56,2,0,0,0,0,0
Antioch 16,1038,5,8,28,48,0,4,0,0,1,0
Antioch 17,1015,1,7,26,26,0,0,0,0,0,0
Antioch 18,1037,1,6,41,79,0,1,0,0,0,0
Antioch 19,1068,4,13,26,41,0,1,0,0,2,0
Avon 20,1195,13,10,44,43,2,2,1,1,2,2
Avon 21,1168,5,8,47,24,0,0,1,0,2,0
Avon 22,1171,10,11,37,31,0,2,0,1,0,1
Avon 23,1226,3,7,48,39,0,0,2,2,1,0
Avon 24,1191,13,12,39,44,0,1,1,0,4,2
Avon 25,1066,6,20,63,107,0,0,0,1,0,0
Avon 26,825,2,16,59,43,0,0,0,0,0,1
Avon 27,1159,9,13,43,45,0,0,0,0,2,1
Avon 28,1122,10,12,36,36,1,2,0,1,0,2
Avon 29,1233,11,19,60,53,1,2,1,2,3,2
Avon 30,1236,10,6,54,46,2,0,1,1,1,2
Avon 31,1300,10,4,58,35,0,3,3,1,1,3
Avon 32,1182,8,12,57,52,0,2,0,0,3,0
Avon 33,1294,10,15,44,53,1,1,0,0,1,1
Avon 34,1109,10,13,58,36,1,1,0,1,2,1
Avon 35,1123,9,14,79,48,0,3,0,0,1,0
Avon 36,1190,4,19,72,56,1,1,0,0,2,0
Avon 37,884,3,17,77,57,0,2,0,0,0,0
Avon 38,1041,8,14,38,36,1,2,2,0,2,0
Avon 39,1192,9,13,72,56,0,2,0,0,2,1
Avon 40,1443,8,20,47,54,1,1,1,0,0,0
Avon 41,1111,3,7,48,49,1,2,0,0,3,4
Avon 42,1238,5,11,73,41,2,4,0,2,3,1
Avon 43,1217,14,20,70,65,0,1,1,0,0,1
Avon 44,1025,8,15,98,75,0,2,0,0,1,3
Avon 45,1006,11,10,86,56,0,0,0,0,0,1
Avon 46,1118,14,16,78,63,1,3,0,1,1,0
Avon 47,1081,9,25,103,48,2,2,1,1,0,1
Avon 48,1301,10,27,93,73,0,1,0,0,1,0
Avon 49,1160,20,16,85,60,0,1,1,3,0,1
Avon 50,1228,8,18,65,73,1,3,0,0,1,0
Avon 51,1189,7,14,70,76,0,0,0,0,3,0
Avon 52,1121,11,23,95,79,0,1,2,0,1,2
Benton 53,1085,3,10,42,42,0,1,0,1,1,2
Benton 54,933,4,10,54,38,1,1,1,1,1,1
Benton 55,990,2,8,43,52,1,0,0,0,0,0
Benton 56,879,8,8,31,24,0,2,3,0,1,0
Benton 57,897,1,9,17,20,0,0,0,2,2,0
Benton 58,888,4,5,29,36,0,1,0,0,0,0
Benton 59,975,4,9,44,34,0,1,0,0,0,1
Benton 60,1120,4,6,31,34,0,2,0,2,1,1
Benton 61,1351,5,22,72,63,1,1,0,2,0,1
Benton 62,1121,3,7,54,48,1,1,0,3,1,2
Benton 63,1076,2,5,53,46,0,0,0,0,0,0
Benton 64,803,2,1,13,18,0,0,0,0,1,0
Benton 65,827,3,8,25,39,0,0,0,0,3,0
Cuba 66,798,3,11,23,33,1,0,0,0,0,0
Cuba 67,1110,5,19,60,78,1,1,1,0,3,1
Cuba 68,1021,11,18,64,94,2,3,2,2,1,2
Cuba 69,1133,3,14,55,48,0,0,0,0,0,0
Cuba 70,1099,5,12,74,152,1,1,0,0,0,3
Cuba 71,1068,9,20,81,142,0,0,1,1,0,0
Cuba 72,1141,7,14,30,77,0,2,0,1,0,1
Cuba 73,1106,7,19,45,83,0,0,0,0,0,0
Cuba 74,1100,14,7,63,97,1,1,0,4,1,2
Cuba 75,995,5,8,50,51,1,0,0,0,0,0
Cuba 76,1058,4,8,41,74,3,0,2,0,2,4
Cuba 77,1043,9,20,63,87,1,1,2,0,2,2
Cuba 78,1182,8,9,64,121,0,0,1,1,0,0
Ela 79,1122,4,23,45,55,3,0,2,0,1,0
Ela 80,1237,5,15,70,83,0,2,2,0,0,0
Ela 81,1044,1,23,54,46,1,2,0,2,0,0
Ela 82,1274,7,19,68,81,0,0,1,0,1,3
Ela 83,1174,2,18,77,79,1,0,0,0,1,0
Ela 84,1108,3,12,42,55,0,0,0,1,0,1
Ela 85,1225,4,11,79,78,1,0,0,1,1,0
Ela 86,1210,9,7,46,56,0,0,0,0,0,0
Ela 87,1114,5,11,48,80,0,1,0,1,4,0
Ela 88,1122,9,18,50,64,0,0,0,0,1,0
Ela 89,1188,5,18,40,76,2,0,0,0,0,1
Ela 90,1168,6,24,47,97,0,0,0,0,1,0
Ela 91,1216,7,18,60,43,0,0,1,0,0,1
Ela 92,1119,6,16,66,98,2,1,1,0,0,0
Ela 93,1086,5,9,44,51,0,0,4,0,1,0
Ela 94,1069,5,10,47,48,2,0,1,0,0,1
Ela 95,1109,3,16,43,62,0,1,1,0,0,0
Ela 96,1124,7,10,61,55,1,1,1,3,0,0
Ela 97,1116,5,17,62,77,2,0,2,1,0,0
Ela 98,1171,9,22,59,63,1,3,0,0,0,0
Ela 99,1219,3,17,59,77,1,1,1,2,0,1
Ela 100,1049,2,11,44,55,1,0,0,0,0,0
Ela 101,1166,10,20,62,69,0,2,0,0,1,0
Ela 102,1067,6,13,31,51,0,1,4,0,0,0
Ela 103,1120,6,16,38,87,1,6,3,0,1,0
Ela 104,1133,7,11,47,77,0,1,1,0,0,0
Ela 105,1175,2,14,45,52,0,0,0,0,0,0
Ela 106,1236,2,16,55,101,0,0,0,0,1,0
Ela 107,1095,3,13,35,54,2,1,0,2,0,0
Fremont 108,1300,5,17,41,44,0,1,0,0,2,1
Fremont 109,1334,6,16,56,36,0,1,0,0,1,1
Fremont 110,1162,6,29,67,194,1,2,0,0,0,1
Fremont 111,1193,9,26,56,185,0,0,1,1,0,1
Fremont 112,1085,8,14,59,48,0,0,0,1,0,0
Fremont 113,825,10,6,33,47,1,0,0,0,0,0
Fremont 114,1137,2,7,101,85,0,3,3,2,3,0
Fremont 115,1303,4,15,60,73,0,0,3,0,0,0
Fremont 116,997,5,25,77,139,1,0,0,1,0,1
Fremont 117,847,2,13,59,183,2,2,0,0,0,0
Fremont 118,1252,17,17,70,86,0,2,0,0,1,2
Fremont 119,1133,4,11,82,82,1,1,0,0,0,2
Fremont 120,1212,7,14,64,70,0,1,1,0,0,0
Fremont 121,1154,12,31,87,101,0,1,1,0,0,0
Fremont 122,1146,17,37,64,120,2,3,0,3,2,1
Fremont 123,1143,6,27,73,77,1,3,0,1,0,1
Fremont 124,1129,5,32,75,67,0,2,0,0,2,2
Fremont 125,1064,11,34,81,89,0,2,0,2,0,1
Fremont 126,1155,11,22,68,56,1,3,0,0,0,0
Fremont 127,1140,12,21,64,44,2,1,0,1,0,1
Fremont 128,1155,10,20,82,88,1,0,4,1,0,3
Fremont 129,1152,8,20,85,83,2,2,2,0,0,1
Grant 130,1080,8,15,32,33,0,2,0,0,2,0
Grant 131,1167,5,20,43,44,0,0,0,0,1,1
Grant 132,1190,6,11,43,57,0,0,0,1,2,0
Grant 133,1084,7,12,31,30,0,0,1,0,0,0
Grant 134,1186,5,20,39,39,0,0,1,1,0,3
Grant 135,1136,3,11,42,43,1,0,0,0,2,2
Grant 136,1293,3,10,29,50,0,1,1,0,0,1
Grant 137,1160,11,9,34,62,0,0,0,1,2,0
Grant 138,972,5,8,35,46,0,3,0,0,1,3
Grant 139,1170,4,13,43,69,0,4,0,0,0,0
Grant 140,1168,13,25,46,51,0,0,0,1,0,1
Grant 141,898,5,6,48,38,0,0,0,0,1,1
Grant 142,982,6,8,69,23,1,2,0,1,1,1
Grant 143,977,3,6,29,28,0,0,1,0,0,0
Grant 144,1373,4,22,64,66,0,0,3,1,1,3
Grant 145,912,8,11,38,34,0,0,0,0,0,0
Grant 146,1157,7,11,61,56,0,0,2,0,0,1
Grant 147,1192,12,14,65,46,0,2,2,1,1,0
Lake Villa 148,1273,8,14,41,63,0,1,0,2,0,1
Lake Villa 149,1273,10,13,40,31,1,0,1,0,0,0
Lake Villa 150,1189,8,15,50,44,0,1,1,0,0,0
Lake Villa 151,1239,1,7,53,36,2,0,0,0,1,0
Lake Villa 152,1222,10,17,45,58,1,0,1,0,0,0
Lake Villa 153,1190,2,12,59,48,0,0,1,0,0,1
Lake Villa 154,1011,8,9,57,55,0,1,0,0,1,1
Lake Villa 155,891,5,20,45,21,0,1,0,0,1,1
Lake Villa 156,1042,11,11,35,35,1,4,0,0,0,0
Lake Villa 157,1088,5,12,48,57,0,0,0,1,2,0
Lake Villa 158,950,11,15,57,44,0,1,0,1,0,0
Lake Villa 159,1096,8,17,59,73,0,2,1,1,0,0
Lake Villa 160,1065,18,18,64,59,1,2,2,0,0,0
Lake Villa 161,1106,5,14,54,48,0,0,1,0,1,0
Lake Villa 162,1165,5,11,66,29,0,2,0,1,0,0
Lake Villa 163,1123,8,14,53,46,0,2,0,1,3,1
Lake Villa 164,1038,7,12,56,36,0,0,0,0,2,3
Lake Villa 165,1080,8,15,48,57,0,1,3,0,2,3
Lake Villa 166,1147,8,19,62,51,2,0,1,0,0,0
Lake Villa 167,1106,5,9,47,44,0,1,0,1,0,1
Lake Villa 168,1107,4,10,55,48,0,0,0,0,2,2
Lake Villa 169,1144,4,14,38,68,0,2,1,1,1,0
Lake Villa 170,1100,8,22,70,61,0,1,1,2,1,1
Lake Villa 171,833,9,9,23,41,0,0,0,0,1,1
Lake Villa 172,1111,13,16,54,56,0,0,1,1,0,2
Lake Villa 173,1335,6,25,97,91,0,0,0,0,1,2
Libertyville 174,726,4,26,34,28,1,0,2,0,0,0
Libertyville 175,902,6,18,67,72,0,0,1,1,0,1
Libertyville 176,973,10,34,48,56,0,0,2,0,0,0
Libertyville 177,1026,4,22,61,70,1,2,0,1,0,2
Libertyville 178,1046,1,22,73,79,0,1,0,0,2,0
Libertyville 179,539,3,5,35,33,0,0,1,0,0,0
Libertyville 180,1172,12,18,72,66,0,3,0,1,0,0
Libertyville 181,1406,12,23,90,60,0,3,3,0,0,0
Libertyville 182,758,6,18,43,45,0,2,0,0,0,0
Libertyville 183,1530,9,13,58,74,1,1,0,0,4,0
Libertyville 184,1252,10,27,87,77,3,0,0,0,1,0
Libertyville 185,886,2,15,51,42,1,2,1,0,0,0
Libertyville 186,870,2,12,79,44,1,0,1,0,0,0
Libertyville 187,1228,16,15,78,101,0,1,4,0,0,0
Libertyville 188,962,1,17,34,60,0,0,0,0,0,1
Libertyville 189,1079,4,12,65,89,2,1,0,0,0,0
Libertyville 190,1074,4,14,95,60,0,1,1,0,2,0
Libertyville 191,910,13,12,87,51,1,0,0,0,0,1
Libertyville 192,750,3,15,45,63,2,1,0,0,0,1
Libertyville 193,881,11,13,48,42,3,1,1,0,2,1
Libertyville 194,1069,4,24,73,66,0,0,0,1,0,0
Libertyville 195,1005,6,21,62,73,0,2,0,0,0,1
Libertyville 196,1084,4,15,91,56,0,1,1,1,0,1
Libertyville 197,903,3,21,86,70,1,2,0,0,0,0
Libertyville 198,954,11,23,72,63,0,3,0,0,0,0
Libertyville 199,1120,3,22,96,59,2,3,2,0,1,1
Libertyville 200,1387,7,20,89,121,0,0,0,0,2,1
Libertyville 201,1078,10,14,55,71,1,0,1,1,0,1
Libertyville 202,1242,5,24,120,85,0,2,0,1,1,0
Libertyville 203,1253,2,19,66,83,0,0,0,0,0,0
Libertyville 204,1428,6,7,68,75,2,1,0,0,0,1
Libertyville 205,736,1,11,35,38,0,0,0,0,0,0
Libertyville 206,970,9,11,43,89,1,1,3,1,0,2
Libertyville 207,783,4,10,44,30,0,1,0,0,0,0
Libertyville 208,675,4,10,36,49,0,0,0,0,0,0
Libertyville 209,1328,7,10,75,92,0,0,0,0,1,1
Moraine 210,1178,1,16,50,55,0,0,0,0,1,2
Moraine 211,1005,2,13,101,147,0,0,0,0,0,1
Moraine 212,965,6,19,77,33,0,0,1,5,0,1
Moraine 213,1143,9,26,84,67,0,0,0,1,2,0
Moraine 214,1149,1,31,158,136,2,3,1,2,0,0
Moraine 215,1079,12,27,118,115,0,2,2,1,0,0
Moraine 216,1132,13,16,102,92,1,1,0,0,1,1
Moraine 217,1127,3,25,125,111,0,2,1,0,1,1
Moraine 218,1225,11,21,143,181,0,1,4,0,0,0
Moraine 219,1181,10,21,112,90,0,3,0,2,0,1
Moraine 220,953,4,21,77,76,0,1,1,1,1,2
Moraine 221,1127,6,23,111,132,3,0,0,1,0,0
Moraine 222,1087,5,14,122,132,0,0,0,0,0,0
Moraine 223,1091,2,10,126,119,0,1,0,1,0,3
Moraine 224,1067,2,16,106,148,0,0,1,0,0,1
Moraine 225,897,4,12,91,129,3,1,0,0,0,0
Moraine 226,1043,4,15,78,97,1,0,0,2,0,0
Moraine 227,989,0,21,93,109,1,0,2,0,0,0
Moraine 228,1162,7,27,141,120,0,2,1,0,0,2
Moraine 229,1061,2,18,134,146,1,0,2,0,0,0
Moraine 230,1150,6,25,147,145,0,0,1,0,1,1
Moraine 231,1145,6,22,124,137,2,0,0,0,1,0
Moraine 232,1122,4,21,125,120,1,0,0,0,0,0
Newport 233,915,3,7,53,51,0,0,0,0,0,0
Newport 234,1221,9,14,35,60,0,0,0,1,1,0
Newport 235,1250,6,22,54,79,2,3,0,1,0,3
Newport 236,913,6,18,52,33,2,0,0,0,0,1
Newport 237,904,3,5,39,22,1,0,0,1,0,0
Shields 238,1233,8,27,94,49,2,1,1,2,2,1
Shields 239,1282,4,26,94,34,0,0,1,3,2,1
Shields 240,586,3,9,33,15,0,0,1,1,1,0
Shields 241,526,1,9,26,10,0,0,0,0,0,0
Shields 242,388,2,9,16,20,0,0,0,1,0,0
Shields 243,829,1,9,46,50,3,2,1,0,0,1
Shields 244,668,8,5,49,35,0,0,1,0,0,1
Shields 245,1113,3,10,103,84,1,0,2,0,0,0
Shields 246,887,4,7,74,59,0,2,0,0,2,0
Shields 247,860,1,15,34,26,0,1,0,0,1,0
Shields 248,972,1,22,93,73,0,1,1,2,0,0
Shields 249,1204,7,16,90,67,0,0,0,0,3,0
Shields 250,1160,6,16,74,84,0,1,0,0,1,1
Shields 251,774,0,2,38,49,1,1,0,0,0,0
Shields 252,839,2,10,47,57,0,3,0,0,0,0
Shields 253,980,1,9,35,52,0,0,0,1,0,0
Shields 254,944,8,10,42,63,0,0,1,0,0,0
Shields 255,835,0,9,24,31,0,0,0,1,0,0
Vernon 256,1193,2,11,37,78,1,0,2,1,0,0
Vernon 257,1199,14,17,57,44,1,0,2,1,0,2
Vernon 258,1047,9,9,49,57,0,1,2,1,1,2
Vernon 259,1133,6,19,78,110,1,3,3,0,0,0
Vernon 260,1316,6,28,91,118,3,2,1,0,0,0
Vernon 261,950,10,17,52,59,1,0,1,0,3,5
Vernon 262,1179,3,16,63,72,0,0,0,0,0,1
Vernon 263,1368,12,16,45,86,2,1,1,1,0,2
Vernon 264,777,10,5,38,47,0,0,0,1,0,0
Vernon 265,969,3,8,57,74,1,1,1,0,1,1
Vernon 266,953,6,10,46,26,0,0,1,1,1,1
Vernon 267,1030,9,12,69,62,0,3,0,2,0,0
Vernon 268,1233,9,20,86,93,2,1,1,0,0,0
Vernon 269,1153,6,15,55,118,0,2,0,0,0,2
Vernon 270,852,2,10,41,67,2,1,0,0,1,1
Vernon 271,1114,4,16,63,114,1,0,1,1,1,0
Vernon 272,1028,2,21,61,110,1,0,0,0,0,0
Vernon 273,778,2,7,37,57,0,0,1,0,1,2
Vernon 274,1054,4,13,79,104,0,2,1,0,0,0
Vernon 275,731,7,12,20,43,0,0,0,0,0,0
Vernon 276,1038,4,10,72,108,2,1,0,0,0,0
Vernon 277,1250,1,19,54,116,3,1,1,0,0,0
Vernon 278,1010,1,8,34,68,0,1,0,1,0,0
Vernon 279,1237,14,17,89,199,1,0,0,1,0,5
Vernon 280,751,5,11,45,51,0,1,0,1,2,1
Vernon 281,1227,7,17,84,110,1,0,1,3,1,0
Vernon 282,902,5,10,58,52,0,2,0,0,0,0
Vernon 283,943,5,21,75,100,2,0,0,0,0,1
Vernon 284,1157,4,27,129,141,1,0,0,0,1,3
